model,threshold,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,alerts,alert_rate
Model A,0.36,0.39529675251959684,0.8982188295165394,0.5489891135303266,0.6355205645840537,642,1080,80,706,1786,0.7121212121212122
Model A,0.37,0.4040345821325648,0.8918575063613231,0.5561285204284014,0.6456964651434954,688,1034,85,701,1735,0.6917862838915471
Model A,0.38,0.40836770771950504,0.8816793893129771,0.5581957309706,0.6493182080130506,718,1004,93,693,1697,0.6766347687400319
Model A,0.39,0.4146341463414634,0.8651399491094147,0.560593569661995,0.6538243299554042,762,960,106,680,1640,0.6539074960127592
Model A,0.4,0.4207547169811321,0.851145038167939,0.5631313131313131,0.658150916296513,801,921,117,669,1590,0.6339712918660287
Model A,0.41,0.43106796116504853,0.8473282442748091,0.5714285714285714,0.6684376413011677,843,879,120,666,1545,0.6160287081339713
Model A,0.42,0.43829219479653103,0.8358778625954199,0.575054704595186,0.6734557721804044,880,842,129,657,1499,0.5976874003189793
Model A,0.43,0.44713199723566,0.8231552162849872,0.5794894760412002,0.6792895709764077,922,800,139,647,1447,0.5769537480063796
Model A,0.44,0.4511063526052819,0.8040712468193384,0.5779606767261088,0.678748747683769,953,769,154,632,1401,0.5586124401913876
Model A,0.45,0.4564254062038405,0.7862595419847328,0.577570093457944,0.6794247767995674,986,736,168,618,1354,0.539872408293461
Model A,0.46,0.46702453987730064,0.7748091603053435,0.5827751196172248,0.6856043478646345,1027,695,177,609,1304,0.5199362041467305
Model A,0.47,0.4752396166134185,0.7569974554707379,0.5839057899901865,0.687732177212721,1065,657,191,595,1252,0.49920255183413076
Model A,0.48,0.47854785478547857,0.7379134860050891,0.5805805805805806,0.6854491936413367,1090,632,206,580,1212,0.48325358851674644
Model A,0.49,0.4896013864818024,0.7188295165394402,0.5824742268041238,0.6883926909061893,1133,589,221,565,1154,0.46012759170653905
Model A,0.5,0.4936823104693141,0.6959287531806616,0.5776135163674763,0.685072390527613,1161,561,239,547,1108,0.44178628389154706
Model A,0.51,0.499063670411985,0.678117048346056,0.5749730312837109,0.683715899318208,1187,535,253,533,1068,0.4258373205741627
Model A,0.52,0.5073746312684366,0.6564885496183206,0.5723793677204659,0.682773891533899,1221,501,270,516,1017,0.4055023923444976
Model A,0.53,0.5081967213114754,0.6310432569974554,0.5629965947786606,0.6761488061990761,1242,480,290,496,976,0.38915470494417864
Model A,0.54,0.5177228786251342,0.6132315521628499,0.5614443797320908,0.6762441152219592,1273,449,304,482,931,0.3712121212121212
