Model,Target,Features,AUC-ROC,PR-AUC,PR-Lift,F1,Precision,Recall,Balanced Accuracy,Best Iteration
Model A,performance_decrease,49,0.7499002579993085,0.5742209780146761,,0.5776135163674763,0.4936823104693141,0.6959287531806616,0.685072390527613,86
Model B,performance_decrease,64,0.7506154450857487,0.5724016865562334,,0.5683494044242768,0.5127942681678608,0.6374045801526718,0.6804909079625148,218
Model C,context_adjusted_performance_decrease,64,0.7602522340160124,0.6274171222047498,,0.6052366565961732,0.5299823633156967,0.7053990610328639,0.6917695788256106,125
Model D,context_adjusted_performance_decrease,71,0.760693083622508,0.6325536154796145,,0.6019926586261143,0.5440758293838862,0.6737089201877934,0.6916249914948629,192
Model D2,context_adjusted_performance_decrease,75,0.7609609954412464,0.6275572794469557,,0.6099071207430341,0.5441988950276243,0.6936619718309859,0.6973744641763625,115
Model E,injury_next_14_days,71,0.6122559818526839,0.05337178108922824,1.4090150207556256,0.10685249709639953,0.06005221932114883,0.4842105263157895,0.5929133858267717,6
