feature,mean_abs_shap
context_rating_prev_3_avg,0.35942222686885816
rating_prev_3_avg_form,0.2180336614319998
context_rating_trend_3_vs_5,0.15306796677721535
is_substitute,0.13702095705653625
season_label,0.09716104507823775
player_team,0.09212596133490411
context_rating_prev_5_avg,0.0711870385427401
rating_trend_last_3_vs_5,0.06691539429353727
rating_prev_1,0.06238881564377116
player_position,0.06238512620341694
min_last_28d,0.0437235379015049
previous_matches_missed,0.0431842328374617
rating_prev_3_std,0.03946547052928307
rating_prev_5_avg,0.03888732243795116
days_since_last_injury_return,0.037990698230900004
medium_turnaround_next_match,0.0336052519948665
acwr_ratio,0.029945127756217948
previous_competition,0.027582742328085982
is_captain,0.024654088709801927
competition,0.023971212430519685
effort_last_5,0.02343579928621491
opponent,0.02334969897026727
minutes_last_5,0.02247271232055474
rating_change_prev_1_vs_3,0.015639912589196402
effort_per_90_last_3,0.014092490709134974
effort_per_90_last_5,0.013732183348977
days_until_next_team_match_capped,0.012610828727949988
days_since_last_match,0.011520397366477735
injury_spells_before_match,0.01099563772442837
minutes_last_14_days,0.010326658151297276
recent_ucl_within_2_matches,0.009635344983496356
rest_days,0.009588112592054259
total_days_out_before_match,0.009394903213077309
matches_last_7_days,0.009324455284362263
effort_last_3,0.00902924181541837
matches_last_14_days,0.008520854935960094
matches_since_last_ucl_capped,0.008210555207317359
minutes_last_3,0.008066631825115697
min_last_7d,0.006451360006557883
short_turnaround_next_match,0.00571074455869567
played_ucl_previous_match,0.004965549961842103
is_away,0.004820670381507315
minutes_last_7_days,0.0047632303287778064
is_big_six_opponent,0.004619179843596727
is_home,0.004300972074931028
long_turnaround_next_match,0.004241943337391341
consecutive_away_games,0.004221527701062346
is_group_stage,0.0035797378814099853
is_domestic_cup,0.0034695442548260255
days_since_last_injury,0.0034032074473952104
is_european_match,0.0029080576264802925
season_matches_missed_injury,0.0024434794674738766
is_league_match,0.0020305867163113367
player_had_prior_injury,0.001977051500276415
is_domestic_after_ucl,0.0018750638640939274
is_knockout_match,0.001707067576676971
big_six_matchup,0.0016793131526687578
season_matches_missed_total,0.001486606210989505
is_big_six_team,0.0014703173144668684
is_domestic_competition,0.0011936764420367263
high_congestion_flag,0.001119734808080644
recent_return_from_injury,0.0008944753216715788
fixtures_missed_last_30d,0.0007589105207461925
no_next_team_match_in_data,0.0005974584384256776
fixtures_missed_last_90d,4.1552970559393255e-05
returning_from_injury,0.0
no_previous_ucl,0.0
is_premier_league_match,0.0
is_ucl_match,0.0
recent_ucl_within_1_match,0.0
severe_previous_injury,0.0
