Model,Target,AUROC,PR_AUC,F1_at_0_50,Precision_at_0_50,Recall_at_0_50,Balanced_Accuracy_at_0_50,Features
Original V4B,api_rating_decline_flag,0.6902075851799947,,0.4574358974358974,0.38250428816466553,0.5688775510204082,0.6299323377419637,125
V5 Fatigue-Associated Decline,v5_fatigue_associated_decline_flag,0.5910377879370128,0.31623835024020025,0.40879926672777267,0.31676136363636365,0.5762273901808785,0.5825581395348838,68
V5 Fatigue-Associated Decline No-Home,v5_fatigue_associated_decline_flag,0.5858852889860642,0.2978501226906636,0.40379637618636754,0.30310880829015546,0.6046511627906976,0.5724110514808189,67
