Feature,Importance
shots_total_clean,16.194966531366866
tackles_total_clean,7.519774448448548
team_expected_goals,6.396409325252379
fouls_drawn_clean,3.579717531246053
minutes_workload,2.984046683254311
effort_score,2.716424074615305
minutes_played_clean,2.6265054892142143
is_home,2.255972468929372
opponent,1.9680227960795618
player_position,1.8465562365043182
prev_minutes,1.725670873076532
round,1.633362189264999
previous_match_date,1.5783011828137705
consecutive_away_games,1.451922244975925
matches_since_last_ucl_capped,1.3447540755083853
passes_key_last_5,1.3283406416374262
previous_competition,1.3191186167572784
minutes_last_14_days,1.2077030722596063
dribbles_success_last_5,1.1436228229346657
duels_total_clean,1.1295834588701166
min_last_28d,1.0441909121180877
effort_per_90_last_5,1.0304231195546611
effort_last_5,1.0198965473660144
champions_league_minutes_last_5,1.006203535317951
competition,1.000689765829924
tackles_interceptions_clean,0.9967705774765051
competition_type,0.9327133090297238
duels_won_last_5,0.9285832820616631
goals_last_5,0.9078239155296822
effort_per_90,0.8817609853743726
squad_non_injury_missing_count,0.8737194461944717
matches_since_last_ucl,0.8500427817259759
minutes_last_3,0.7656277259874832
fbref_position_raw,0.7569918578720025
previous_competition_type,0.7445323076169669
effort_last_3,0.713933340232874
shots_last_5,0.7128094733200173
matches_last_14_days,0.7121570530773129
matches_last_7_days,0.7096747777986342
squad_soft_tissue_count,0.7063027876761054
sofascore_min_last_7d,0.6628979548279901
squad_injured_count,0.6587539679989145
min_last_7d,0.6571836678424864
european_minutes_last_5,0.6505238128240993
season_main_reason,0.6472232277183587
fouls_drawn_last_5,0.6135599282797113
avg_minutes_last_5,0.6074148669606358
fouls_committed_clean,0.595592469410163
sofascore_min_last_28d,0.5939777267581199
sofascore_consecutive_away_games,0.5909457670166094
squad_avg_days_out,0.5851014591496368
dribbles_attempts_last_5,0.5834396712533372
minutes_last_5,0.5427907978618721
recent_action_load_score,0.5360999951974519
effort_per_90_last_3,0.5355693862457972
squad_missing_total,0.5270777480841227
season_main_injury_category,0.48630042657725325
interceptions_last_5,0.4751895412894608
league_minutes_last_5,0.47131112510166706
domestic_cup_minutes_last_5,0.4563901228708645
played_europe_previous_match,0.44968276007524305
assists_last_5,0.42427289994361955
minutes_last_5_matches,0.4211988680685145
dribbles_attempts_clean,0.42018124966590836
sofascore_acwr_ratio,0.38417219070838776
fouls_committed_last_5,0.38376402650094854
key_passes_last_5,0.37255610797639366
recent_ucl_within_2_matches,0.37031388688094846
is_premier_league_match,0.36670122716941794
minutes_last_7_days,0.3300883295780467
rest_days,0.32915836631643375
is_captain,0.31172601902093733
sub_appearances_last_5,0.31148435906040484
starts_last_5,0.30924497625347785
duels_total_last_5,0.2950049192773195
sofascore_rest_days,0.29104160554825725
all_comp_minutes_pressure,0.2746876739218171
minutes_last_3_matches,0.2350096379545265
squad_injury_high_workload,0.23166673265914456
season_matches_missed_total,0.22892549722840358
days_since_last_match,0.22695770123579248
long_squad_absence_pressure,0.2036833649003213
squad_max_days_out,0.18410120050338677
full_match_exposure_last_5,0.18270281578192846
tackles_last_5,0.18183477575406595
recent_ucl_within_1_match,0.15471789705591515
substitute_flag,0.1481773549375953
high_soft_tissue_pressure,0.14456270086908504
no_previous_ucl,0.1422023481282366
is_european_fixture,0.13643188357081443
is_domestic_after_europe,0.13594924871431646
is_domestic_after_ucl,0.12459802075319304
acwr_ratio,0.10652278462189095
days_since_last_injury,0.09446256198658469
long_recent_injury_history_flag,0.09264958436619372
high_squad_injury_pressure,0.07619672718026928
appearances_last_5,0.07343693386909281
has_player_season_injury_record,0.06979207348441498
managed_minutes_last_5,0.023996083342226297
medium_recent_injury_return_flag,0.015604221102763851
fixtures_missed_last_30d,0.01331037153121403
fixtures_missed_last_90d,0.004262085063966208
season_max_reported_days_out,0.0
returning_from_injury,0.0
season_matches_missed_injury,0.0
sofascore_high_congestion_flag,0.0
is_substitute,0.0
high_congestion_flag,0.0
last_injury_type,0.0
start_flag,0.0
is_champions_league,0.0
is_domestic_cup,0.0
played_ucl_previous_match,0.0
is_ucl_match,0.0
is_league,0.0
high_recent_action_load,0.0
recent_injury_return_flag,0.0
missed_fixtures_90d_pressure,0.0
missed_multiple_recent_fixtures_flag,0.0
missed_recent_fixture_flag,0.0
returning_injury_high_minutes,0.0
returning_injury_low_rest,0.0
recent_injury_high_acwr,0.0
soft_tissue_pressure_high_load,0.0
injury_context_score,0.0
