threshold,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,alerts,alert_rate
0.1,0.34811165845648606,0.9953051643192489,0.5158150851581509,0.518183983125808,68,1588,4,848,2436,0.9712918660287081
0.11,0.3491343775762572,0.994131455399061,0.5167785234899329,0.520314519970062,77,1579,5,847,2426,0.967304625199362
0.12,0.3525239883187318,0.9917840375586855,0.5201600492459219,0.5272929849629177,104,1552,7,845,2397,0.9557416267942583
0.13,0.35467565290648695,0.9882629107981221,0.5220086794792312,0.5315710689256311,124,1532,10,842,2374,0.9465709728867624
0.14,0.3563852354688163,0.9859154929577465,0.5235275786849486,0.5349263455126897,139,1517,12,840,2357,0.939792663476874
0.15,0.3597770154373928,0.9847417840375586,0.5270100502512562,0.5415858678641899,163,1493,13,839,2332,0.9298245614035088
0.16,0.36288570186875274,0.9800469483568075,0.5296542974944497,0.5473906239368579,190,1466,17,835,2301,0.9174641148325359
0.17,0.3655536028119508,0.9765258215962441,0.5319693094629157,0.5522725726338709,212,1444,20,832,2276,0.9074960127591707
0.18,0.3691006233303651,0.9730046948356808,0.5351839896707553,0.5586641831666327,239,1417,23,829,2246,0.8955342902711324
0.19,0.37324898328061457,0.9694835680751174,0.5389885807504078,0.5659615908008437,269,1387,26,826,2213,0.8823763955342903
0.2,0.3782788771283939,0.9647887323943662,0.5434710743801653,0.5744837381778595,305,1351,30,822,2173,0.8664274322169059
0.21,0.3823805060918463,0.9577464788732394,0.5465505693235098,0.580926379533238,338,1318,36,816,2134,0.8508771929824561
0.22,0.3879598662207358,0.9530516431924883,0.5514431239388795,0.5897504592774035,375,1281,40,812,2093,0.8345295055821371
0.23,0.3927007299270073,0.9471830985915493,0.5552115583075335,0.5967799550928761,408,1248,45,807,2055,0.819377990430622
0.24,0.39920556107249255,0.9436619718309859,0.5610607117934403,0.6064928216642852,446,1210,48,804,2014,0.803030303030303
