threshold,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,alerts,alert_rate
0.25,0.40515933232169954,0.9401408450704225,0.5662778366914104,0.6149979587670953,480,1176,51,801,1977,0.7882775119617225
0.26,0.40857438016528924,0.9284037558685446,0.5674318507890961,0.6184893175477989,511,1145,61,791,1936,0.7719298245614035
0.27,0.41232227488151657,0.9190140845070423,0.569247546346783,0.6225505205143906,540,1116,69,783,1899,0.757177033492823
0.28,0.41814278046162107,0.9143192488262911,0.5738489871086556,0.6298649384228074,572,1084,73,779,1863,0.742822966507177
0.29,0.42487616951018164,0.9061032863849765,0.5784938179093293,0.6375323195209907,611,1045,80,772,1817,0.7244816586921851
0.3,0.43025871766029244,0.897887323943662,0.5817490494296578,0.6430861740491257,643,1013,87,765,1778,0.7089314194577353
0.31,0.43455797933409873,0.8884976525821596,0.5836545875096376,0.6468454446485677,671,985,95,757,1742,0.6945773524720893
0.32,0.4403292181069959,0.8791079812206573,0.5867606737171954,0.6521143770837585,704,952,103,749,1701,0.6782296650717703
0.33,0.4471299093655589,0.8685446009389671,0.5903470283207021,0.6580041845274546,741,915,112,740,1655,0.6598883572567783
0.34,0.4535891089108911,0.8603286384976526,0.5940032414910859,0.6635580390555896,773,883,119,733,1616,0.6443381180223285
0.35,0.45690747782002533,0.846244131455399,0.5934156378600823,0.6643660270803565,799,857,131,721,1578,0.6291866028708134
0.36,0.46134020618556704,0.8403755868544601,0.5956738768718802,0.6677723344900319,820,836,136,716,1552,0.6188197767145136
0.37,0.46926635822868473,0.8333333333333334,0.6004228329809725,0.6742149758454106,853,803,142,710,1513,0.6032695374800638
0.38,0.47297297297297297,0.8215962441314554,0.6003430531732419,0.6752908756889161,876,780,152,700,1480,0.5901116427432217
0.39,0.4798890429958391,0.812206572769953,0.6033129904097646,0.6796540110226577,906,750,160,692,1442,0.5749601275917066
0.4,0.4840764331210191,0.8028169014084507,0.6039735099337749,0.6812997550520514,927,729,168,684,1413,0.5633971291866029
0.41,0.4880348078317622,0.789906103286385,0.6033168982519049,0.6817888004354631,950,706,179,673,1379,0.5498405103668261
0.42,0.4929472902746845,0.7793427230046949,0.6039108685766258,0.6834515547390624,973,683,188,664,1347,0.5370813397129187
0.43,0.500763358778626,0.7699530516431925,0.606845513413506,0.6875127577056542,1002,654,196,656,1310,0.5223285486443381
0.44,0.5086614173228347,0.7582159624413145,0.6088595664467483,0.690702184119208,1032,624,206,646,1270,0.5063795853269537
0.45,0.515422077922078,0.7453051643192489,0.6094049904030711,0.6923989589712186,1059,597,217,635,1232,0.49122807017543857
0.46,0.5242070116861436,0.7370892018779343,0.6126829268292683,0.6964431516636048,1086,570,224,628,1198,0.47767145135566186
0.47,0.5314384151593454,0.7241784037558685,0.6130153999006458,0.6978379941484656,1112,544,235,617,1161,0.46291866028708134
0.48,0.5368888888888889,0.7089201877934272,0.611026808295397,0.6971533306116895,1135,521,248,604,1125,0.4485645933014354
0.49,0.5413602941176471,0.6913145539906104,0.6072164948453608,0.6949930257875757,1157,499,263,589,1088,0.43381180223285487
0.5,0.5440758293838862,0.6737089201877934,0.6019926586261143,0.6916249914948629,1175,481,278,574,1055,0.4206539074960128
0.51,0.5465346534653466,0.647887323943662,0.5929108485499462,0.6856586378172416,1198,458,300,552,1010,0.40271132376395535
0.52,0.5482546201232033,0.6267605633802817,0.5848849945235487,0.6805300401442471,1216,440,318,534,974,0.3883572567783094
0.53,0.5623003194888179,0.6197183098591549,0.5896147403685092,0.6857649520310267,1245,411,324,528,939,0.37440191387559807
0.54,0.5728587319243604,0.6044600938967136,0.5882352941176471,0.6862880179628496,1272,384,337,515,899,0.3584529505582137
0.55,0.5799086757990868,0.596244131455399,0.5879629629629629,0.6870109546165883,1288,368,344,508,876,0.3492822966507177
0.56,0.5871886120996441,0.5809859154929577,0.584070796460177,0.6854204939783629,1308,348,357,495,843,0.3361244019138756
0.57,0.598014888337469,0.5657276995305164,0.5814234016887817,0.6850377628087365,1332,324,370,482,806,0.32137161084529503
0.58,0.6054333764553687,0.5492957746478874,0.576,0.6825585153432674,1351,305,384,468,773,0.30821371610845294
0.59,0.6132075471698113,0.534037558685446,0.5708908406524467,0.6803641899707423,1369,287,397,455,742,0.2958532695374801
0.6,0.6171107994389902,0.5164319248826291,0.5623003194888179,0.6757884262094305,1383,273,412,440,713,0.28429027113237637
0.61,0.6277372262773723,0.5046948356807511,0.5595315549772284,0.6753546642171872,1401,255,422,430,685,0.2731259968102073
0.62,0.6386292834890965,0.4812206572769953,0.5488621151271754,0.6705620194597537,1424,232,442,410,642,0.25598086124401914
0.63,0.6508196721311476,0.465962441314554,0.5430916552667578,0.6686696264543784,1443,213,455,397,610,0.24322169059011164
0.64,0.6649029982363316,0.4424882629107981,0.5313601127554616,0.663876981696945,1466,190,475,377,567,0.22607655502392343
0.65,0.6722532588454376,0.42370892018779344,0.5197984161267099,0.6587143634755392,1480,176,491,361,537,0.21411483253588517
0.66,0.6779324055666004,0.40023474178403756,0.5033210332103321,0.6512043274137579,1494,162,511,341,503,0.20055821371610846
0.67,0.6877637130801688,0.3826291079812207,0.4917043740573152,0.6466285636524461,1508,148,526,326,474,0.18899521531100477
0.68,0.6897321428571429,0.3626760563380282,0.4753846153846154,0.6393694291351977,1517,139,543,309,448,0.17862838915470494
0.69,0.7104622871046229,0.3427230046948357,0.46239113222486145,0.6354315506565966,1537,119,560,292,411,0.1638755980861244
0.7,0.7258485639686684,0.32629107981220656,0.4502024291497976,0.6314426413553786,1551,105,574,278,383,0.15271132376395535
0.71,0.7298050139275766,0.3075117370892019,0.43270024772914945,0.6244684289310743,1559,97,590,262,359,0.1431419457735247
0.72,0.7373134328358208,0.289906103286385,0.4161752316764954,0.6183830033340137,1568,88,605,247,335,0.1335725677830941
0.73,0.7395498392282959,0.2699530516431925,0.39552880481513325,0.6105200040824659,1575,81,622,230,311,0.12400318979266348
0.74,0.7482758620689656,0.2546948356807512,0.38003502626970226,0.6053063550384432,1583,73,635,217,290,0.11562998405103668
0.75,0.7566539923954373,0.2335680751173709,0.35695067264573993,0.597460366061101,1592,64,653,199,263,0.10486443381180223
0.76,0.7383966244725738,0.20539906103286384,0.3213957759412305,0.5839797237531469,1594,62,677,175,237,0.09449760765550239
0.77,0.7464788732394366,0.18661971830985916,0.29859154929577464,0.5770055113288426,1602,54,693,159,213,0.08492822966507177
0.78,0.7643979057591623,0.17136150234741784,0.2799616490891659,0.5720937946519697,1611,45,706,146,191,0.07615629984051037
0.79,0.788235294117647,0.1572769953051643,0.2622309197651663,0.5677689324351909,1620,36,718,134,170,0.06778309409888357
0.8,0.7986577181208053,0.1396713615023474,0.23776223776223776,0.560777709736681,1626,30,733,119,149,0.05940988835725678
0.81,0.8372093023255814,0.1267605633802817,0.22018348623853212,0.557039701979996,1635,21,744,108,129,0.05143540669856459
0.82,0.8640776699029126,0.10446009389671361,0.18638743455497384,0.5480029938082601,1642,14,763,89,103,0.041068580542264754
0.83,0.8636363636363636,0.0892018779342723,0.16170212765957448,0.540977750561339,1644,12,776,76,88,0.03508771929824561
0.84,0.8648648648648649,0.07511737089201878,0.13822894168466524,0.5345393617745118,1646,10,788,64,74,0.029505582137161084
0.85,0.8688524590163934,0.062206572769953054,0.11610076670317634,0.5286878274477784,1648,8,799,53,61,0.024322169059011165
0.86,0.88,0.051643192488262914,0.0975609756097561,0.5240100020412329,1650,6,808,44,50,0.019936204146730464
0.87,0.868421052631579,0.03873239436619718,0.07415730337078652,0.5178565353473498,1651,5,819,33,38,0.015151515151515152
0.88,0.9,0.03169014084507042,0.061224489795918366,0.5149392733210859,1653,3,825,27,30,0.011961722488038277
0.89,1.0,0.017605633802816902,0.03460207612456748,0.5088028169014085,1656,0,837,15,15,0.005980861244019139
0.9,1.0,0.009389671361502348,0.018604651162790697,0.5046948356807511,1656,0,844,8,8,0.003189792663476874
