position,n_matches,n_positive,positive_class_rate,threshold,auc_roc,f1,precision,recall,balanced_accuracy,alerts,alert_rate,tp,fp,fn,tn
F,486,203,0.4176954732510288,0.47,0.7811624223224077,0.6530612244897959,0.6050420168067226,0.7093596059113301,0.6886020644397639,238,0.4897119341563786,144,94,59,189
G,186,57,0.3064516129032258,0.47,0.7645858833129334,0.6193548387096774,0.4897959183673469,0.8421052631578947,0.7272541819665442,98,0.5268817204301075,48,50,9,79
M,994,345,0.3470824949698189,0.47,0.7599383667180276,0.6322115384615384,0.5400410677618069,0.7623188405797101,0.708586230767513,487,0.48993963782696176,263,224,82,425
D,842,247,0.29334916864608074,0.47,0.7433470554213588,0.5538461538461539,0.47928994082840237,0.6558704453441295,0.6800360630081992,338,0.4014251781472684,162,176,85,419
