model,core_starter_threshold,rotation_player_threshold,precision,recall,f1,balanced_accuracy,false_positive_rate,false_negative_rate,alerts,alert_rate,tn,fp,fn,tp
V6 No Competition,0.4,0.5,0.2892193308550186,0.9652605459057072,0.4450800915331808,0.5225725251183974,0.9201154956689124,0.034739454094292806,1345,0.9327323162274619,83,956,14,389
V6 No Competition,0.4,0.55,0.2892193308550186,0.9652605459057072,0.4450800915331808,0.5225725251183974,0.9201154956689124,0.034739454094292806,1345,0.9327323162274619,83,956,14,389
V6 No Competition,0.4,0.6,0.28986587183308493,0.9652605459057072,0.4458452722063037,0.5240162209798026,0.917228103946102,0.034739454094292806,1342,0.9306518723994452,86,953,14,389
V6 No Competition,0.45,0.5,0.3563766388557807,0.7419354838709677,0.48148148148148145,0.6111024868825483,0.519730510105871,0.25806451612903225,839,0.5818307905686546,499,540,104,299
V6 No Competition,0.45,0.55,0.3563766388557807,0.7419354838709677,0.48148148148148145,0.6111024868825483,0.519730510105871,0.25806451612903225,839,0.5818307905686546,499,540,104,299
V6 No Competition,0.45,0.6,0.3576555023923445,0.7419354838709677,0.4826472962066182,0.6125461827439536,0.5168431183830606,0.25806451612903225,836,0.579750346740638,502,537,104,299
V6 No Competition,0.5,0.5,0.44490644490644493,0.5310173697270472,0.4841628959276018,0.637019753198461,0.2569778633301251,0.46898263027295284,481,0.33356449375866853,772,267,189,214
V6 No Competition,0.5,0.55,0.44490644490644493,0.5310173697270472,0.4841628959276018,0.637019753198461,0.2569778633301251,0.46898263027295284,481,0.33356449375866853,772,267,189,214
V6 No Competition,0.5,0.6,0.4476987447698745,0.5310173697270472,0.4858115777525539,0.6384634490598662,0.25409047160731474,0.46898263027295284,478,0.3314840499306519,775,264,189,214
