Model,AUC,F1,Precision,Recall,Balanced Accuracy,Features
V4A — General API-rating performance-decline model,0.8733620916177629,0.6533018867924528,0.6074561403508771,0.7066326530612245,0.7764922921958484,185
V4B Strict — Fatigue/congestion/injury-context API-rating decline model,0.6902075851799947,0.4574358974358974,0.38250428816466553,0.5688775510204082,0.6299323377419637,125
