Feature_Group,total_importance,mean_importance,features,importance_percent
recent_baseline_form,55.511792722828226,27.755896361414113,2,55.511792722828226
other,8.624192717528237,1.0780240896910296,8,8.624192717528237
position_adjusted_load,8.046844757477208,0.7315313415888371,11,8.046844757477208
recent_action_load,7.783513831147823,0.8648348701275359,9,7.783513831147823
workload_recovery_windows,6.498414302447474,0.4061508939029671,16,6.498414302447474
role_context,6.3556997059889415,0.6355699705988942,10,6.3556997059889415
competition_sequence_load,4.168300038768189,0.2977357170548706,14,4.168300038768189
injury_context,2.8558525289732763,0.15030802784069874,19,2.8558525289732763
missingness_context,0.1553893948406314,0.014126308621875583,11,0.1553893948406314
