Model,Target,AUROC,PR_AUC,F1_at_0_50,Precision_at_0_50,Recall_at_0_50,Balanced_Accuracy_at_0_50,Features
V5 Fatigue-Associated Decline,v5_fatigue_associated_decline_flag,0.5910377879370128,0.31623835024020025,0.40879926672777267,0.31676136363636365,0.5762273901808785,0.5825581395348838,68
V6 Keep Competition,v6_role_adjusted_fatigue_performance_risk,0.6761058184883824,0.4720751521291174,0.4841875681570338,0.43190661478599224,0.5508684863523573,0.6349145126660728,101
V6 No Competition,v6_role_adjusted_fatigue_performance_risk,0.6752579904804439,0.4694956462809039,0.4841628959276018,0.44490644490644493,0.5310173697270472,0.637019753198461,100
