fixture_id,date,competition,season,round,team_name,team_id,is_home,opponent,opponent_id,goals_for,goals_against,result,points,status,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_%,home_expected_goals,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_%,away_expected_goals,home_red_cards,away_red_cards
1126233,2023-12-13T17:45:00+00:00,Champions League,2023,Group G - 6,FK Crvena Zvezda,598,True,Manchester City,50,2,3,Loss,0,FT,6.0,3.0,11.0,2.0,8.0,3.0,21.0,2.0,3.0,31%,3.0,0.0,296.0,234.0,79%,1.10,,,,,,,,,,,,,,,,,,
1126233,2023-12-13T17:45:00+00:00,Champions League,2023,Group G - 6,Manchester City,50,False,FK Crvena Zvezda,598,3,2,Win,3,FT,,,,,,,,,,,,,,,,,3.0,4.0,10.0,3.0,6.0,4.0,9.0,2.0,3.0,69%,1.0,4.0,670.0,610.0,91%,1.36,,
1149510,2024-02-13T20:00:00+00:00,Champions League,2023,Round of 16,FC Copenhagen,400,True,Manchester City,50,1,3,Loss,0,FT,1.0,2.0,4.0,1.0,3.0,1.0,13.0,2.0,0.0,21%,2.0,9.0,209.0,143.0,68%,0.26,,,,,,,,,,,,,,,,,,
1149510,2024-02-13T20:00:00+00:00,Champions League,2023,Round of 16,Manchester City,50,False,FC Copenhagen,400,3,1,Win,3,FT,,,,,,,,,,,,,,,,,13.0,7.0,27.0,7.0,17.0,10.0,3.0,6.0,1.0,79%,0.0,0.0,830.0,771.0,93%,3.44,,
1149511,2024-03-06T20:00:00+00:00,Champions League,2023,Round of 16,Manchester City,50,True,FC Copenhagen,400,3,1,Win,3,FT,3.0,1.0,12.0,8.0,10.0,2.0,5.0,4.0,1.0,69%,0.0,1.0,819.0,761.0,93%,0.77,,,,,,,,,,,,,,,,,,
1149511,2024-03-06T20:00:00+00:00,Champions League,2023,Round of 16,FC Copenhagen,400,False,Manchester City,50,1,3,Loss,0,FT,,,,,,,,,,,,,,,,,2.0,5.0,11.0,4.0,7.0,4.0,9.0,4.0,4.0,31%,2.0,0.0,363.0,318.0,88%,1.23,,
1184779,2024-04-09T19:00:00+00:00,Champions League,2023,Quarter-finals,Real Madrid,541,True,Manchester City,50,3,3,Draw,1,FT,5.0,7.0,14.0,2.0,8.0,6.0,11.0,4.0,,38%,2.0,3.0,423.0,365.0,86%,0.65,,,,,,,,,,,,,,,,,,
1184779,2024-04-09T19:00:00+00:00,Champions League,2023,Quarter-finals,Manchester City,50,False,Real Madrid,541,3,3,Draw,1,FT,,,,,,,,,,,,,,,,,6.0,2.0,12.0,4.0,5.0,7.0,9.0,2.0,,62%,2.0,3.0,690.0,629.0,91%,0.80,,
1184780,2024-04-17T19:00:00+00:00,Champions League,2023,Quarter-finals,Manchester City,50,True,Real Madrid,541,1,1,Draw,1,PEN,9.0,12.0,33.0,12.0,24.0,9.0,15.0,18.0,1.0,67%,3.0,2.0,920.0,846.0,92%,2.66,,,,,,,,,,,,,,,,,,
1184780,2024-04-17T19:00:00+00:00,Champions League,2023,Quarter-finals,Real Madrid,541,False,Manchester City,50,1,1,Draw,1,PEN,,,,,,,,,,,,,,,,,3.0,4.0,8.0,1.0,4.0,4.0,11.0,1.0,1.0,33%,2.0,8.0,457.0,373.0,82%,1.44,,
