name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,lastName,averageX,averageY,pointsCount,team,match
Daniel Jebbison,Daniel Jebbison,daniel-jebbison,D. Jebbison,F,9,552,M,1096136,"{'nameTranslation': {'ar': 'دانيال جيبيسون', 'bn': 'ড্যানিয়েল জেবিসন', 'hi': 'डैनियल जेबिसन'}, 'shortNameTranslation': {'ar': 'د. جيبيسون', 'bn': 'ডি. জেবিসন', 'hi': 'डी. जेबिसन'}}",,,63.583333333333,16.8,18,Bournemouth,1748185200_bournemouth_vs_leicester_city
Alex Scott,Alex Scott,alex-scott,A. Scott,M,8,3576,M,1104986,"{'nameTranslation': {'ar': 'أليكس سكوت', 'bn': 'অ্যালেক্স স্কট', 'hi': 'एलेक्स स्कॉट'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'bn': 'এ. স্কট', 'hi': 'ए. स्कॉट'}}",,,61.3,44.55,2,Bournemouth,1748185200_bournemouth_vs_leicester_city
Dean Huijsen,,dean-huijsen,D. Huijsen,D,24,173807,M,1176744,"{'nameTranslation': {'ar': 'دين هويسين', 'bn': 'ডিন হুইজসেন', 'hi': 'डीन हुइजसेन'}, 'shortNameTranslation': {'ar': 'د. هويسين', 'bn': 'ডি. হুইজসেন', 'hi': 'डी. हुइजसेन'}}",deanhuijsen,,45.2,66.307142857143,14,Bournemouth,1748185200_bournemouth_vs_leicester_city
Evanilson,,evanilson,Evanilson,F,9,7830,M,998490,"{'nameTranslation': {'ar': 'إيفانيلسون', 'bn': 'ইভানিলসন', 'hi': 'इवानिल्सन'}, 'shortNameTranslation': {'ar': 'إ. إيفانيلسون', 'bn': 'ইভানিলসন', 'hi': 'इवानिल्सन'}}",evanilsonlima99,,74.981481481481,59.52962962963,27,Bournemouth,1748185200_bournemouth_vs_leicester_city
Ilya Zabarnyi,,illia-zabarnyi,I. Zabarnyi,D,6,18111,M,1023567,"{'nameTranslation': {'ar': 'إيليا زابارني', 'bn': 'ইলিয়া জাবারনি', 'hi': 'इलिया ज़बरनयी'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'bn': 'আই. জাবারনি', 'hi': 'आई. ज़बरनयी'}}",IlliaZabarnyi,,43.237777777778,29.78,90,Bournemouth,1748185200_bournemouth_vs_leicester_city
Tyler Adams,Tyler,tyler-adams,T. Adams,M,12,3013,M,800419,"{'nameTranslation': {'ar': 'تايلر آدامز', 'bn': 'টাইলার অ্যাডামস', 'hi': 'टायलर एडम्स'}, 'shortNameTranslation': {'ar': 'ت. آدامز', 'bn': 'টি. অ্যাডামস', 'hi': 'टी. एडम्स'}}",,Adams,49.536231884058,43.755072463768,69,Bournemouth,1748185200_bournemouth_vs_leicester_city
Adam Smith,,adam-smith,A. Smith,D,15,472,M,44566,"{'nameTranslation': {'ar': 'آدم سميث', 'bn': 'অ্যাডাম স্মিথ', 'hi': 'एडम स्मिथ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'bn': 'এ. স্মিথ', 'hi': 'ए. स्मिथ'}}",,,54.813888888889,13.534722222222,72,Bournemouth,1748185200_bournemouth_vs_leicester_city
Justin Kluivert,Justin,justin-kluivert,J. Kluivert,M,19,7017,M,851596,"{'nameTranslation': {'ar': 'جاستن كلويفرت', 'bn': 'জাস্টিন ক্লুইভার্ট', 'hi': 'जस्टिन क्लुइवर्ट'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'bn': 'জে. ক্লুইভার্ট', 'hi': 'जे. क्लुइवर्ट'}}",justinkluivert,Kluivert,68.658461538462,41.835384615385,65,Bournemouth,1748185200_bournemouth_vs_leicester_city
Marcus Tavernier,,marcus-tavernier,M. Tavernier,M,16,2149,M,895576,"{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'bn': 'মার্কাস ট্যাভার্নিয়ার', 'hi': 'मार्कस टैवर्नियर'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'bn': 'এম. ট্যাভার্নিয়ার', 'hi': 'एम. टैवर्नियर'}}",,,60.086,66.47,100,Bournemouth,1748185200_bournemouth_vs_leicester_city
Antoine Semenyo,,antoine-semenyo,A. Semenyo,M,42,107340,M,934354,"{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'bn': 'অ্যান্টোইন সেমেনিও', 'hi': 'एंटोनी सेमेन्यो'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'bn': 'এ. সেমেনিও', 'hi': 'ए. सेमेन्यो'}}",antoinesemenyo42,,64.622033898305,73.271186440678,59,Bournemouth,1748185200_bournemouth_vs_leicester_city
