name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,firstName,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Rodrigo Gomes,gomes-rodrigo,R. Gomes,M,21,1415,M,1006073,"{'nameTranslation': {'ar': 'غوميز، رودريغو', 'bn': 'গোমেস, রদ্রিগো', 'hi': 'गोम्स, रोड्रिगो'}, 'shortNameTranslation': {'ar': 'ر. غوميز', 'bn': 'আর. গোমেস', 'hi': 'आर. गोम्स'}}",,,,63.46,29.6,10,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
Carlos Forbs,carlos-borges,C. Forbs,M,9,11601,M,1069486,"{'nameTranslation': {'ar': 'كارلوس بورغيس', 'bn': 'কার্লোস বোর্হেস', 'hi': 'कार्लोस बोर्गेस'}, 'shortNameTranslation': {'ar': 'ك. بورغيس', 'bn': 'সি. বোর্হেস', 'hi': 'सी. बोर्गेस'}}",Carlos Forbs,,,32.82,89.26,5,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
Jean-Ricner Bellegarde,jean-ricner-bellegarde,J. Bellegarde,M,27,35297,M,845273,"{'nameTranslation': {'ar': 'جان-ريكنا بللجارد', 'bn': 'জিন-রিকনার বেলেগার্ড', 'hi': 'जीन-रिकनर बेलेगार्डे'}, 'shortNameTranslation': {'ar': 'ج. بللجارد', 'bn': 'জে.-আর. বেলগার্ড', 'hi': 'जे.आर. बेलेगार्डे'}}",Jean-Ricner,Bellegarde,,64.0,65.6,6,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
Jørgen Strand Larsen,jorgen-strand-larsen,J. Larsen,F,22,7690,M,876599,"{'nameTranslation': {'ar': 'يورغن ستراند لارسون', 'bn': 'জার্গেন স্ট্র্যান্ড লারসেন', 'hi': 'जोर्गेन स्ट्रैण्ड लार्सन'}, 'shortNameTranslation': {'ar': 'ي. لارسون', 'bn': 'জে. এস. লারসেন', 'hi': 'जे.एस. लार्सन'}}",Jorgen Strand,Larsen,,62.845454545455,51.566666666667,33,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
Santiago Bueno,santiago-bueno,S. Bueno,D,4,1390,M,846308,"{'nameTranslation': {'ar': 'سانتياغو بويينو', 'bn': 'সান্তিয়াগো বুয়েনো', 'hi': 'सैंटियागो ब्यूनो'}, 'shortNameTranslation': {'ar': 'س. بويينو', 'bn': 'এস. বুয়েনো', 'hi': 'एस. ब्यूनो'}}",Santiago,Bueno,,32.4125,25.7,8,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,2484,M,138573,"{'nameTranslation': {'ar': 'بابلو سارابيا', 'bn': 'পাবলো সারাবিয়া', 'hi': 'पाब्लो साराबिया'}, 'shortNameTranslation': {'ar': 'ب. سارابيا', 'bn': 'পি. সারাবিয়া', 'hi': 'पी. साराबिया'}}",,,,61.657894736842,27.515789473684,19,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
Toti Gomes,toti-gomes,T. Gomes,D,24,1118,M,973418,"{'nameTranslation': {'ar': 'توتي غوميس', 'bn': 'টোটি গোমস', 'hi': 'टोटी गोम्स'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'bn': 'টি. গোমেজ', 'hi': 'टी. गोम्स'}}",Toti,Gomes,,34.117391304348,81.16,115,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
Marshall Munetsi,marshall-munetsi,M. Munetsi,M,18,2139,M,894733,"{'nameTranslation': {'ar': 'مارشال مونيتسي', 'bn': 'মার্শাল মুনেতসি', 'hi': 'मार्शल मुनेत्सी'}, 'shortNameTranslation': {'ar': 'م. مونيتسي', 'bn': 'এম. মুনেতসি', 'hi': 'एम. मुनेत्सी'}}",Marshall,Munetsi,,53.422727272727,43.147727272727,44,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
Rayan Aït-Nouri,rayan-ait-nouri,R. Aït-Nouri,D,21,50323,M,931278,"{'nameTranslation': {'ar': 'ريان آيت نوري', 'bn': 'রায়ান আইত নুরী', 'hi': 'रेयान ऐत नूरी'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'bn': 'আর. এ. নুরী', 'hi': 'आर. ऐ. नूरी'}}",Rayan,Ait Nouri,r_aitnouri,53.023529411765,77.466666666667,102,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
José Sá,jose-sa,J. Sá,G,1,4370,M,252669,"{'nameTranslation': {'ar': 'خوسيه سا', 'bn': 'জোসে সা', 'hi': 'जोस सा'}, 'shortNameTranslation': {'ar': 'خ. سا', 'bn': 'জে. সা', 'hi': 'जे. सा'}}",,,,11.103921568627,49.639215686275,51,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
