name,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,firstName,lastName,averageX,averageY,pointsCount,team,match
James McAtee,james-mcatee,J. McAtee,M,24,10361,M,jamesmcatee_,1003334,"{'nameTranslation': {'ar': 'جيمس مكاتي', 'bn': 'জেমস ম্যাকাটি', 'hi': 'जेम्स मैकएटी'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'bn': 'জে. ম্যাকাটি', 'hi': 'जे. मैकएटी'}}",,,64.8,16.414285714286,7,Manchester City,1746212400_manchester_city_vs_wolverhampton
Phil Foden,phil-foden,P. Foden,M,47,172419,M,Foden,859765,"{'nameTranslation': {'ar': 'فيل فودين', 'bn': 'ফিল ফোডেন', 'hi': 'फिल फोडेन'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'bn': 'পি. ফোডেন', 'hi': 'पी. फोडेन'}}",Phil,Foden,50.533333333333,74.766666666667,3,Manchester City,1746212400_manchester_city_vs_wolverhampton
Rúben Dias,ruben-dias,R. Dias,D,3,42234,M,RúbenD,318941,"{'nameTranslation': {'ar': 'روبن دياز', 'bn': 'রুবেন ডায়াস', 'hi': 'रुबेन डियास'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'bn': 'আর. ডায়াস', 'hi': 'आर. डियास'}}",,,39.077358490566,30.93679245283,106,Manchester City,1746212400_manchester_city_vs_wolverhampton
İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,49901,M,IGunny,45853,"{'nameTranslation': {'ar': 'إلكاي غوندوغان', 'bn': 'ইল্কে গুন্ডোগান', 'hi': 'इल्के गुंडोगन'}, 'shortNameTranslation': {'ar': 'إ. غوندوغان', 'bn': 'আই. গুন্ডোগান', 'hi': 'आई. गुंडोगन'}}",,,60.926086956522,68.708695652174,46,Manchester City,1746212400_manchester_city_vs_wolverhampton
Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,35022,M,Kova8,136710,"{'nameTranslation': {'ar': 'ماتيو كوفاتشيتش', 'bn': 'মাতেও কোভাসিক', 'hi': 'माटेओ कोवासिक'}, 'shortNameTranslation': {'ar': 'م. كوفاتشيتش', 'bn': 'এম. কোভাসিচ', 'hi': 'एम. कोवासिक'}}",,,52.943119266055,62.019266055046,109,Manchester City,1746212400_manchester_city_vs_wolverhampton
Manuel Akanji,manuel-akanji,M. Akanji,D,25,29215,M,manuel_akanji,383560,"{'nameTranslation': {'ar': 'مانويل أكانجي', 'bn': 'ম্যানুয়েল আকানজি', 'hi': 'मैनुअल अकांजी'}, 'shortNameTranslation': {'ar': 'م. أكانجي', 'bn': 'এম. আকানজি', 'hi': 'एम. अकांजी'}}",Manuel,Akanji,35.458139534884,64.76976744186,43,Manchester City,1746212400_manchester_city_vs_wolverhampton
Nico O'Reilly,nico-o-reilly,N. O’Reilly,D,33,31189,M,,1142703,"{'nameTranslation': {'ar': 'نيكو أوريلي', 'bn': ""নিকো ও'রেইলি"", 'hi': ""निको ओ'रेली""}, 'shortNameTranslation': {'ar': 'ن. أوريلي', 'bn': ""এন. ও'রেইলি"", 'hi': ""एन. ओ'रेली""}}",Nico,O’Reilly,55.545762711864,80.157627118644,59,Manchester City,1746212400_manchester_city_vs_wolverhampton
Rico Lewis,rico-lewis,R. Lewis,D,82,18295,M,Rico_Lewis,1136731,"{'nameTranslation': {'ar': 'ريكو لويس', 'bn': 'রিকো লুইস', 'hi': 'रिको लुईस'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'bn': 'আর. লুইস', 'hi': 'आर. लुईस'}}",Rico Lewis,,57.742857142857,31.771428571429,7,Manchester City,1746212400_manchester_city_vs_wolverhampton
Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,317589,M,KDB,70996,"{'nameTranslation': {'ar': 'كيفن دي بروين', 'bn': 'কেভিন ডি ব্রুইন', 'hi': 'केविन डी ब्रूने'}, 'shortNameTranslation': {'ar': 'ك. دي بروين', 'bn': 'কে. ডি ব্রুইন', 'hi': 'के. डी ब्रूने'}}",,,66.135294117647,31.245588235294,68,Manchester City,1746212400_manchester_city_vs_wolverhampton
Omar Marmoush,omar-marmoush,O. Marmoush,F,7,208792,M,OMarmoush,873554,"{'nameTranslation': {'ar': 'عمر مرموش', 'bn': 'ওমর মারমাউস', 'hi': 'उमर मार्मौश'}, 'shortNameTranslation': {'ar': 'ع. مرموش', 'bn': 'ও. মারমাউস', 'hi': 'ओ. मार्मौश'}}",Omar,Marmoush,64.871794871795,25.0,39,Manchester City,1746212400_manchester_city_vs_wolverhampton
