name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,lastName,averageX,averageY,pointsCount,team,match
Joshua King,Joshua King,joshua-king,J. King,M,24,1959,M,1546231,"{'nameTranslation': {'ar': 'جوشوا كينغ'}, 'shortNameTranslation': {'ar': 'ج. كينغ'}}",,,75.536363636364,28.090909090909,11,Fulham,1746885600_fulham_vs_everton
Adama Traoré,,adama-traore,A. Traoré,F,17,13109,M,286165,"{'nameTranslation': {'ar': 'أداما تراوري', 'bn': 'আদামা ট্রাওরে', 'hi': 'एडाम ट्राओरे'}, 'shortNameTranslation': {'ar': 'أ. تراوري', 'bn': 'এ. ট্রাওরে', 'hi': 'ए. ट्राओरे'}}",adamatrd,,72.658333333333,19.016666666667,12,Fulham,1746885600_fulham_vs_everton
Martial Godo,,martial-godo,M. Godo,M,20,3225,M,1190938,"{'nameTranslation': {'ar': 'مارسيال جودو', 'bn': 'মার্শাল গোডো', 'hi': 'मार्शल गोडो'}, 'shortNameTranslation': {'ar': 'م. جودو', 'bn': 'এম. গোডো', 'hi': 'एम. गोडो'}}",,,77.870588235294,83.717647058824,17,Fulham,1746885600_fulham_vs_everton
Tom Cairney,,tom-cairney,T. Cairney,M,10,825,M,82566,"{'nameTranslation': {'ar': 'توم كايرني', 'bn': 'টম কেয়ারনে', 'hi': 'टॉम केर्नी'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'bn': 'টি. কেয়ারনে', 'hi': 'टी. केर्नी'}}",,,56.623076923077,65.611538461538,26,Fulham,1746885600_fulham_vs_everton
Willian,,willian,Willian,M,10,9887,M,31417,"{'nameTranslation': {'ar': 'ويليان', 'bn': 'উইলিয়ান', 'hi': 'विलियन'}, 'shortNameTranslation': {'ar': 'ويليان', 'bn': 'উইলিয়ান', 'hi': 'विलियन'}}",willianborges88,,64.680952380952,69.77619047619,21,Fulham,1746885600_fulham_vs_everton
Ryan Sessegnon,Ryan,ryan-sessegnon,R. Sessegnon,D,30,1921,M,836698,"{'nameTranslation': {'ar': 'ريان سيسينيون', 'bn': 'রায়ান সেসেগনন', 'hi': 'रयान सेसेग्नन'}, 'shortNameTranslation': {'ar': 'ر. سيسينيون', 'bn': 'আর. সেসেগনন', 'hi': 'आर. सेसेग्नन'}}",,Sessegnon,44.852427184466,87.259223300971,103,Fulham,1746885600_fulham_vs_everton
Raúl Jiménez,,raul-jimenez,R. Jiménez,F,7,19495,M,192442,"{'nameTranslation': {'ar': 'راؤول خيمينيز', 'bn': 'রাউল জিমেনেজ', 'hi': 'राउल जिमेनेज़'}, 'shortNameTranslation': {'ar': 'ر. خيمينيز', 'bn': 'আর. জিমেনেজ', 'hi': 'आर. जिमेनेज़'}}",RJimenez9,,63.390243902439,41.646341463415,41,Fulham,1746885600_fulham_vs_everton
Andreas Pereira,Andreas,andreas-pereira,A. Pereira,M,8,15400,M,285949,"{'nameTranslation': {'ar': 'أندرياس بيريرا', 'bn': 'আন্দ্রেয়াস পেরেইরা', 'hi': 'एंड्रियास परेरा'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'bn': 'আন্দ্রেয়াস পেরেইরা', 'hi': 'एंड्रियास परेरा'}}",andreaspereira,Pereira,55.077272727273,44.127272727273,44,Fulham,1746885600_fulham_vs_everton
Kenny Tete,Kenny,kenny-tete,K. Tete,D,2,1179,M,190877,"{'nameTranslation': {'ar': 'كيني تيتي', 'bn': 'কেনি টেটে', 'hi': 'केनी टेटे'}, 'shortNameTranslation': {'ar': 'ك. تيتي', 'bn': 'কে. টেটে', 'hi': 'के. टेटे'}}",,Tete,50.691666666667,17.298611111111,72,Fulham,1746885600_fulham_vs_everton
Joachim Andersen,Joachim,joachim-andersen,J. Andersen,D,5,2506,M,362682,"{'nameTranslation': {'ar': 'يواكيم أندرسن', 'bn': 'জোয়াকিম অ্যান্ডারসেন', 'hi': 'जोआचिम एंडरसन'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'bn': 'জে. অ্যান্ডারসেন', 'hi': 'जे. एंडरसन'}}",,Andersen,37.404545454545,40.027272727273,110,Fulham,1746885600_fulham_vs_everton
Emile Smith Rowe,Emile,emile-smith-rowe,E. Smith Rowe,M,32,7369,M,867445,"{'nameTranslation': {'ar': 'إيميل سميث رو', 'bn': 'এমিল স্মিথ রো', 'hi': 'एमिल स्मिथ रोवे'}, 'shortNameTranslation': {'ar': 'إ. سميث رو', 'bn': 'ই. স্মিথ রো', 'hi': 'ई. स्मिथ'}}",esr,Smith Rowe,57.823214285714,76.176785714286,56,Fulham,1746885600_fulham_vs_everton
Harry Wilson,Harry,harry-wilson,H. Wilson,M,8,5583,M,355528,"{'nameTranslation': {'ar': 'هاري ويلسون', 'bn': 'হ্যারি উইলসন', 'hi': 'हैरी विल्सन'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'bn': 'এইচ. উইলসন', 'hi': 'एच. विल्सन'}}",,Wilson,64.09512195122,36.553658536585,41,Fulham,1746885600_fulham_vs_everton
Calvin Bassey,Calvin,calvin-bassey,C. Bassey,D,3,8670,M,861972,"{'nameTranslation': {'ar': 'كالفين باسي', 'bn': 'ক্যালভিন বাসসি', 'hi': 'केल्विन बैसी'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'bn': 'সি. বাসসি', 'hi': 'सी. बैसी'}}",,Bassey,37.315596330275,76.383486238532,109,Fulham,1746885600_fulham_vs_everton
