name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,averageX,averageY,pointsCount,team,match
Jean-Clair Todibo,Jean-Clair,Todibo,jean-clair-todibo,J. Todibo,D,25,2681,M,945217,"{'nameTranslation': {'ar': 'جان-كلير توديبوا', 'bn': 'জিন-ক্লেয়ার তোডিবো', 'hi': 'जीन-क्लेयर टोडिबो'}, 'shortNameTranslation': {'ar': 'ج. توديبوا', 'bn': 'জে.-সি. তোডিবো', 'hi': 'जे.सी. टोडिबो'}}",,35.436666666667,17.575,60,West Ham United,1746363600_west_ham_united_vs_tottenham_hotspur
Emerson,Emerson,Emerson,emerson,Emerson,D,33,2433,M,155997,"{'nameTranslation': {'ar': 'إيمرسون', 'bn': 'এমারসন পালমিরি', 'hi': 'एमर्सन पामिएरी'}, 'shortNameTranslation': {'ar': 'إيمرسون', 'bn': 'এমারসন', 'hi': 'एमर्सन पामिएरी'}}",,52.05,88.537037037037,54,West Ham United,1746363600_west_ham_united_vs_tottenham_hotspur
Max Kilman,Max,Kilman,max-kilman,M. Kilman,D,3,1281,M,894474,"{'nameTranslation': {'ar': 'ماكس كيلمان', 'bn': 'ম্যাক্স কিলম্যান', 'hi': 'मैक्स किलमन'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'bn': 'এম. কিলম্যান', 'hi': 'एम. किलमन'}}",,35.360759493671,49.446835443038,79,West Ham United,1746363600_west_ham_united_vs_tottenham_hotspur
Lucas Paquetá,Lucas,Paqueta,lucas-paqueta,L. Paquetá,M,20,69169,M,839981,"{'nameTranslation': {'ar': 'لوكاس باكيتا', 'bn': 'লুকাস পাকেতা', 'hi': 'लुकास पेकटा'}, 'shortNameTranslation': {'ar': 'ل. باكيتا', 'bn': 'এল. পাকেতা', 'hi': 'एल. पेकटा'}}",Paqueta,45.653488372093,50.567441860465,86,West Ham United,1746363600_west_ham_united_vs_tottenham_hotspur
Tomáš Souček,Tomas,Soucek,tomas-soucek,T. Souček,M,28,3526,M,799041,"{'nameTranslation': {'ar': 'توماش سوتشيك', 'bn': 'তোমাস সোউচেক', 'hi': 'टॉमस सौसेक'}, 'shortNameTranslation': {'ar': 'ت. سوتشيك', 'bn': 'টি. সোউচেক', 'hi': 'टी. सौसेक'}}",,56.258904109589,38.001369863014,73,West Ham United,1746363600_west_ham_united_vs_tottenham_hotspur
Alphonse Aréola,,,alphonse-areola,A. Aréola,G,23,3109,M,96531,"{'nameTranslation': {'ar': 'ألفونس أريولا', 'bn': 'আলফোনস আরেওলা', 'hi': 'अल्फोंस एरियोला'}, 'shortNameTranslation': {'ar': 'أ. أريولا', 'bn': 'এ. আরেওলা', 'hi': 'ए. एरियोला'}}",,12.65,47.608695652174,46,West Ham United,1746363600_west_ham_united_vs_tottenham_hotspur
Aaron Cresswell,,,aaron-cresswell,A. Cresswell,D,3,750,M,43443,"{'nameTranslation': {'ar': 'آرون كريسويل', 'bn': 'অ্যারন ক্রেসওয়েল', 'hi': 'आरोन क्रेसवेल'}, 'shortNameTranslation': {'ar': 'آ. كريسويل', 'bn': 'এ. ক্রেসওয়েল', 'hi': 'ए. क्रेसवेल'}}",,38.621739130435,79.51847826087,92,West Ham United,1746363600_west_ham_united_vs_tottenham_hotspur
James Ward-Prowse,James,Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,20,4260,M,161717,"{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'bn': 'জেমস ওয়ার্ড-প্রোস', 'hi': 'जेम्स वार्ड-प्रोव्स'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'bn': 'জে. ওয়ার্ড-প্রোস', 'hi': 'जे. वार्ड-प्रोव्स'}}",prowsey16,57.446666666667,42.493333333333,15,West Ham United,1746363600_west_ham_united_vs_tottenham_hotspur
Carlos Soler,Carlos,Soler,carlos-soler,C. Soler,M,18,4345,M,832427,"{'nameTranslation': {'ar': 'كارلوس سولير', 'bn': 'কার্লোস সোলার', 'hi': 'कार्लोस सोलर'}, 'shortNameTranslation': {'ar': 'ك. سولير', 'bn': 'সি. সোলার', 'hi': 'सी. सोलर'}}",Carlos10Soler,51.583333333333,57.391666666667,12,West Ham United,1746363600_west_ham_united_vs_tottenham_hotspur
Vladimír Coufal,,,vladimir-coufal,V. Coufal,D,34,1840,M,138024,"{'nameTranslation': {'ar': 'فلاديمير كوفال', 'bn': 'ভ্লাদিমির কউফল', 'hi': 'व्लादिमीर कुफाल'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'bn': 'ভি. কউফল', 'hi': 'वी. कुफाल'}}",,44.563636363636,17.081818181818,11,West Ham United,1746363600_west_ham_united_vs_tottenham_hotspur
