name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,firstName,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Jota Silva,jota-silva,J. Silva,F,26,3087,M,1011895,"{'nameTranslation': {'ar': 'جوتا سيلفا', 'bn': 'জোটা সিলভা', 'hi': 'जोटा सिल्वा'}, 'shortNameTranslation': {'ar': 'ج. سيلفا', 'bn': 'জে. সিলভা', 'hi': 'जे. सिल्वा'}}",,,,52.918181818182,13.890909090909,11,Nottingham Forest,1748185200_nottingham_forest_vs_chelsea
Callum Hudson Odoi,callum-hudson-odoi,C. Hudson Odoi,M,7,9469,M,867442,"{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'bn': 'ক্যালাম হাডসন-ওডোই', 'hi': 'कैलम हडसन-ओडोई'}, 'shortNameTranslation': {'ar': 'ك. أودوي', 'bn': 'সি. হাডসন-ওডোই', 'hi': 'सी. हडसन-ओडोई'}}",Callum,Hudson Odoi,Calteck10,54.966666666667,82.609523809524,21,Nottingham Forest,1748185200_nottingham_forest_vs_chelsea
Chris Wood,chris-wood,C. Wood,F,11,7540,M,50480,"{'nameTranslation': {'ar': 'كريس وود', 'bn': 'ক্রিস উড', 'hi': 'क्रिस वुड'}, 'shortNameTranslation': {'ar': 'ك. وود', 'bn': 'সি. উড', 'hi': 'सी. वुड'}}",,,wodsy39,65.864,56.3,25,Nottingham Forest,1748185200_nottingham_forest_vs_chelsea
Ryan Yates,ryan-yates,R. Yates,M,22,1090,M,846252,"{'nameTranslation': {'ar': 'ريان ييتس', 'bn': 'রায়ান ইয়েটস', 'hi': 'रयान येट्स'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'bn': 'আর. ইয়েটস', 'hi': 'आर. येट्स'}}",Ryan,Yates,,49.961290322581,33.154838709677,31,Nottingham Forest,1748185200_nottingham_forest_vs_chelsea
Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,10266,M,843754,"{'nameTranslation': {'ar': 'إبراهيم سانغاري', 'bn': 'ইব্রাহিম সাঙ্গারে', 'hi': 'इब्राहिम संगारे'}, 'shortNameTranslation': {'ar': 'إ. سانغاري', 'bn': 'আই. সাঙ্গারে', 'hi': 'आई. संगारे'}}",,,ibrahim_sangare,42.701960784314,38.247058823529,51,Nottingham Forest,1748185200_nottingham_forest_vs_chelsea
Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,3373,M,871765,"{'nameTranslation': {'ar': 'نيكولاس دومينغيز', 'bn': 'নিকোলাস ডোমিংগুয়েজ', 'hi': 'निकोलस डोमिन्ग्यूज़'}, 'shortNameTranslation': {'ar': 'ن. دومينغيز', 'bn': 'এন. ডোমিঙ্গুয়েজ', 'hi': 'एन. डोमिन्ग्यूज़'}}",Nicolas,Dominguez,,52.024444444444,26.031111111111,45,Nottingham Forest,1748185200_nottingham_forest_vs_chelsea
Ola Aina,ola-aina,O. Aina,D,34,4182,M,800417,"{'nameTranslation': {'ar': 'أولا أينا', 'bn': 'ওলা আইনা', 'hi': 'ओला आइना'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'bn': 'ও. আইনা', 'hi': 'ओ. आइना'}}",Ola,Aina,,54.149230769231,12.727692307692,65,Nottingham Forest,1748185200_nottingham_forest_vs_chelsea
Neco Williams,neco-williams,N. Williams,D,3,3504,M,927356,"{'nameTranslation': {'ar': 'نيكو ويليامز', 'bn': 'উইলিয়ামস, নেকো', 'hi': 'विलियम्स, नेको'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'bn': 'এন. উইলিয়ামস', 'hi': 'एन. विलियम्स'}}",Neco,Williams,,48.217910447761,79.749253731343,67,Nottingham Forest,1748185200_nottingham_forest_vs_chelsea
Elliot Anderson,elliot-anderson,E. Anderson,M,8,9315,M,994546,"{'nameTranslation': {'ar': 'إليوت أندرسون', 'bn': 'এলিয়ট অ্যান্ডারসন', 'hi': 'इलियट एंडरसन'}, 'shortNameTranslation': {'ar': 'إ. أندرسون', 'bn': 'ই. অ্যান্ডারসন', 'hi': 'ई. एंडरसन'}}",,,,57.419178082192,64.075342465753,73,Nottingham Forest,1748185200_nottingham_forest_vs_chelsea
Matz Sels,matz-sels,M. Sels,G,26,2580,M,78152,"{'nameTranslation': {'ar': 'ماتس سيلس', 'bn': 'ম্যাটজ সেলস', 'hi': 'मैट्ज़ सेल्स'}, 'shortNameTranslation': {'ar': 'م. سيلس', 'bn': 'এম. সেলস', 'hi': 'एम. सेल्स'}}",,,,16.017647058824,49.539215686275,51,Nottingham Forest,1748185200_nottingham_forest_vs_chelsea
