name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team,match
Reece James,Reece,James,reece-james,R. James,D,24,52423,M,ReeceJ,885908,"{'nameTranslation': {'ar': 'ريس جيمس', 'bn': 'রিস জেমস', 'hi': 'रीस जेम्स'}, 'shortNameTranslation': {'ar': 'ر. جيمس', 'bn': 'আর. জেমস', 'hi': 'आर. जेम्स'}}",43.616666666667,26.972222222222,18,Chelsea,1745667000_chelsea_vs_everton
Tyrique George,Tyrique George,,tyrique-george,T. George,F,19,12356,M,,1403061,"{'nameTranslation': {'ar': 'تايريك جورج', 'bn': 'টাইরিক জর্জ', 'hi': 'टायरिक जॉर्ज'}, 'shortNameTranslation': {'ar': 'ت. جورج', 'bn': 'টি. জর্জ', 'hi': 'टी. जॉर्ज'}}",62.8,4.0,2,Chelsea,1745667000_chelsea_vs_everton
Nicolas Jackson,Nicolas Jackson,,nicolas-jackson,N. Jackson,F,11,97857,M,NJackson11,1085381,"{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'bn': 'নিকোলাস জ্যাকসন', 'hi': 'निकोलस जैक्सन'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'bn': 'এন. জ্যাকসন', 'hi': 'एन. जैक्सन'}}",62.446,55.012,50,Chelsea,1745667000_chelsea_vs_everton
Cole Palmer,,,cole-palmer,C. Palmer,M,10,372457,M,ColdPalmer,982780,"{'nameTranslation': {'ar': 'كول بالمر', 'bn': 'কোল পামার', 'hi': 'कोल पाल्मर'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'bn': 'সি. পামার', 'hi': 'सी. पाल्मर'}}",55.404,22.31,50,Chelsea,1745667000_chelsea_vs_everton
Jadon Sancho,Jadon,Sancho,jadon-sancho,J. Sancho,M,19,66764,M,JSancho,851100,"{'nameTranslation': {'ar': 'جادون سانشو', 'bn': 'সানচো, জাডন', 'hi': 'सैन्चो, जाडॉन'}, 'shortNameTranslation': {'ar': 'ج. سانشو', 'bn': 'জে. সানচো', 'hi': 'जे. जाडॉन'}}",55.45,73.725,4,Chelsea,1745667000_chelsea_vs_everton
Kiernan Dewsbury-Hall,Kiernan,Dewsbury-Hall,kiernan-dewsbury-hall,K. Dewsbury-Hall,M,22,10883,M,kdh_8,861970,"{'nameTranslation': {'ar': 'ديوسبري-هال، كيرنان', 'bn': 'ডেউসবারি-হল, কিয়ারনান', 'hi': 'ड्यूस्बरी-हॉल, कियरन'}, 'shortNameTranslation': {'ar': 'ك. ديوسبري-هال', 'bn': 'কে. ডেউসবারি-হল', 'hi': 'के. ड्यूस्बरी-हॉल'}}",48.1,35.6,2,Chelsea,1745667000_chelsea_vs_everton
Noni Madueke,,,noni-madueke,N. Madueke,M,20,42101,M,nonzinoo10,966547,"{'nameTranslation': {'ar': 'نوني مادويكي', 'bn': 'ননি মাদুকে', 'hi': 'नोनी मदुके'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'bn': 'এন. মাদুকে', 'hi': 'एन. मदुके'}}",67.293846153846,77.723076923077,65,Chelsea,1745667000_chelsea_vs_everton
Roméo Lavia,Romeo Lavia,,romeo-lavia,R. Lavia,M,45,17725,M,romeolavia,1069488,"{'nameTranslation': {'ar': 'روميو لافيا', 'bn': 'রোমিও লাভিয়া', 'hi': 'रोमियो लाविया'}, 'shortNameTranslation': {'ar': 'ر. لافيا', 'bn': 'আর. লাভিয়া', 'hi': 'आर. लाविया'}}",52.982142857143,53.142857142857,56,Chelsea,1745667000_chelsea_vs_everton
Marc Cucurella,Marc,Cucurella,marc-cucurella,M. Cucurella,D,3,39705,M,cucurella3,794939,"{'nameTranslation': {'ar': 'مارك كوكوريلا', 'bn': 'মার্ক কুকুরেলা', 'hi': 'मार्क कोकोरेला'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'bn': 'এম. কুকুরেলা', 'hi': 'एम. कोकोरेला'}}",45.406,79.278,100,Chelsea,1745667000_chelsea_vs_everton
Moisés Caicedo,Moises,Caicedo,moises-caicedo,M. Caicedo,M,25,82941,M,MoisesCaicedo55,987650,"{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'bn': 'মোজেস কাইসেডো', 'hi': 'मोइसेस कैसेडो'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'bn': 'এম. কাইসেডো', 'hi': 'एम. कैसेडो'}}",47.196739130435,34.710869565217,92,Chelsea,1745667000_chelsea_vs_everton
