name,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,firstName,lastName,averageX,averageY,pointsCount,team,match
Malo Gusto,gusto-malo,M. Gusto,D,27,20675,M,malogst,996958,"{'nameTranslation': {'ar': 'مالو غوستو', 'bn': 'গুস্টো, মালো', 'hi': 'गुस्टो, मालो'}, 'shortNameTranslation': {'ar': 'م. غوستو', 'bn': 'এম. গুস্টো', 'hi': 'एम. गुस्टो'}}",,,53.357142857143,16.228571428571,7,Chelsea,1747422900_chelsea_vs_manchester_united
Roméo Lavia,romeo-lavia,R. Lavia,M,45,17725,M,romeolavia,1069488,"{'nameTranslation': {'ar': 'روميو لافيا', 'bn': 'রোমিও লাভিয়া', 'hi': 'रोमियो लाविया'}, 'shortNameTranslation': {'ar': 'ر. لافيا', 'bn': 'আর. লাভিয়া', 'hi': 'आर. लाविया'}}",Romeo Lavia,,42.8,57.5,3,Chelsea,1747422900_chelsea_vs_manchester_united
Tyrique George,tyrique-george,T. George,F,19,12356,M,,1403061,"{'nameTranslation': {'ar': 'تايريك جورج', 'bn': 'টাইরিক জর্জ', 'hi': 'टायरिक जॉर्ज'}, 'shortNameTranslation': {'ar': 'ت. جورج', 'bn': 'টি. জর্জ', 'hi': 'टी. जॉर्ज'}}",Tyrique George,,59.861111111111,36.922222222222,18,Chelsea,1747422900_chelsea_vs_manchester_united
Robert Sánchez,robert-sanchez,R. Sánchez,G,1,19251,M,RS1,920546,"{'nameTranslation': {'ar': 'روبرت سانشيز', 'bn': 'রবার্ট সানচেজ', 'hi': 'रॉबर्ट सांचेज़'}, 'shortNameTranslation': {'ar': 'ر. سانشيز', 'bn': 'আর. সানচেজ', 'hi': 'आर. सांचेज़'}}",,,10.506976744186,51.337209302326,43,Chelsea,1747422900_chelsea_vs_manchester_united
Noni Madueke,noni-madueke,N. Madueke,M,20,42101,M,nonzinoo10,966547,"{'nameTranslation': {'ar': 'نوني مادويكي', 'bn': 'ননি মাদুকে', 'hi': 'नोनी मदुके'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'bn': 'এন. মাদুকে', 'hi': 'एन. मदुके'}}",,,67.884,77.53,50,Chelsea,1747422900_chelsea_vs_manchester_united
Marc Cucurella,marc-cucurella,M. Cucurella,D,3,39705,M,cucurella3,794939,"{'nameTranslation': {'ar': 'مارك كوكوريلا', 'bn': 'মার্ক কুকুরেলা', 'hi': 'मार्क कोकोरेला'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'bn': 'এম. কুকুরেলা', 'hi': 'एम. कोकोरेला'}}",Marc,Cucurella,48.738571428571,83.51,70,Chelsea,1747422900_chelsea_vs_manchester_united
Cole Palmer,cole-palmer,C. Palmer,M,10,372457,M,ColdPalmer,982780,"{'nameTranslation': {'ar': 'كول بالمر', 'bn': 'কোল পামার', 'hi': 'कोल पाल्मर'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'bn': 'সি. পামার', 'hi': 'सी. पाल्मर'}}",,,62.562295081967,53.960655737705,61,Chelsea,1747422900_chelsea_vs_manchester_united
Levi Colwill,levi-colwill,L. Colwill,D,6,20103,M,LColwill,996911,"{'nameTranslation': {'ar': 'ليفي كولويل', 'bn': 'লেভি কলউইল', 'hi': 'लेवी कोलविल'}, 'shortNameTranslation': {'ar': 'ل. كولويل', 'bn': 'এল. কলউইল', 'hi': 'एल. कोलविल'}}",,,40.827272727273,77.64696969697,66,Chelsea,1747422900_chelsea_vs_manchester_united
Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,10910,M,tosinadarabioyo,352668,"{'nameTranslation': {'ar': 'توسين أدارابايو', 'bn': 'তোসিন আদারাবিয়োয়ো', 'hi': 'टोसिन अदाराबियोयो'}, 'shortNameTranslation': {'ar': 'ت. أدارابايو', 'bn': 'টি. আদারাবিয়োয়ো', 'hi': 'टी. अदाराबियोयो'}}",Tosin,Adarabioyo,35.434782608696,44.114492753623,69,Chelsea,1747422900_chelsea_vs_manchester_united
Enzo Fernández,enzo-fernandez,E. Fernández,M,8,127045,M,Enzo8,974505,"{'nameTranslation': {'ar': 'إنزو فرنانديز', 'bn': 'এনজো ফার্নান্ডেজ', 'hi': 'एन्ज़ो फर्नांडीज़'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'bn': 'ই. ফার্নান্ডেজ', 'hi': 'ई. फर्नांडीज़'}}",,,50.5,29.801515151515,66,Chelsea,1747422900_chelsea_vs_manchester_united
Reece James,reece-james,R. James,D,24,52423,M,ReeceJ,885908,"{'nameTranslation': {'ar': 'ريس جيمس', 'bn': 'রিস জেমস', 'hi': 'रीस जेम्स'}, 'shortNameTranslation': {'ar': 'ر. جيمس', 'bn': 'আর. জেমস', 'hi': 'आर. जेम्स'}}",Reece,James,48.364130434783,23.360869565217,92,Chelsea,1747422900_chelsea_vs_manchester_united
Pedro Neto,pedro-neto,P. Neto,M,7,42559,M,pedroneto_30,879349,"{'nameTranslation': {'ar': 'بيدرو نيتو', 'bn': 'পেড্রো নেটো', 'hi': 'पेड्रो नेटो'}, 'shortNameTranslation': {'ar': 'ب. نيتو', 'bn': 'পি. নেটো', 'hi': 'पी. नेटो'}}",Pedro,Neto,72.519672131148,27.991803278689,61,Chelsea,1747422900_chelsea_vs_manchester_united
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,82941,M,MoisesCaicedo55,987650,"{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'bn': 'মোজেস কাইসেডো', 'hi': 'मोइसेस कैसेडो'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'bn': 'এম. কাইসেডো', 'hi': 'एम. कैसेडो'}}",Moises,Caicedo,50.848888888889,54.331111111111,90,Chelsea,1747422900_chelsea_vs_manchester_united
Manuel Ugarte,manuel-ugarte,M. Ugarte,M,25,20114,M,ugartemanu,846425,"{'nameTranslation': {'ar': 'مانويل أوغارتي', 'bn': 'ম্যানুয়েল উগার্তে', 'hi': 'मैनुअल उगार्टे'}, 'shortNameTranslation': {'ar': 'م. أوغارتي', 'bn': 'এম. উগার্তে', 'hi': 'एम. उगार्टे'}}",Manuel,Ugarte,41.866666666667,26.55,18,Manchester United,1747422900_chelsea_vs_manchester_united
