Date,start_time,Competition,Round,Day,Venue,Result,goals_for,goals_against,Opponent,possession,attendance,captain,formation,opp_formation,referee,Match_Report_URL,Match_Report,notes
2023-09-19,20:00(21:00),Champions Lg,Group stage,Tue,Home,W,3,1,rsRed Star,76,"50,204",Kyle Walker,4-2-3-1,5-3-2,João Pinheiro,https://fbref.com/en/matches/3d87750d/Manchester-City-Red-Star-September-19-2023-Champions-League,Match Report,
2023-10-04,21:00,Champions Lg,Group stage,Wed,Away,W,3,1,deRB Leipzig,68,"45,228",Kyle Walker,3-2-4-1,4-2-3-1,Artur Soares Dias,https://fbref.com/en/matches/2dd697fb/RB-Leipzig-Manchester-City-October-4-2023-Champions-League,Match Report,
2023-10-25,21:00,Champions Lg,Group stage,Wed,Away,W,3,1,chYoung Boys,68,"31,500",Rúben Dias,3-2-4-1,4-3-3,Morten Krogh,https://fbref.com/en/matches/d66f6ad1/Young-Boys-Manchester-City-October-25-2023-Champions-League,Match Report,
2023-11-07,20:00(21:00),Champions Lg,Group stage,Tue,Home,W,3,0,chYoung Boys,71,"51,049",Kyle Walker,3-2-4-1,5-4-1,Erik Lambrechts,https://fbref.com/en/matches/620ab893/Manchester-City-Young-Boys-November-7-2023-Champions-League,Match Report,
2023-11-28,20:00(21:00),Champions Lg,Group stage,Tue,Home,W,3,2,deRB Leipzig,70,"51,402",Kyle Walker,3-2-4-1,5-4-1,Glenn Nyberg,https://fbref.com/en/matches/96f5597e/Manchester-City-RB-Leipzig-November-28-2023-Champions-League,Match Report,
2023-12-13,18:45,Champions Lg,Group stage,Wed,Away,W,3,2,rsRed Star,69,"49,443",John Stones,4-2-3-1,5-3-2,Əliyar Ağayev,https://fbref.com/en/matches/c9438541/Red-Star-Manchester-City-December-13-2023-Champions-League,Match Report,
2024-02-13,21:00,Champions Lg,Round of 16,Tue,Away,W,3,1,dkFC Copenhagen,79,"35,853",Kyle Walker,4-2-3-1,4-3-3,José Sánchez,https://fbref.com/en/matches/7c72e97e/FC-Copenhagen-Manchester-City-February-13-2024-Champions-League,Match Report,Leg 1 of 2
2024-03-06,20:00(21:00),Champions Lg,Round of 16,Wed,Home,W,3,1,dkFC Copenhagen,69,"51,531",Rúben Dias,4-2-3-1,3-4-3,Espen Eskås,https://fbref.com/en/matches/b4237bbe/Manchester-City-FC-Copenhagen-March-6-2024-Champions-League,Match Report,Leg 2 of 2; Manchester City won
2024-04-09,21:00,Champions Lg,Quarter-finals,Tue,Away,D,3,3,esReal Madrid,62,"76,680",Rúben Dias,4-2-3-1,4-2-3-1,François Letexier,https://fbref.com/en/matches/5ee67d04/Real-Madrid-Manchester-City-April-9-2024-Champions-League,Match Report,Leg 1 of 2
2024-04-17,20:00(21:00),Champions Lg,Quarter-finals,Wed,Home,D,1(3),1(4),esReal Madrid,67,"52,306",Kyle Walker,4-1-4-1,4-2-3-1,Daniele Orsato,https://fbref.com/en/matches/b0d9b0e1/Manchester-City-Real-Madrid-April-17-2024-Champions-League,Match Report,Leg 2 of 2; Real Madrid won; Real Madrid won on penalty kicks following extra time
