season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Ibrahima Konaté,5,fr FRA,DF,25-084,45,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Trent Alexander-Arnold,66,eng ENG,RB,25-315,76,0,0,0,0,1.0,0.0,0,0,0.0,2.0,0.0,4.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Conor Bradley,84,nir NIR,"DF,MF",21-039,14,0,0,0,0,2.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-17,Premier League,Ipswich Town,2024-08-17_premier_league_ipswich_town_player_stats.csv,a1d0d529,https://fbref.com/en/matches/a1d0d529/Ipswich-Town-Liverpool-August-17-2024-Premier-League,2024-08-17,Premier League,Matchweek 1,Away,Ipswich Town,W,2024-08-17_premier_league_ipswich_town,Liverpool,Alisson,1,br BRA,GK,31-320,90,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Diogo Jota,20,pt POR,FW,27-265,71,0,1,0,0,4.0,0.0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Darwin Núñez,9,uy URU,FW,25-062,19,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Luis Díaz,7,co COL,AM,27-225,71,1,1,0,0,3.0,2.0,0,0,1.0,2.0,0.0,1.0,2.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Cody Gakpo,18,nl NED,"FW,MF",25-110,19,0,0,0,0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Dominik Szoboszlai,8,hu HUN,AM,23-305,90,0,0,0,0,1.0,0.0,1,0,1.0,0.0,0.0,1.0,1.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Mohamed Salah,11,eg EGY,AM,32-071,82,1,0,0,0,3.0,2.0,0,0,2.0,2.0,0.0,1.0,2.0,0.0,0,,
