season,player_id,player_name,team_name,injury_type,reason,fixture_date,end_date,days_out
2024-2025,129058,B. Verbruggen,Brighton,Missing Fixture,Injury,2024-08-17,,6
2024-2025,70747,J. Enciso,Brighton,Missing Fixture,Knee Injury,2024-08-17,,0
2024-2025,18973,S. March,Brighton,Missing Fixture,Knee Injury,2024-08-17,,281
2024-2025,129058,B. Verbruggen,Brighton,Missing Fixture,Injury,2024-08-24,,6
2024-2025,18973,S. March,Brighton,Missing Fixture,Knee Injury,2024-08-24,,281
2024-2025,19030,M. O'Riley,Brighton,Missing Fixture,Ankle Injury,2024-08-31,,196
2024-2025,18973,S. March,Brighton,Missing Fixture,Knee Injury,2024-08-31,,281
2024-2025,296,J. Milner,Brighton,Missing Fixture,Thigh Injury,2024-09-14,,247
2024-2025,19030,M. O'Riley,Brighton,Missing Fixture,Ankle Injury,2024-09-14,,196
2024-2025,18973,S. March,Brighton,Missing Fixture,Knee Injury,2024-09-14,,281
2024-2025,328225,B. Gruda,Brighton,Missing Fixture,Lacking Match Fitness,2024-09-22,,119
2024-2025,296,J. Milner,Brighton,Missing Fixture,Thigh Injury,2024-09-22,,247
2024-2025,19030,M. O'Riley,Brighton,Missing Fixture,Ankle Injury,2024-09-22,,196
2024-2025,18973,S. March,Brighton,Missing Fixture,Knee Injury,2024-09-22,,281
2024-2025,38695,J. P. van Hecke,Brighton,Missing Fixture,Muscle Injury,2024-10-06,,201
2024-2025,10329,Joao Pedro,Brighton,Missing Fixture,Injury,2024-10-06,,230
2024-2025,19030,M. O'Riley,Brighton,Missing Fixture,Ankle Injury,2024-10-06,,196
2024-2025,19265,A. Webster,Brighton,Missing Fixture,Muscle Injury,2024-10-19,,189
2024-2025,296,J. Milner,Brighton,Missing Fixture,Thigh Injury,2024-10-19,,247
2024-2025,10329,Joao Pedro,Brighton,Missing Fixture,Injury,2024-10-19,,230
2024-2025,19030,M. O'Riley,Brighton,Missing Fixture,Ankle Injury,2024-10-19,,196
2024-2025,18973,S. March,Brighton,Missing Fixture,Knee Injury,2024-10-19,,281
2024-2025,19265,A. Webster,Brighton,Missing Fixture,Muscle Injury,2024-10-26,,189
2024-2025,296,J. Milner,Brighton,Missing Fixture,Thigh Injury,2024-10-26,,247
2024-2025,10329,Joao Pedro,Brighton,Missing Fixture,Injury,2024-10-26,,230
2024-2025,19030,M. O'Riley,Brighton,Missing Fixture,Ankle Injury,2024-10-26,,196
2024-2025,18973,S. March,Brighton,Missing Fixture,Knee Injury,2024-10-26,,281
2024-2025,19265,A. Webster,Brighton,Missing Fixture,Muscle Injury,2024-11-02,,189
2024-2025,296,J. Milner,Brighton,Missing Fixture,Thigh Injury,2024-11-02,,247
2024-2025,18973,S. March,Brighton,Missing Fixture,Knee Injury,2024-11-02,,281
