Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
Kepa Arrizabalaga,esESP,GK,27,39,39,"3,465",38.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Kai Havertz,deGER,"FW,MF",23,47,38,"3,249",36.1,9,1,10,7,2,3,5,0,0.25,0.03,0.28,0.19,0.22,Matches
Thiago Silva,brBRA,DF,37,35,33,"2,992",33.2,0,2,2,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches
Kalidou Koulibaly,snSEN,DF,31,32,29,"2,548",28.3,2,1,3,2,0,0,10,1,0.07,0.04,0.11,0.07,0.11,Matches
Raheem Sterling,engENG,"MF,FW",27,38,31,"2,544",28.3,9,4,13,9,0,0,5,0,0.32,0.14,0.46,0.32,0.46,Matches
Mateo Kovačić,hrCRO,MF,28,37,27,"2,463",27.4,2,2,4,2,0,0,10,0,0.07,0.07,0.15,0.07,0.15,Matches
Trevoh Chalobah,engENG,DF,23,33,24,"2,205",24.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Mason Mount,engENG,MF,23,35,26,"2,184",24.3,3,4,7,3,0,0,7,0,0.12,0.16,0.29,0.12,0.29,Matches
Marc Cucurella,esESP,"DF,MF",24,33,26,"2,175",24.2,0,2,2,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,Matches
Conor Gallagher,engENG,"MF,FW",22,45,21,"2,035",22.6,3,1,4,3,0,0,14,1,0.13,0.04,0.18,0.13,0.18,Matches
Ben Chilwell,engENG,"MF,DF",25,30,22,"1,964",21.8,2,2,4,2,0,0,4,1,0.09,0.09,0.18,0.09,0.18,Matches
Reece James,engENG,"MF,DF",22,24,22,"1,935",21.5,2,2,4,2,0,0,7,0,0.09,0.09,0.19,0.09,0.19,Matches
Ruben Loftus-Cheek,engENG,MF,26,33,22,"1,911",21.2,0,2,2,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches
Enzo Fernández,arARG,MF,21,22,22,"1,879",20.9,0,2,2,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches
César Azpilicueta,esESP,DF,32,32,19,"1,837",20.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Jorginho,itITA,MF,30,25,20,"1,759",19.5,3,0,3,0,3,3,4,0,0.15,0.00,0.15,0.00,0.00,Matches
Wesley Fofana,frFRA,DF,21,20,17,"1,580",17.6,2,0,2,2,0,0,4,0,0.11,0.00,0.11,0.11,0.11,Matches
João Félix,ptPOR,"FW,MF",22,20,14,"1,185",13.2,4,0,4,4,0,0,1,1,0.30,0.00,0.30,0.30,0.30,Matches
Edouard Mendy,snSEN,GK,30,12,11,"1,035",11.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Christian Pulisic,usUSA,MF,23,30,10,"1,024",11.4,1,2,3,1,0,0,1,0,0.09,0.18,0.26,0.09,0.26,Matches
Pierre-Emerick Aubameyang,gaGAB,"FW,MF",33,21,11,957,10.6,3,1,4,3,0,0,1,0,0.28,0.09,0.38,0.28,0.38,Matches
Hakim Ziyech,maMAR,MF,29,24,9,938,10.4,0,3,3,0,0,0,2,0,0.00,0.29,0.29,0.00,0.29,Matches
Benoît Badiashile,frFRA,DF,21,11,10,905,10.1,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches
Lewis Hall,engENG,"DF,MF",17,11,10,818,9.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Mykhailo Mudryk,uaUKR,MF,21,17,8,751,8.3,0,2,2,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matches
N'Golo Kanté,frFRA,MF,31,9,8,682,7.6,0,1,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches
Noni Madueke,engENG,"FW,MF",20,12,7,643,7.1,1,0,1,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,Matches
Denis Zakaria,chSUI,MF,25,11,7,597,6.6,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches
Armando Broja,alALB,FW,20,18,3,477,5.3,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches
Carney Chukwuemeka,atAUT,MF,18,15,2,372,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
David Datro Fofana,ciCIV,FW,19,4,1,115,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bashir Humphreys,engENG,DF,19,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Omari Hutchinson,engENG,MF,18,2,0,51,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Bergström,fiFIN,GK,19,0,0,,,,,,,,,,,,,,,,Matches
Ethan Ampadu,wlsWAL,"DF,MF",21,0,0,,,,,,,,,,,,,,,,Matches
Callum Hudson-Odoi,engENG,"FW,MF",21,0,0,,,,,,,,,,,,,,,,Matches
Billy Gilmour,sctSCO,MF,21,0,0,,,,,,,,,,,,,,,,Matches
Ethan Wady,engENG,GK,20,0,0,,,,,,,,,,,,,,,,Matches
Harvey Vale,ieIRL,MF,18,0,0,,,,,,,,,,,,,,,,Matches
Alfie Gilchrist,engENG,DF,18,0,0,,,,,,,,,,,,,,,,Matches
Marcus Bettinelli,engENG,GK,30,0,0,,,,,,,,,,,,,,,,Matches
