name,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,firstName,lastName,averageX,averageY,pointsCount,team,match
David Alaba,david-alaba,D. Alaba,D,4,97914,M,DAlaba,66492,"{'nameTranslation': {'ar': 'ديفيد ألابا', 'bn': 'ডেভিড আলাবা', 'hi': 'डेविड अलाबा'}, 'shortNameTranslation': {'ar': 'د. ألابا', 'bn': 'ডি. আলাবা', 'hi': 'डी. अलाबा'}}",,,24.75,64.4,2,Real Madrid,1739995200_real_madrid_vs_manchester_city
Vinicius Júnior,vinicius-junior,Vinícius Jr.,F,7,1373233,M,ViniJr,868812,"{'nameTranslation': {'ar': 'فينيسيوس جونيور', 'bn': 'ভিনিসিয়াস জুনিয়র', 'hi': 'विनीसियस जूनियर'}, 'shortNameTranslation': {'ar': 'فينيسيوس', 'bn': 'ভিনিসিয়াস', 'hi': 'विनीसियस'}}",,,64.32,71.268888888889,45,Real Madrid,1739995200_real_madrid_vs_manchester_city
Kylian Mbappé,kylian-mbappe,K. Mbappé,F,10,2021754,M,KMbappé,826643,"{'nameTranslation': {'ar': 'كيليان مبابي', 'bn': 'কিলিয়ান এমবাপ্পে', 'hi': 'किलियन एमबाप्पे'}, 'shortNameTranslation': {'ar': 'ك. مبابي', 'bn': 'কে. এমবাপ্পে', 'hi': 'के. एमबाप्पे'}}",,,73.944736842105,50.907894736842,38,Real Madrid,1739995200_real_madrid_vs_manchester_city
Ferland Mendy,ferland-mendy,F. Mendy,D,23,79085,M,FerMendy,792073,"{'nameTranslation': {'ar': 'فيرلاند ميندي', 'bn': 'ফেরল্যান্ড মেন্ডি', 'hi': 'फेरलैंड मेंडी'}, 'shortNameTranslation': {'ar': 'ف. ميندي', 'bn': 'এফ. মেন্ডি', 'hi': 'एफ. मेंडी'}}",Ferland,Mendy,38.394339622642,86.507547169811,53,Real Madrid,1739995200_real_madrid_vs_manchester_city
Endrick,endrick,Endrick,F,9,453296,M,Endrick,1174937,"{'nameTranslation': {'ar': 'إنديرا جيريمي'}, 'shortNameTranslation': {'ar': 'إ. جيريمي'}}",,,53.35,35.5,2,Real Madrid,1739995200_real_madrid_vs_manchester_city
Luka Modrić,luka-modric,L. Modrić,M,14,353642,M,LModric10,15466,"{'nameTranslation': {'ar': 'لوكا مودريتش', 'bn': 'লুকা মডরিচ', 'hi': 'लुका मोड्रिक'}, 'shortNameTranslation': {'ar': 'ل. مودريتش', 'bn': 'এল. মডরিচ', 'hi': 'एल. मोड्रिक'}}",,,24.59,25.74,10,Real Madrid,1739995200_real_madrid_vs_manchester_city
Eduardo Camavinga,eduardo-camavinga,E. Camavinga,M,6,195817,M,Tacklevinga,973887,"{'nameTranslation': {'ar': 'إدواردو كامافينغا', 'bn': 'কামাভিঙ্গা, এডুয়ার্ডো', 'hi': 'कैमाविंगा, एडुआर्डो'}, 'shortNameTranslation': {'ar': 'إ. كامافينغا', 'bn': 'ই. কামাভিঙ্গা', 'hi': 'ई. एडुआर्डो'}}",Eduardo,Camavinga,30.7625,50.0,8,Real Madrid,1739995200_real_madrid_vs_manchester_city
Rodrygo,rodrygo,Rodrygo,F,11,805245,M,Rodrygo,910536,"{'nameTranslation': {'ar': 'رودريغو', 'bn': 'রড্রিগো', 'hi': 'रोड्रिगो'}, 'shortNameTranslation': {'ar': 'رودريغو', 'bn': 'রড্রিগো', 'hi': 'रोड्रिगो'}}",Rodrygo,Rodrygo,58.969696969697,32.280303030303,66,Real Madrid,1739995200_real_madrid_vs_manchester_city
Brahim Díaz,brahim-diaz,B. Díaz,M,21,264688,M,Brahim,835485,"{'nameTranslation': {'ar': 'إبراهيم دياز', 'bn': 'ব্রাহিম দিয়াজ', 'hi': 'ब्राहिम डियाज़'}, 'shortNameTranslation': {'ar': 'إ. دياز', 'bn': 'বি. দিয়াজ', 'hi': 'बी. डियाज़'}}",Brahim,Diaz,29.06,23.72,5,Real Madrid,1739995200_real_madrid_vs_manchester_city
Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,255701,M,TheOctopus,70988,"{'nameTranslation': {'ar': 'تيبو كورتوا', 'bn': 'থিবাউট কোর্টোইস', 'hi': 'थिबाउट कोर्टोइस'}, 'shortNameTranslation': {'ar': 'ت. كورتوا', 'bn': 'টি. কোর্টোইস', 'hi': 'टी. कोर्टोइस'}}",,,7.9137931034483,49.25,58,Real Madrid,1739995200_real_madrid_vs_manchester_city
