name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team,match
Yan Couto,Yan,Couto,yan-couto,Y. Couto,M,2,7284,M,yan.couto,1002813,"{'nameTranslation': {'ar': 'يان كوتو', 'bn': 'কুটো, ইয়ান', 'hi': 'कोउटो, यान'}, 'shortNameTranslation': {'ar': 'ي. كوتو', 'bn': 'ওয়াই. কুটো', 'hi': 'वाई. कोउटो'}}",29.442105263158,10.831578947368,19,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Ramy Bensebaini,Ramy,Bensebaini,ramy-bensebaini,R. Bensebaini,D,5,32389,M,rbens,577726,"{'nameTranslation': {'ar': 'رامي بن سبعيني', 'bn': 'রামি বেনসেবাইনি', 'hi': 'रामी बेन्सेबैनी'}, 'shortNameTranslation': {'ar': 'ر. بن سبعيني', 'bn': 'আর. বেনসেবাইনি', 'hi': 'आर. बेन्सेबैनी'}}",49.633333333333,89.277777777778,9,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Maximilian Beier,Maximilian,Beier,maximilian-beier,M. Beier,F,14,5257,M,,980628,"{'nameTranslation': {'ar': 'ماكسيميليان بيير', 'bn': 'ম্যাক্সিমিলিয়ান বিয়ার', 'hi': 'मैक्सिमिलियन बेयर'}, 'shortNameTranslation': {'ar': 'م. بيير', 'bn': 'এম. বেয়ার', 'hi': 'एम. बेयर'}}",48.7,62.915384615385,13,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Serhou Guirassy,Serhou,Guirassy,serhou-guirassy,S. Guirassy,F,9,54534,M,guirassy19off,328027,"{'nameTranslation': {'ar': 'سيرو غيراسي', 'bn': 'সেরহাউ গুইরাসি', 'hi': 'सेरहो गुइरासी'}, 'shortNameTranslation': {'ar': 'س. غيراسي', 'bn': 'এস. গুইরাসি', 'hi': 'एस. गुइरासी'}}",55.533333333333,66.266666666667,30,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Julian Brandt,Julian,Brandt,julian-brandt,J. Brandt,F,10,9732,M,julianbrandt,226978,"{'nameTranslation': {'ar': 'جوليان براندت', 'bn': 'জুলিয়ান ব্র্যান্ডট', 'hi': 'जूलियन ब्रैंट'}, 'shortNameTranslation': {'ar': 'ج. براندت', 'bn': 'জে. ব্র্যান্ড', 'hi': 'जे. ब्रैंट'}}",66.1475,44.875,40,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Gregor Kobel,Gregor,Kobel,gregor-kobel,G. Kobel,G,1,7342,M,gregorkobel,556866,"{'nameTranslation': {'ar': 'غريغور كوبل', 'bn': 'গ্রেগর কোবেল', 'hi': 'ग्रेगर कोबेल'}, 'shortNameTranslation': {'ar': 'غ. كوبل', 'bn': 'জি. কোবেল', 'hi': 'जी. कोबेल'}}",10.605263157895,50.026315789474,38,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Nico Schlotterbeck,Nico,Schlotterbeck,nico-schlotterbeck,N. Schlotterbeck,D,4,12036,M,nico.schlotterbeck,940871,"{'nameTranslation': {'ar': 'نيكو شلوتربيك', 'bn': 'নিকো শ্লোটারবেক', 'hi': 'निको श्लोटरबेक'}, 'shortNameTranslation': {'ar': 'ن. شلوتربيك', 'bn': 'এন. শ্লোটারবেক', 'hi': 'एन. श्लोटरबेक'}}",36.389423076923,71.747115384615,104,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Giovanni Reyna,,,giovanni-reyna,G. Reyna,M,13,5110,M,gioareyna,989056,"{'nameTranslation': {'ar': 'جيوفاني رينا', 'bn': 'জিওভানি রেইনা', 'hi': 'जियोवानी रेयना'}, 'shortNameTranslation': {'ar': 'ج. رينا', 'bn': 'জি রেইনা', 'hi': 'जी. रेयना'}}",63.0,50.866666666667,3,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Jamie Gittens,,,jamie-bynoe-gittens,J. Gittens,M,11,24781,M,jbgittens,1140599,"{'nameTranslation': {'ar': 'جيمي باينو غيتنز', 'bn': 'জেমি বাইনো-গিটেনস', 'hi': 'जेमी बायनो-गिटेंस'}, 'shortNameTranslation': {'ar': 'ج. باينو غيتنز', 'bn': 'জে. বাইনো-গিটেনস', 'hi': 'जे. बायनो-गिटेंस'}}",55.844444444444,75.544444444444,45,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Marcel Sabitzer,Marcel,Sabitzer,marcel-sabitzer,M. Sabitzer,M,20,8793,M,marcel7sabitzer,133908,"{'nameTranslation': {'ar': 'مارسيل سابيتزر', 'bn': 'মার্সেল সাবিৎজার', 'hi': 'मार्सेल सबिट्ज़र'}, 'shortNameTranslation': {'ar': 'م. سابيتزر', 'bn': 'এম. সাবিৎজার', 'hi': 'एम. सबिट्ज़र'}}",46.415254237288,39.237288135593,59,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Daniel Svensson,,,daniel-svensson,D. Svensson,M,24,3543,M,,1021272,"{'nameTranslation': {'ar': 'دانيال سفينسون'}, 'shortNameTranslation': {'ar': 'د. سفينسون'}}",48.346666666667,82.545,60,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Emre Can,Emre,Can,emre-can,E. Can,D,23,5142,M,emrecan23,138156,"{'nameTranslation': {'ar': 'إيمري كان', 'bn': 'এমরে ক্যান', 'hi': 'एमरे कैन'}, 'shortNameTranslation': {'ar': 'إ. كان', 'bn': 'ই. ক্যান', 'hi': 'ई. कैन'}}",35.508571428571,37.209523809524,105,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Pascal Groß,,,pascal-gro,P. Groß,M,30,4838,M,pascalgross65,48480,"{'nameTranslation': {'ar': 'باسكال غروس', 'bn': 'প্যাসকেল গ্রোস', 'hi': 'पास्कल ग्रोस'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'bn': 'পি. গ্রোস', 'hi': 'पी. ग्रोस'}}",52.335,66.49,80,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Julian Ryerson,Julian,Ryerson,julian-ryerson,J. Ryerson,M,26,3880,M,,800951,"{'nameTranslation': {'ar': 'جوليان رايرسون'}, 'shortNameTranslation': {'ar': 'ج. رايرسون', 'bn': 'জে. রায়ারসন', 'hi': 'जे. रायर्सन'}}",53.338157894737,12.484210526316,76,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Karim Adeyemi,,,karim-adeyemi,K. Adeyemi,F,27,17758,M,karim_adeyemi,940054,"{'nameTranslation': {'ar': 'كريم أدييمي', 'bn': 'করিম আদয়েমি', 'hi': 'करीम अदेयमी'}, 'shortNameTranslation': {'ar': 'ك. أدييمي', 'bn': 'কে. আদিয়েমি', 'hi': 'के. अदेयमी'}}",61.283050847458,19.245762711864,59,Borussia Dortmund,1741118400_borussia_dortmund_vs_lille
Mitchel Bakker,Mitchel,Bakker,mitchel-bakker,M. Bakker,D,5,1280,M,,856638,"{'nameTranslation': {'ar': 'ميشيل باكير', 'bn': 'মিচেল বাক্কার', 'hi': 'मिशेल बॅकर'}, 'shortNameTranslation': {'ar': 'م. باكير', 'bn': 'এম. বাক্কার', 'hi': 'एम. बॅकर'}}",62.215384615385,87.330769230769,13,Lille,1741118400_borussia_dortmund_vs_lille
