name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,firstName,lastName,averageX,averageY,pointsCount,team,match
André Gomes,andre-gomes,A. Gomes,M,20,1697,M,235460,"{'nameTranslation': {'ar': 'أندريه غوميز', 'bn': 'আন্দ্রে গোমেস', 'hi': 'आंद्रे गोम्स'}, 'shortNameTranslation': {'ar': 'أ. غوميز', 'bn': 'এ. গোমেস', 'hi': 'ए. गोम्स'}}",,,,46.11,67.36,10,Lille,1741801500_lille_vs_borussia_dortmund
Osame Sahraoui,osame-sahraoui,O. Sahraoui,M,11,7293,M,965357,"{'nameTranslation': {'ar': 'أسامة الصحراوي', 'bn': 'ওসামে সাহরাউই', 'hi': 'ओसामे सहरावी'}, 'shortNameTranslation': {'ar': 'أ. الصحراوي', 'bn': 'ও. সাহরাউই', 'hi': 'ओ. सहरावी'}}",osamesahraoui,,,60.336363636364,82.436363636364,11,Lille,1741801500_lille_vs_borussia_dortmund
Matías Fernández-Pardo,fernandez-matias,M. Fernandez,F,7,2250,M,1149144,"{'nameTranslation': {'ar': 'ماتياس فرنانديز باردو'}, 'shortNameTranslation': {'ar': 'م. ف. باردو'}}",,Matias Fernandez,,76.446153846154,38.530769230769,13,Lille,1741801500_lille_vs_borussia_dortmund
Gabriel Gudmundsson,gabriel-gudmundsson,G. Gudmundsson,D,3,1347,M,834308,"{'nameTranslation': {'ar': 'غابرييل غودمندسون', 'bn': 'গ্যাব্রিয়েল গুডমুন্ডসন', 'hi': 'गेब्रियल गुडमंडसन'}, 'shortNameTranslation': {'ar': 'غ. غودمندسون', 'bn': 'জি. গুডমুন্ডসন', 'hi': 'जी. गुडमंडसन'}}",,Gabriel,Gudmundsson,50.281481481481,87.837037037037,27,Lille,1741801500_lille_vs_borussia_dortmund
Chuba Akpom,chuba-akpom,C. Akpom,F,29,1807,M,190867,"{'nameTranslation': {'ar': 'تشوبا أكبوم', 'bn': 'চুবা আকপম', 'hi': 'चुबा अक्पोम'}, 'shortNameTranslation': {'ar': 'ت. أكبوم', 'bn': 'সি. আকপম', 'hi': 'सी. अक्पोम'}}",,Chuba,Akpom,75.042857142857,71.85,14,Lille,1741801500_lille_vs_borussia_dortmund
Jonathan David,jonathan-david,J. David,F,30,21495,M,935564,"{'nameTranslation': {'ar': 'جوناثان ديفيد', 'bn': 'জোনাথন ডেভিড', 'hi': 'जोनाथन डेविड'}, 'shortNameTranslation': {'ar': 'ج. ديفيد', 'bn': 'জে ডেভিড', 'hi': 'जे. डेविड'}}",jodavid,Jonathan,David,64.347169811321,51.896226415094,53,Lille,1741801500_lille_vs_borussia_dortmund
Ismaily,ismaily,Ismaily,D,,333,M,78352,"{'nameTranslation': {'ar': 'إسمايلي', 'bn': 'ইসমাইলী', 'hi': 'इस्माइली'}, 'shortNameTranslation': {'ar': 'إ. إسمايلي', 'bn': 'ইসমাইলী', 'hi': 'इस्माइली'}}",,,,40.776470588235,80.594117647059,51,Lille,1741801500_lille_vs_borussia_dortmund
Ayyoub Bouaddi,bouaddi-ayyoub,A. Bouaddi,M,32,7406,M,1564180,"{'nameTranslation': {'ar': 'بوعدي، أيوب', 'bn': 'বৌয়াদ্দি, আইয়ুব', 'hi': 'बौआद्दी, अय्यूब'}, 'shortNameTranslation': {'ar': 'أ. بوعدي', 'bn': 'এ. বৌয়াদ্দি', 'hi': 'ए. बौआद्दी'}}",,Ayyoub Bouaddi,,49.315217391304,57.741304347826,46,Lille,1741801500_lille_vs_borussia_dortmund
Bafodé Diakité,bafode-diakite,B. Diakité,D,18,1863,M,962408,"{'nameTranslation': {'ar': 'بافودي دياكيتي', 'bn': 'বাফোডে ডায়াকিটে', 'hi': 'बाफोडे डायकिटे'}, 'shortNameTranslation': {'ar': 'ب. دياكيتي', 'bn': 'বি. ডায়াকিট', 'hi': 'बी. डायकिटे'}}",,,,36.949122807018,38.129824561404,57,Lille,1741801500_lille_vs_borussia_dortmund
Ngal'ayel Mukau,ngalayel-mukau,N. Mukau,M,17,8147,M,1391541,"{'nameTranslation': {'ar': 'نغالاييل موكوا', 'bn': ""নাগাল'য়েল মুকাউ"", 'hi': ""नगाल'याल मुकाऊ""}, 'shortNameTranslation': {'ar': 'ن. موكوا', 'bn': 'এন. মুকাউ', 'hi': 'एन. मुकाऊ'}}",,Ngal'ayel Mukau,,49.50652173913,26.84347826087,46,Lille,1741801500_lille_vs_borussia_dortmund
Thomas Meunier,thomas-meunier,T. Meunier,D,12,2877,M,128587,"{'nameTranslation': {'ar': 'توماس مونييه', 'bn': 'টমাস মিউনিয়ার', 'hi': 'थॉमस म्युनियर'}, 'shortNameTranslation': {'ar': 'ت. مونييه', 'bn': 'টি. মিউনিয়ার', 'hi': 'टी. म्युनियर'}}",,Thomas,Meunier,43.839175257732,15.8,97,Lille,1741801500_lille_vs_borussia_dortmund
Hakon Arnar Haraldsson,hakon-arnar-haraldsson,H. Haraldsson,M,10,2331,M,1138804,"{'nameTranslation': {'ar': 'هاكون أرنار هارالدسون', 'bn': 'হ্যারাল্ডসন, হ্যাকন আরনার', 'hi': 'हैराल्डसन, हाकोन अर्नार'}, 'shortNameTranslation': {'ar': 'ه. هارالدسون', 'bn': 'এইচ. এ. হ্যারাল্ডসন', 'hi': 'एच.ए. हैराल्डसन'}}",,Hakon Arnar,Haraldsson,66.432203389831,53.459322033898,59,Lille,1741801500_lille_vs_borussia_dortmund
Lucas Chevalier,chevalier-lucas,L. Chevalier,G,30,22630,M,996953,"{'nameTranslation': {'ar': 'لوكاس شوفالييه', 'bn': 'লুকাস শেভালিয়ার', 'hi': 'लुकास शेवेलियर'}, 'shortNameTranslation': {'ar': 'ل. شوفالييه', 'bn': 'এল. শেভালিয়ার', 'hi': 'एल. शेवेलियर'}}",,,,9.6948275862069,48.208620689655,58,Lille,1741801500_lille_vs_borussia_dortmund
Benjamin André,benjamin-andre,B. André,M,21,805,M,51665,"{'nameTranslation': {'ar': 'بنجامين أندريه', 'bn': 'বেঞ্জামিন আন্দ্রে', 'hi': 'बेन्जामिन आंद्रे'}, 'shortNameTranslation': {'ar': 'ب. أندريه', 'bn': 'বি. আন্দ্রে', 'hi': 'बी. आंद्रे'}}",,,,48.631958762887,44.627835051546,97,Lille,1741801500_lille_vs_borussia_dortmund
