name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team,match
Andrea Belotti,Andrea,Belotti,andrea-belotti,A. Belotti,F,19,3500,M,gallobelotti,220223,"{'nameTranslation': {'ar': 'أندريا بيلوتي', 'bn': 'আন্দ্রেয়া বেলোত্তি', 'hi': 'एंड्रिया बेलोटी'}, 'shortNameTranslation': {'ar': 'أ. بيلوتي', 'bn': 'এ. বেলোত্তি', 'hi': 'ए. बेलोटी'}}",66.42,43.36,5,Benfica,1741204800_benfica_vs_fc_barcelona
Arthur Cabral,,,arthur-cabral,A. Cabral,F,19,5243,M,arthurcabral9,870762,"{'nameTranslation': {'ar': 'أرثر كابرال', 'bn': 'আর্থার ক্যাব্রাল', 'hi': 'आर्थर कैब्राल'}, 'shortNameTranslation': {'ar': 'أ. كابرال', 'bn': 'এ. ক্যাব্রাল', 'hi': 'ए. कैब्राल'}}",91.985714285714,42.742857142857,7,Benfica,1741204800_benfica_vs_fc_barcelona
João Rêgo,João Rêgo,,joao-rego,J. Rêgo,F,84,1503,M,,1158353,"{'nameTranslation': {'ar': 'جواو روجو'}, 'shortNameTranslation': {'ar': 'ج. روجو'}}",70.665217391304,21.560869565217,23,Benfica,1741204800_benfica_vs_fc_barcelona
Renato Sanches,Renato,Sanches,renato-sanches,R. Sanches,M,8,9173,M,renatosanches,318967,"{'nameTranslation': {'ar': 'ريناتو سانشيز', 'bn': 'রেনাতো সানচেস', 'hi': 'रेनाटो सांचेस'}, 'shortNameTranslation': {'ar': 'ر. سانشيز', 'bn': 'আর. সানচেস', 'hi': 'आर. सांचेस'}}",64.882142857143,56.057142857143,28,Benfica,1741204800_benfica_vs_fc_barcelona
Samuel Dahl,Samuel,Dahl,samuel-dahl,S. Dahl,D,26,2387,M,,993101,"{'nameTranslation': {'ar': 'داهل، صمويل', 'bn': 'ডহল, স্যামুয়েল', 'hi': 'डाहल, सैमुअल'}, 'shortNameTranslation': {'ar': 'ص. داهل', 'bn': 'এস. ডহল', 'hi': 'एस. डाहल'}}",70.05625,13.815625,32,Benfica,1741204800_benfica_vs_fc_barcelona
Nicolás Otamendi,,,nicolas-otamendi,N. Otamendi,D,30,19318,M,Notamendi30,74915,"{'nameTranslation': {'ar': 'نيكولاس أوتامندي', 'bn': 'নিকোলাস ওটামেন্ডি', 'hi': 'निकोलस ओटामेंडी'}, 'shortNameTranslation': {'ar': 'ن. أوتامندي', 'bn': 'এন. ওটামেন্ডি', 'hi': 'एन. ओटामेंडी'}}",39.985981308411,59.027102803738,107,Benfica,1741204800_benfica_vs_fc_barcelona
Anatoliy Trubin,,,anatoliy-trubin,A. Trubin,G,1,9950,M,anatoliytrubin81,966616,"{'nameTranslation': {'ar': 'أناتولي تروبين', 'bn': 'আনাতোলি ট্রুবিন', 'hi': 'अनातोली ट्रुबिन'}, 'shortNameTranslation': {'ar': 'أ. تروبين', 'bn': 'এ. ট্রুবিন', 'hi': 'ए. ट्रुबिन'}}",10.432692307692,51.05,52,Benfica,1741204800_benfica_vs_fc_barcelona
Leandro Barreiro,Leandro,Barreiro,leandro-barreiro,L. Barreiro,M,18,2706,M,,906800,"{'nameTranslation': {'ar': 'لياندرو باريرو', 'bn': 'লিয়েন্দ্রো বারেইরো', 'hi': 'लिआंड्रो बरेरो'}, 'shortNameTranslation': {'ar': 'ل. باريرو', 'bn': 'এল. ব্যারেইরো', 'hi': 'एल. बरेरो'}}",63.837931034483,36.865517241379,29,Benfica,1741204800_benfica_vs_fc_barcelona
Álvaro Carreras,,,alvaro-carreras,Á. Carreras,D,18,92894,M,,1085081,"{'nameTranslation': {'ar': 'ألفارو كاريراس', 'bn': 'আলভারো ক্যারেরাস', 'hi': 'अल्वारो कैरेरास'}, 'shortNameTranslation': {'ar': 'أ. كاريراس', 'bn': 'আ. ক্যারেরাস', 'hi': 'ए. कैरेरास'}}",52.358695652174,82.027173913044,92,Benfica,1741204800_benfica_vs_fc_barcelona
Tomás Araújo,,,tomas-araujo,T. Araújo,D,44,3233,M,,983542,"{'nameTranslation': {'ar': 'توماس أراوجو', 'bn': 'টমাস আরাউহো', 'hi': 'टॉमस अराउजो'}, 'shortNameTranslation': {'ar': 'ت. أراوجو', 'bn': 'টি. আরাউহো', 'hi': 'टी. अराउजो'}}",49.807407407407,13.938888888889,54,Benfica,1741204800_benfica_vs_fc_barcelona
Vangelis Pavlidis,Vangelis,Pavlidis,vangelis-pavlidis,V. Pavlidis,F,14,15607,M,vangelis_pavlidis,795236,"{'nameTranslation': {'ar': 'فانجيليس بافلديس', 'bn': 'ভ্যানজেলিস পাভলিদিস', 'hi': 'वेन्जेलिस पावलिडिस'}, 'shortNameTranslation': {'ar': 'ف. بافلديس', 'bn': 'ভি. পাভলিডিস', 'hi': 'वी. पावलिडिस'}}",66.431481481482,51.32037037037,54,Benfica,1741204800_benfica_vs_fc_barcelona
Kerem Aktürkoğlu,Kerem,Akturkoglu,kerem-akturkoglu,K. Aktürkoğlu,F,9,25400,M,KAktürkoğlu,903324,"{'nameTranslation': {'ar': 'كريم أكتوركوغلو', 'bn': 'কেরেম আক্তুরকোগলু', 'hi': 'केरेम अकतुर्कोग्लू'}, 'shortNameTranslation': {'ar': 'ك. أكتوركوغلو', 'bn': 'কে. আক্তুরকোগলু', 'hi': 'के. अकतुर्कोग्लू'}}",63.653703703704,40.561111111111,54,Benfica,1741204800_benfica_vs_fc_barcelona
Fredrik Aursnes,Fredrik,Aursnes,fredrik-aursnes,F. Aursnes,M,8,4915,M,,228364,"{'nameTranslation': {'ar': 'فريدريك أورسنس', 'bn': 'ফ্রেডরিক অরনেস', 'hi': 'फ़्रेड्रिक ऑर्न्स'}, 'shortNameTranslation': {'ar': 'ف. أورسنس', 'bn': 'এফ. অরনেস', 'hi': 'एफ. ऑर्न्स'}}",52.286111111111,40.441666666667,72,Benfica,1741204800_benfica_vs_fc_barcelona
António Silva,,,antonio-silva,A. Silva,D,4,8608,M,antoniosilva.66,1006069,"{'nameTranslation': {'ar': 'أنطونيو سيلفا', 'bn': 'আন্তোনিও সিলভা', 'hi': 'एंटोनियो सिल्वा'}, 'shortNameTranslation': {'ar': 'أ. سيلفا', 'bn': 'এ. সিলভা', 'hi': 'ए. सिल्वा'}}",45.616216216216,29.210810810811,74,Benfica,1741204800_benfica_vs_fc_barcelona
Andreas Schjelderup,,,andreas-schjelderup,A. Schjelderup,F,21,10456,M,andreasschjelderup,1100952,"{'nameTranslation': {'ar': 'أندرياس شيلدراب', 'bn': 'আন্দ্রেয়াস স্জেল্ডারুপ', 'hi': 'एंड्रियास श्जेल्डरुप'}, 'shortNameTranslation': {'ar': 'أ. شيلدراب', 'bn': 'এ. স্জেল্ডারুপ', 'hi': 'ए. श्जेल्डरुप'}}",62.465789473684,76.405263157895,38,Benfica,1741204800_benfica_vs_fc_barcelona
Orkun Kökçü,Orkun,Kokcu,orkun-kokcu,O. Kökçü,M,10,18607,M,orkunkokcu,907461,"{'nameTranslation': {'ar': 'أوركون كوكجو', 'bn': 'ওরকুন কোক্কু', 'hi': 'ओरकुन कोकचू'}, 'shortNameTranslation': {'ar': 'أ. كوكجو', 'bn': 'ও. কোকি', 'hi': 'ओ. कोकचू'}}",56.48625,66.2475,80,Benfica,1741204800_benfica_vs_fc_barcelona
Gerard Martín,Gerard,,gerard-martin,G. Martín,D,18,51497,M,gerardmaartin,1094827,"{'nameTranslation': {'ar': 'جيرارد مارتين', 'bn': 'জেরার্ড মার্টিন', 'hi': 'जेरार्ड मार्टिन'}, 'shortNameTranslation': {'ar': 'ج. مارتين', 'bn': 'জি. মার্টিন', 'hi': 'जी. मार्टिन'}}",23.907142857143,78.95,14,FC Barcelona,1741204800_benfica_vs_fc_barcelona
Marc Casadó,,,marc-casado,M. Casadó,M,17,68486,M,marccasado,1000483,"{'nameTranslation': {'ar': 'مارك كاسادو', 'bn': 'মার্ক কাসাডো', 'hi': 'मार्क कैसाडो'}, 'shortNameTranslation': {'ar': 'م. كاسادو', 'bn': 'এম. কাসাডো', 'hi': 'एम. कैसाडो'}}",35.953333333333,56.206666666667,15,FC Barcelona,1741204800_benfica_vs_fc_barcelona
