season,player_id,player_name,team_name,injury_type,reason,fixture_date,days_out
2023-2024,304853,A. Scott,Bournemouth,Missing Fixture,Knee Injury,2023-08-12,119
2023-2024,18869,A. Smith,Bournemouth,Questionable,Muscle Injury,2023-08-12,0
2023-2024,19263,L. Kelly,Bournemouth,Questionable,Injury,2023-08-12,0
2023-2024,19245,M. Tavernier,Bournemouth,Missing Fixture,Thigh Injury,2023-08-12,265
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-08-12,281
2023-2024,304853,A. Scott,Bournemouth,Missing Fixture,Knee Injury,2023-08-19,119
2023-2024,18869,A. Smith,Bournemouth,Questionable,Muscle Injury,2023-08-19,0
2023-2024,18872,L. Cook,Bournemouth,Questionable,Hip Injury,2023-08-19,0
2023-2024,19245,M. Tavernier,Bournemouth,Missing Fixture,Thigh Injury,2023-08-19,265
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-08-19,281
2023-2024,304853,A. Scott,Bournemouth,Missing Fixture,Knee Injury,2023-08-26,119
2023-2024,18869,A. Smith,Bournemouth,Questionable,Muscle Injury,2023-08-26,0
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-08-26,127
2023-2024,19245,M. Tavernier,Bournemouth,Missing Fixture,Thigh Injury,2023-08-26,265
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-08-26,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-08-26,7
2023-2024,304853,A. Scott,Bournemouth,Missing Fixture,Knee Injury,2023-09-02,119
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-09-02,127
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-09-02,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-09-02,7
2023-2024,304853,A. Scott,Bournemouth,Missing Fixture,Knee Injury,2023-09-17,119
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-09-17,127
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-09-17,281
2023-2024,1150,T. Adams,Bournemouth,Questionable,Thigh Injury,2023-09-17,0
2023-2024,304853,A. Scott,Bournemouth,Missing Fixture,Knee Injury,2023-09-24,119
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-09-24,127
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-09-24,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-09-24,161
2023-2024,304853,A. Scott,Bournemouth,Missing Fixture,Knee Injury,2023-09-30,119
2023-2024,18866,C. Mepham,Bournemouth,Missing Fixture,Muscle Injury,2023-09-30,7
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-09-30,127
2023-2024,19263,L. Kelly,Bournemouth,Missing Fixture,Calf Injury,2023-09-30,92
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-09-30,281
2023-2024,304853,A. Scott,Bournemouth,Missing Fixture,Knee Injury,2023-10-07,119
2023-2024,18866,C. Mepham,Bournemouth,Missing Fixture,Muscle Injury,2023-10-07,7
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-10-07,127
2023-2024,19263,L. Kelly,Bournemouth,Missing Fixture,Calf Injury,2023-10-07,92
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-10-07,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-10-07,161
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-10-21,127
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-10-21,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-10-21,161
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-10-28,127
2023-2024,18872,L. Cook,Bournemouth,Missing Fixture,Red Card,2023-10-28,7
2023-2024,912,Neto,Bournemouth,Missing Fixture,Ankle Injury,2023-10-28,7
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-10-28,281
