season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
2023-2024,Newcastle United 2023 2024,2023-08-12,Premier League,Aston Villa,2023-08-12_premier_league_aston_villa_lineups.csv,8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,4-3-3,Starter,22,Nick Pope
2023-2024,Newcastle United 2023 2024,2023-08-12,Premier League,Aston Villa,2023-08-12_premier_league_aston_villa_lineups.csv,8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,4-3-3,Starter,2,Kieran Trippier
2023-2024,Newcastle United 2023 2024,2023-08-12,Premier League,Aston Villa,2023-08-12_premier_league_aston_villa_lineups.csv,8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,4-3-3,Starter,4,Sven Botman
2023-2024,Newcastle United 2023 2024,2023-08-12,Premier League,Aston Villa,2023-08-12_premier_league_aston_villa_lineups.csv,8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,4-3-3,Starter,5,Fabian Schär
2023-2024,Newcastle United 2023 2024,2023-08-12,Premier League,Aston Villa,2023-08-12_premier_league_aston_villa_lineups.csv,8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,4-3-3,Starter,7,Joelinton
2023-2024,Newcastle United 2023 2024,2023-08-12,Premier League,Aston Villa,2023-08-12_premier_league_aston_villa_lineups.csv,8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,4-3-3,Starter,8,Sandro Tonali
2023-2024,Newcastle United 2023 2024,2023-08-12,Premier League,Aston Villa,2023-08-12_premier_league_aston_villa_lineups.csv,8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,4-3-3,Starter,10,Anthony Gordon
2023-2024,Newcastle United 2023 2024,2023-08-12,Premier League,Aston Villa,2023-08-12_premier_league_aston_villa_lineups.csv,8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,4-3-3,Starter,14,Alexander Isak
2023-2024,Newcastle United 2023 2024,2023-08-12,Premier League,Aston Villa,2023-08-12_premier_league_aston_villa_lineups.csv,8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,4-3-3,Starter,24,Miguel Almirón
2023-2024,Newcastle United 2023 2024,2023-08-12,Premier League,Aston Villa,2023-08-12_premier_league_aston_villa_lineups.csv,8ff2f8fe,https://fbref.com/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Aston Villa,W,2023-08-12_premier_league_aston_villa,Newcastle United,4-3-3,Starter,33,Dan Burn
