team,appearances,minutesPlayed,assists,keyPasses,bigChancesCreated,accuratePasses,accurateLongBalls,successfulDribbles,tackles,interceptions,ballRecovery,goals,rating
Borussia Dortmund,4,315,0,0,0,96,16,0,0,0,29,0,7.83
FC Bayern München,3,270,0,0,0,85,24,0,0,0,16,0,7.57
FC Porto,8,720,1,1,1,235,86,0,0,0,66,0,7.53
Milan,5,450,0,0,0,121,41,0,0,0,40,0,7.48
FC København,4,360,0,0,0,62,24,0,0,0,29,0,7.43
Club Brugge KV,8,720,0,0,0,209,97,0,0,1,66,0,7.41
Inter,13,1170,0,0,0,346,116,0,0,0,114,0,7.41
FC Barcelona,1,90,0,0,0,32,2,0,0,0,7,0,7.4
Sevilla,2,180,0,0,0,43,8,0,0,0,12,0,7.4
Real Madrid,10,900,0,0,0,224,41,0,1,0,85,0,7.34
FC Bayern München,3,270,0,0,0,88,8,0,0,0,19,0,7.33
Manchester City,11,990,0,0,0,249,62,1,0,0,67,0,7.29
FC Bayern München,4,360,0,0,0,113,18,0,0,0,22,0,7.28
Shakhtar Donetsk,6,540,0,0,0,175,33,0,0,0,35,0,7.27
Milan,7,630,0,0,0,184,54,0,0,0,61,0,7.21
Eintracht Frankfurt,8,720,0,0,0,113,30,0,0,0,58,0,7.13
SSC Napoli,10,900,0,0,0,231,36,0,0,0,71,0,7.12
Tottenham Hotspur,2,180,0,0,0,31,6,0,0,0,20,0,7.1
Tottenham Hotspur,6,540,0,0,0,122,23,0,0,1,53,0,7.1
Chelsea,9,810,0,0,0,150,37,0,0,1,72,0,7.1
Juventus,2,180,0,0,0,35,8,0,0,0,15,0,7.05
Manchester City,2,180,0,0,0,44,5,0,0,0,10,0,7.0
Atlético Madrid,5,450,0,0,0,57,16,0,0,0,30,0,7.0
RB Leipzig,6,527,0,0,0,195,17,0,0,0,29,0,7.0
GNK Dinamo Zagreb,6,540,0,0,0,146,48,0,0,0,55,0,6.98
Red Bull Salzburg,6,540,0,0,0,84,35,0,1,0,45,0,6.95
Borussia Dortmund,5,405,0,0,0,148,42,0,0,0,39,0,6.92
Paris Saint-Germain,8,720,0,0,0,157,19,0,0,0,51,0,6.88
Bayer 04 Leverkusen,6,540,0,0,0,134,32,0,0,0,42,0,6.83
FC Viktoria Plzeň,1,90,0,0,0,24,14,0,0,0,17,0,6.8
Rangers,5,450,0,0,0,101,31,0,0,0,37,0,6.74
Olympique de Marseille,6,540,0,0,0,115,29,1,0,0,37,0,6.7
