team,appearances,minutesPlayed,goals,assists,keyPasses,bigChancesCreated,successfulDribbles,accurateCrosses,shotsOnTarget,totalShots,rating
Borussia Dortmund,4,315,0,0,0,0,0,0,0,0,7.83
FC Bayern München,3,270,0,0,0,0,0,0,0,0,7.57
FC Porto,8,720,0,1,1,1,0,0,0,0,7.53
Milan,5,450,0,0,0,0,0,0,0,0,7.48
FC København,4,360,0,0,0,0,0,0,0,0,7.43
Club Brugge KV,8,720,0,0,0,0,0,0,0,0,7.41
Inter,13,1170,0,0,0,0,0,0,0,0,7.41
FC Barcelona,1,90,0,0,0,0,0,0,0,0,7.4
Sevilla,2,180,0,0,0,0,0,0,0,0,7.4
Real Madrid,10,900,0,0,0,0,0,0,0,0,7.34
FC Bayern München,3,270,0,0,0,0,0,0,0,0,7.33
Manchester City,11,990,0,0,0,0,1,0,0,0,7.29
FC Bayern München,4,360,0,0,0,0,0,0,0,0,7.28
Shakhtar Donetsk,6,540,0,0,0,0,0,0,0,0,7.27
Milan,7,630,0,0,0,0,0,0,0,0,7.21
Eintracht Frankfurt,8,720,0,0,0,0,0,0,0,0,7.13
SSC Napoli,10,900,0,0,0,0,0,0,0,0,7.12
Tottenham Hotspur,2,180,0,0,0,0,0,0,0,0,7.1
Tottenham Hotspur,6,540,0,0,0,0,0,0,0,0,7.1
Chelsea,9,810,0,0,0,0,0,0,0,0,7.1
Juventus,2,180,0,0,0,0,0,0,0,0,7.05
Manchester City,2,180,0,0,0,0,0,0,0,0,7.0
Atlético Madrid,5,450,0,0,0,0,0,0,0,0,7.0
RB Leipzig,6,527,0,0,0,0,0,0,0,0,7.0
GNK Dinamo Zagreb,6,540,0,0,0,0,0,0,0,0,6.98
Red Bull Salzburg,6,540,0,0,0,0,0,0,0,0,6.95
Borussia Dortmund,5,405,0,0,0,0,0,0,0,0,6.92
Paris Saint-Germain,8,720,0,0,0,0,0,0,0,0,6.88
Bayer 04 Leverkusen,6,540,0,0,0,0,0,0,0,0,6.83
FC Viktoria Plzeň,1,90,0,0,0,0,0,0,0,0,6.8
Rangers,5,450,0,0,0,0,0,0,0,0,6.74
Olympique de Marseille,6,540,0,0,0,0,1,0,0,0,6.7
Benfica,10,900,0,0,0,0,0,0,0,0,6.67
Liverpool FC,8,720,0,0,0,0,1,0,0,0,6.66
Real Madrid,2,180,0,0,0,0,0,0,0,0,6.65
FC København,2,180,0,0,0,0,0,0,0,0,6.55
FC Barcelona,5,450,0,0,0,0,0,0,0,0,6.54
Sporting CP,5,383,0,0,0,0,0,0,0,0,6.52
Chelsea,1,90,0,0,0,0,0,0,0,0,6.5
Rangers,1,90,0,0,0,0,0,0,0,0,6.5
AFC Ajax,6,540,0,0,0,0,0,0,0,0,6.47
FC Viktoria Plzeň,5,450,0,0,0,0,0,0,0,0,6.44
Maccabi Haifa,6,540,0,0,0,0,0,0,0,0,6.4
Sevilla,4,360,0,0,0,0,0,0,0,0,6.38
Juventus,4,360,0,0,0,0,0,0,0,0,6.35
Atlético Madrid,1,90,0,0,0,0,0,0,0,0,6.3
Celtic,6,540,0,0,0,0,0,0,0,0,6.23
Sporting CP,2,154,0,0,0,0,0,0,0,0,6.15
RB Leipzig,3,193,0,0,0,0,0,0,0,0,5.77
FC Bayern München,2,174,1,0,0,0,1,0,1,1,7.75
Atlético Madrid,1,90,0,0,2,0,0,0,0,2,7.7
Liverpool FC,6,341,0,2,11,1,4,13,0,3,7.45
SSC Napoli,10,890,2,2,20,5,8,6,5,13,7.41
Manchester City,12,1048,1,0,2,0,3,0,6,13,7.41
Borussia Dortmund,4,353,0,1,6,2,2,2,0,2,7.38
SSC Napoli,3,196,1,0,1,0,0,0,1,1,7.33
Milan,4,275,0,0,1,0,1,0,0,3,7.33
Manchester City,8,608,0,0,2,1,2,1,1,4,7.27
Inter,12,990,0,3,11,6,2,13,1,4,7.26
FC Barcelona,2,147,0,1,6,2,0,2,0,0,7.25
Borussia Dortmund,4,315,0,0,0,0,0,0,0,1,7.25
GNK Dinamo Zagreb,6,540,0,0,2,1,1,1,0,0,7.25
Liverpool FC,7,626,1,0,14,0,5,22,4,9,7.21
Benfica,8,657,0,2,13,3,8,6,0,2,7.21
SSC Napoli,9,786,0,0,1,0,2,0,0,1,7.21
Chelsea,8,692,1,1,9,2,16,7,3,8,7.18
FC Bayern München,7,615,0,0,0,0,0,0,0,1,7.17
Borussia Dortmund,6,481,2,1,8,1,3,1,3,6,7.17
FC Porto,3,270,0,0,2,1,0,0,1,1,7.17
Chelsea,8,641,0,0,0,0,1,0,3,7,7.16
FC Barcelona,5,406,1,0,8,1,2,7,1,3,7.16
Bayer 04 Leverkusen,5,409,1,0,2,0,0,0,1,5,7.14
FC Bayern München,9,593,2,0,2,1,1,2,3,6,7.13
Benfica,9,794,0,1,5,2,0,0,0,4,7.13
RB Leipzig,7,514,1,3,7,2,6,4,1,2,7.13
Manchester City,11,945,1,0,4,1,1,0,4,7,7.13
Chelsea,7,560,0,0,13,4,6,14,0,6,7.11
Liverpool FC,4,242,1,0,1,0,1,0,2,5,7.1
FC Porto,4,360,0,0,1,0,1,1,0,3,7.1
Juventus,1,90,0,0,0,0,0,0,1,2,7.1
Sevilla,3,224,0,0,0,0,0,0,0,0,7.1
FC Bayern München,10,507,0,4,6,3,7,3,2,8,7.09
Chelsea,7,570,0,0,3,1,1,0,1,3,7.09
SSC Napoli,7,614,0,0,1,0,1,1,1,3,7.07
FC Bayern München,9,603,0,2,10,1,23,3,2,5,7.07
Tottenham Hotspur,7,511,1,0,2,1,1,0,1,1,7.06
Manchester City,8,686,1,1,6,1,10,2,1,3,7.05
Manchester City,2,118,1,0,1,0,2,0,1,2,7.05
Milan,6,509,0,0,3,0,0,0,0,3,7.05
Milan,4,209,1,0,0,0,0,0,1,1,7.03
FC Barcelona,3,218,0,0,1,0,1,0,1,1,7.03
Maccabi Haifa,4,325,0,0,1,0,1,0,1,1,7.03
Olympique de Marseille,5,407,2,1,3,1,1,1,2,4,7.02
Bayer 04 Leverkusen,5,351,0,0,2,0,0,0,0,3,7.02
Borussia Dortmund,8,675,0,0,1,0,2,0,1,3,7.01
Benfica,10,896,2,0,1,1,2,0,3,4,7.01
Sevilla,2,180,1,0,1,1,2,0,1,2,7.0
Chelsea,6,437,0,0,3,1,1,0,0,6,7.0
Paris Saint-Germain,8,720,0,0,0,0,3,0,2,6,7.0
Sporting CP,1,38,0,0,0,0,0,0,0,1,7.0
Olympique de Marseille,6,490,1,0,0,0,0,0,1,3,6.98
Red Bull Salzburg,4,267,0,0,1,0,2,0,0,2,6.98
Real Madrid,8,438,0,0,5,0,1,0,1,1,6.97
FC Bayern München,10,715,0,0,2,0,4,0,0,0,6.97
RB Leipzig,6,540,2,0,2,1,3,0,2,2,6.97
SSC Napoli,6,388,0,1,6,1,3,3,1,6,6.97
Milan,6,499,0,0,2,0,2,5,0,3,6.97
Liverpool FC,3,259,0,0,1,0,1,0,0,1,6.97
Manchester City,5,286,0,0,1,0,4,0,0,1,6.96
Inter,12,926,0,0,1,0,1,0,2,8,6.96
Real Madrid,9,748,1,0,0,0,3,0,1,4,6.96
Real Madrid,11,872,0,1,11,3,0,2,0,2,6.95
Bayer 04 Leverkusen,5,338,0,0,4,0,5,1,1,6,6.95
Inter,8,537,0,0,4,0,0,0,0,2,6.95
Sevilla,2,180,0,0,1,1,1,0,0,1,6.95
Club Brugge KV,8,720,0,0,0,0,0,0,0,0,6.95
Tottenham Hotspur,8,545,0,0,4,0,2,3,4,8,6.94
Shakhtar Donetsk,6,540,0,0,0,0,1,0,1,1,6.93
Milan,11,948,0,2,12,3,7,7,2,10,6.93
Borussia Dortmund,8,564,0,0,3,0,5,0,0,2,6.93
FC Bayern München,5,393,0,0,1,0,6,1,1,4,6.92
Olympique de Marseille,5,305,0,0,0,0,1,0,0,1,6.92
Red Bull Salzburg,6,540,0,0,2,0,3,0,1,3,6.92
Paris Saint-Germain,7,449,0,0,0,0,4,0,1,1,6.92
Milan,10,750,0,0,3,0,2,2,2,2,6.91
Red Bull Salzburg,3,166,0,1,3,1,0,2,1,2,6.9
AFC Ajax,2,76,0,1,2,0,0,1,0,0,6.9
Atlético Madrid,5,402,0,0,1,1,0,1,1,4,6.9
Chelsea,8,412,0,0,4,0,1,2,1,1,6.9
FC København,4,360,0,0,0,0,1,0,2,3,6.9
Borussia Dortmund,7,564,0,0,0,0,5,0,2,6,6.9
Bayer 04 Leverkusen,6,479,0,0,3,0,0,0,0,1,6.9
GNK Dinamo Zagreb,1,76,0,0,0,0,0,0,0,1,6.9
Real Madrid,1,17,0,0,0,0,0,0,0,0,6.9
Shakhtar Donetsk,6,540,0,0,0,0,1,0,0,0,6.9
Real Madrid,10,676,1,0,2,1,0,0,1,6,6.89
Club Brugge KV,8,572,1,1,6,2,2,4,1,5,6.89
GNK Dinamo Zagreb,6,540,0,0,0,0,3,0,1,1,6.88
Manchester City,5,306,0,0,3,1,5,2,2,7,6.88
Bayer 04 Leverkusen,5,429,0,0,2,0,3,0,0,2,6.88
Sevilla,4,226,1,0,4,0,1,2,1,1,6.87
FC Porto,8,588,1,0,2,0,2,1,2,5,6.86
Liverpool FC,8,720,0,0,2,0,1,0,5,12,6.85
