season,player_id,player_name,team_name,injury_type,reason,fixture_date,days_out
2023-2024,18957,M. Obafemi,Burnley,Missing Fixture,Thigh Injury,2023-08-11,70
2023-2024,105789,D. Churlinov,Burnley,Missing Fixture,Injury,2023-08-27,37
2023-2024,25628,J. Beyer,Burnley,Questionable,Thigh Injury,2023-08-27,0
2023-2024,18957,M. Obafemi,Burnley,Missing Fixture,Thigh Injury,2023-08-27,70
2023-2024,278079,A. Ramsey,Burnley,Questionable,Knock,2023-09-02,0
2023-2024,129169,A. Zaroury,Burnley,Missing Fixture,Red Card,2023-09-02,0
2023-2024,105789,D. Churlinov,Burnley,Missing Fixture,Injury,2023-09-02,37
2023-2024,47903,H. Ekdal,Burnley,Missing Fixture,Knee Injury,2023-09-02,35
2023-2024,18957,M. Obafemi,Burnley,Missing Fixture,Thigh Injury,2023-09-02,70
2023-2024,8661,Vitinho,Burnley,Questionable,Knee Injury,2023-09-02,0
2023-2024,105789,D. Churlinov,Burnley,Missing Fixture,Injury,2023-09-18,37
2023-2024,47903,H. Ekdal,Burnley,Missing Fixture,Knee Injury,2023-09-18,35
2023-2024,18957,M. Obafemi,Burnley,Missing Fixture,Thigh Injury,2023-09-18,70
2023-2024,105789,D. Churlinov,Burnley,Missing Fixture,Injury,2023-09-23,37
2023-2024,47903,H. Ekdal,Burnley,Missing Fixture,Knee Injury,2023-09-23,35
2023-2024,98936,L. Foster,Burnley,Missing Fixture,Red Card,2023-09-23,34
2023-2024,18957,M. Obafemi,Burnley,Missing Fixture,Thigh Injury,2023-09-23,70
2023-2024,8661,Vitinho,Burnley,Questionable,Knee Injury,2023-09-23,0
2023-2024,8589,B. Manuel Hedilazio,Burnley,Missing Fixture,Ankle Injury,2023-09-30,7
2023-2024,105789,D. Churlinov,Burnley,Missing Fixture,Injury,2023-09-30,37
2023-2024,47903,H. Ekdal,Burnley,Missing Fixture,Knee Injury,2023-09-30,35
2023-2024,2790,J. B. Gudmundsson,Burnley,Questionable,Muscle Injury,2023-09-30,0
2023-2024,98936,L. Foster,Burnley,Missing Fixture,Red Card,2023-09-30,34
2023-2024,18957,M. Obafemi,Burnley,Missing Fixture,Thigh Injury,2023-09-30,70
2023-2024,18948,N. Redmond,Burnley,Missing Fixture,Injury,2023-09-30,232
2023-2024,8589,B. Manuel Hedilazio,Burnley,Missing Fixture,Ankle Injury,2023-10-03,7
2023-2024,105789,D. Churlinov,Burnley,Missing Fixture,Injury,2023-10-03,37
2023-2024,47903,H. Ekdal,Burnley,Missing Fixture,Knee Injury,2023-10-03,35
2023-2024,2790,J. B. Gudmundsson,Burnley,Missing Fixture,Muscle Injury,2023-10-03,3
2023-2024,18957,M. Obafemi,Burnley,Missing Fixture,Thigh Injury,2023-10-03,70
2023-2024,18948,N. Redmond,Burnley,Missing Fixture,Injury,2023-10-03,232
2023-2024,8589,B. Manuel Hedilazio,Burnley,Missing Fixture,Ankle Injury,2023-10-07,7
2023-2024,47903,H. Ekdal,Burnley,Missing Fixture,Knee Injury,2023-10-07,35
2023-2024,2790,J. B. Gudmundsson,Burnley,Missing Fixture,Muscle Injury,2023-10-07,3
2023-2024,18957,M. Obafemi,Burnley,Missing Fixture,Thigh Injury,2023-10-07,70
2023-2024,18948,N. Redmond,Burnley,Missing Fixture,Injury,2023-10-07,232
2023-2024,8589,B. Manuel Hedilazio,Burnley,Questionable,Ankle Injury,2023-10-21,0
2023-2024,47903,H. Ekdal,Burnley,Questionable,Knee Injury,2023-10-21,0
2023-2024,2790,J. B. Gudmundsson,Burnley,Questionable,Muscle Injury,2023-10-21,0
2023-2024,25628,J. Beyer,Burnley,Missing Fixture,Knock,2023-10-21,83
2023-2024,18957,M. Obafemi,Burnley,Missing Fixture,Thigh Injury,2023-10-21,70
2023-2024,8589,B. Manuel Hedilazio,Burnley,Questionable,Ankle Injury,2023-10-28,0
