season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_goalkeeper_stats.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,André Onana,cm CMR,27-134,90,6,0,6,100.0
2023-2024,Manchester United 2023 2024,2023-08-19,Premier League,Tottenham Hotspur,2023-08-19_premier_league_tottenham_hotspur_goalkeeper_stats.csv,4bb62251,https://fbref.com/en/matches/4bb62251/Tottenham-Hotspur-Manchester-United-August-19-2023-Premier-League,2023-08-19,Premier League,Matchweek 2,Away,Tottenham Hotspur,L,2023-08-19_premier_league_tottenham_hotspur,Manchester Utd,André Onana,cm CMR,27-139,90,7,2,5,71.4
2023-2024,Manchester United 2023 2024,2023-08-26,Premier League,Nottingham Forest,2023-08-26_premier_league_nottingham_forest_goalkeeper_stats.csv,70d9b1ab,https://fbref.com/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Nottingham Forest,W,2023-08-26_premier_league_nottingham_forest,Manchester Utd,André Onana,cm CMR,27-146,90,4,2,2,50.0
2023-2024,Manchester United 2023 2024,2023-09-03,Premier League,Arsenal,2023-09-03_premier_league_arsenal_goalkeeper_stats.csv,74125d47,https://fbref.com/en/matches/74125d47/Arsenal-Manchester-United-September-3-2023-Premier-League,2023-09-03,Premier League,Matchweek 4,Away,Arsenal,L,2023-09-03_premier_league_arsenal,Manchester Utd,André Onana,cm CMR,27-154,90,5,3,2,40.0
2023-2024,Manchester United 2023 2024,2023-09-16,Premier League,Brighton,2023-09-16_premier_league_brighton_goalkeeper_stats.csv,ddcf2857,https://fbref.com/en/matches/ddcf2857/Manchester-United-Brighton-and-Hove-Albion-September-16-2023-Premier-League,2023-09-16,Premier League,Matchweek 5,Home,Brighton,L,2023-09-16_premier_league_brighton,Manchester Utd,André Onana,cm CMR,27-167,90,8,3,5,62.5
2023-2024,Manchester United 2023 2024,2023-09-20,Champions Lg,Debayern Munich,2023-09-20_champions_lg_debayern_munich_goalkeeper_stats.csv,8c29e4f7,https://fbref.com/en/matches/8c29e4f7/Bayern-Munich-Manchester-United-September-20-2023-Champions-League,2023-09-20,Champions Lg,Group stage,Away,deBayern Munich,L,2023-09-20_champions_lg_debayern_munich,Manchester Utd,André Onana,cm CMR,27-171,90,8,4,5,62.5
2023-2024,Manchester United 2023 2024,2023-09-23,Premier League,Burnley,2023-09-23_premier_league_burnley_goalkeeper_stats.csv,8e26793d,https://fbref.com/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Away,Burnley,W,2023-09-23_premier_league_burnley,Manchester Utd,André Onana,cm CMR,27-174,90,4,0,4,100.0
2023-2024,Manchester United 2023 2024,2023-09-26,Efl Cup,Crystal Palace,2023-09-26_efl_cup_crystal_palace_goalkeeper_stats.csv,d89d2a1a,https://fbref.com/en/matches/d89d2a1a/Manchester-United-Crystal-Palace-September-26-2023-EFL-Cup,2023-09-26,EFL Cup,Third round,Home,Crystal Palace,W,2023-09-26_efl_cup_crystal_palace,Manchester Utd,André Onana,cm CMR,27-177,90,2,0,2,100.0
2023-2024,Manchester United 2023 2024,2023-09-30,Premier League,Crystal Palace,2023-09-30_premier_league_crystal_palace_goalkeeper_stats.csv,ef2b7ab9,https://fbref.com/en/matches/ef2b7ab9/Manchester-United-Crystal-Palace-September-30-2023-Premier-League,2023-09-30,Premier League,Matchweek 7,Home,Crystal Palace,L,2023-09-30_premier_league_crystal_palace,Manchester Utd,André Onana,cm CMR,27-181,90,2,1,1,50.0
2023-2024,Manchester United 2023 2024,2023-10-03,Champions Lg,Trgalatasaray,2023-10-03_champions_lg_trgalatasaray_goalkeeper_stats.csv,1ad7d8f7,https://fbref.com/en/matches/1ad7d8f7/Manchester-United-Galatasaray-October-3-2023-Champions-League,2023-10-03,Champions Lg,Group stage,Home,trGalatasaray,L,2023-10-03_champions_lg_trgalatasaray,Manchester Utd,André Onana,cm CMR,27-184,90,4,3,1,25.0
