season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Starter,24,André Onana
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Starter,6,Lisandro Martínez
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Starter,7,Mason Mount
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Starter,8,Bruno Fernandes
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Starter,10,Marcus Rashford
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Starter,18,Casemiro
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Starter,19,Raphaël Varane
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Starter,21,Antony
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Starter,23,Luke Shaw
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Starter,29,Aaron Wan-Bissaka
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Starter,49,Alejandro Garnacho
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Bench,26,Dean Henderson
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Bench,2,Victor Lindelöf
2023-2024,Manchester United 2023 2024,2023-08-14,Premier League,Wolves,2023-08-14_premier_league_wolves_lineups.csv,f1ecda2c,https://fbref.com/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,2023-08-14,Premier League,Matchweek 1,Home,Wolves,W,2023-08-14_premier_league_wolves,Manchester Utd,4-1-4-1,Bench,5,Harry Maguire
