Season,Season_Label,Team,Fixture_Date,Players_Missing_Total,Players_Missing_Injury,Players_Missing_Non_Injury,Soft_Tissue_Missing,Max_Reported_Days_Out,Mean_Reported_Days_Out
2023-2024,2023/24,Burnley,2023-08-11,1,1,0,1,70,70.0
2023-2024,2023/24,Manchester City,2023-08-11,0,0,0,0,0,0.0
2023-2024,2023/24,Arsenal,2023-08-12,2,2,0,0,193,182.0
2023-2024,2023/24,Nottingham Forest,2023-08-12,2,2,0,1,56,31.0
2023-2024,2023/24,Everton,2023-08-12,3,3,0,1,281,184.7
2023-2024,2023/24,Fulham,2023-08-12,1,1,0,0,196,196.0
2023-2024,2023/24,Brighton,2023-08-12,4,4,0,1,75,18.8
2023-2024,2023/24,Luton,2023-08-12,4,4,0,0,281,219.2
2023-2024,2023/24,Sheffield Utd,2023-08-12,5,5,0,3,281,142.2
2023-2024,2023/24,Crystal Palace,2023-08-12,2,2,0,1,281,245.5
2023-2024,2023/24,Bournemouth,2023-08-12,5,5,0,3,281,133.0
2023-2024,2023/24,West Ham,2023-08-12,0,0,0,0,0,0.0
2023-2024,2023/24,Newcastle,2023-08-12,3,3,0,2,280,158.7
2023-2024,2023/24,Aston Villa,2023-08-12,8,8,0,3,280,56.0
2023-2024,2023/24,Brentford,2023-08-13,2,1,1,1,139,69.5
2023-2024,2023/24,Tottenham,2023-08-13,4,4,0,2,280,150.5
2023-2024,2023/24,Chelsea,2023-08-13,5,5,0,0,279,178.0
2023-2024,2023/24,Liverpool,2023-08-13,0,0,0,0,0,0.0
2023-2024,2023/24,Manchester United,2023-08-14,5,5,0,2,278,119.2
2023-2024,2023/24,Wolves,2023-08-14,0,0,0,0,0,0.0
2023-2024,2023/24,Nottingham Forest,2023-08-18,3,3,0,1,154,72.0
2023-2024,2023/24,Sheffield Utd,2023-08-18,4,4,0,3,281,143.8
2023-2024,2023/24,Wolves,2023-08-19,0,0,0,0,0,0.0
2023-2024,2023/24,Brighton,2023-08-19,1,1,0,0,75,75.0
2023-2024,2023/24,Fulham,2023-08-19,1,1,0,0,0,0.0
2023-2024,2023/24,Brentford,2023-08-19,2,1,1,1,139,69.5
2023-2024,2023/24,Liverpool,2023-08-19,2,2,0,0,268,238.0
2023-2024,2023/24,Bournemouth,2023-08-19,5,5,0,3,281,133.0
2023-2024,2023/24,Tottenham,2023-08-19,4,4,0,2,280,150.5
2023-2024,2023/24,Manchester United,2023-08-19,6,6,0,2,278,132.0
2023-2024,2023/24,Manchester City,2023-08-19,2,2,0,2,146,138.0
2023-2024,2023/24,Newcastle,2023-08-19,3,3,0,2,280,158.7
2023-2024,2023/24,Aston Villa,2023-08-20,7,7,0,2,280,103.0
2023-2024,2023/24,Everton,2023-08-20,4,4,0,1,281,206.8
2023-2024,2023/24,West Ham,2023-08-20,0,0,0,0,0,0.0
2023-2024,2023/24,Chelsea,2023-08-20,6,6,0,1,279,193.7
2023-2024,2023/24,Crystal Palace,2023-08-21,3,3,0,1,281,254.0
2023-2024,2023/24,Arsenal,2023-08-21,3,3,0,0,250,204.7
2023-2024,2023/24,Chelsea,2023-08-25,9,9,0,2,279,208.6
2023-2024,2023/24,Luton,2023-08-25,3,3,0,0,281,198.7
2023-2024,2023/24,Bournemouth,2023-08-26,6,6,0,4,281,133.2
2023-2024,2023/24,Tottenham,2023-08-26,4,4,0,2,280,150.5
2023-2024,2023/24,Everton,2023-08-26,6,6,0,2,281,137.8
2023-2024,2023/24,Wolves,2023-08-26,0,0,0,0,0,0.0
2023-2024,2023/24,Manchester United,2023-08-26,6,6,0,4,278,187.7
2023-2024,2023/24,Nottingham Forest,2023-08-26,2,2,0,0,154,105.0
2023-2024,2023/24,Brentford,2023-08-26,4,3,1,2,139,68.2
2023-2024,2023/24,Crystal Palace,2023-08-26,2,2,0,1,281,245.5
2023-2024,2023/24,Arsenal,2023-08-26,2,2,0,0,250,210.5
2023-2024,2023/24,Fulham,2023-08-26,0,0,0,0,0,0.0
2023-2024,2023/24,Brighton,2023-08-26,2,2,0,0,230,152.5
2023-2024,2023/24,West Ham,2023-08-26,0,0,0,0,0,0.0
2023-2024,2023/24,Sheffield Utd,2023-08-27,5,5,0,4,281,215.6
2023-2024,2023/24,Manchester City,2023-08-27,2,2,0,2,146,138.0
2023-2024,2023/24,Burnley,2023-08-27,3,3,0,2,70,35.7
2023-2024,2023/24,Aston Villa,2023-08-27,8,8,0,3,280,91.0
2023-2024,2023/24,Newcastle,2023-08-27,3,3,0,2,280,158.7
2023-2024,2023/24,Liverpool,2023-08-27,2,2,0,0,268,238.0
2023-2024,2023/24,Luton,2023-09-01,3,3,0,0,281,198.7
2023-2024,2023/24,West Ham,2023-09-01,2,2,0,0,0,0.0
2023-2024,2023/24,Sheffield Utd,2023-09-02,6,6,0,5,281,185.5
2023-2024,2023/24,Everton,2023-09-02,3,3,0,2,281,233.7
2023-2024,2023/24,Brentford,2023-09-02,4,3,1,1,139,68.2
2023-2024,2023/24,Bournemouth,2023-09-02,4,4,0,2,281,133.5
2023-2024,2023/24,Manchester City,2023-09-02,1,1,0,1,130,130.0
2023-2024,2023/24,Fulham,2023-09-02,2,2,0,0,260,155.5
2023-2024,2023/24,Chelsea,2023-09-02,7,7,0,1,279,203.0
2023-2024,2023/24,Nottingham Forest,2023-09-02,0,0,0,0,0,0.0
2023-2024,2023/24,Burnley,2023-09-02,6,5,1,1,70,23.7
2023-2024,2023/24,Tottenham,2023-09-02,5,5,0,3,280,147.2
2023-2024,2023/24,Brighton,2023-09-02,3,3,0,1,230,101.7
2023-2024,2023/24,Newcastle,2023-09-02,2,2,0,1,280,161.0
2023-2024,2023/24,Crystal Palace,2023-09-03,2,2,0,1,281,245.5
2023-2024,2023/24,Wolves,2023-09-03,1,1,0,1,112,112.0
2023-2024,2023/24,Liverpool,2023-09-03,1,0,1,0,102,102.0
2023-2024,2023/24,Aston Villa,2023-09-03,7,7,0,2,280,102.0
