Season,Season_Label,Team,Player,Player_ID,Matches_Missed_Total,Matches_Missed_Injury,First_Missed_Fixture,Last_Missed_Fixture,Main_Reason,Main_Injury_Category,Max_Reported_Days_Out
2023-2024,2023/24,Arsenal,Gabriel Jesus,643,7,7,2023-08-12,2024-02-21,Muscle Injury,Muscle,193
2023-2024,2023/24,Arsenal,M. Elneny,1452,8,6,2023-08-12,2024-01-30,Knock,Knock,171
2023-2024,2023/24,Arsenal,J. Timber,38746,43,43,2023-08-21,2024-04-28,Knee Injury,Knee,250
2023-2024,2023/24,Arsenal,T. Partey,49,23,23,2023-09-03,2024-02-21,Muscle Injury,Muscle,171
2023-2024,2023/24,Arsenal,G. Martinelli,127769,1,1,2023-09-20,2023-09-20,Muscle Injury,Muscle,0
2023-2024,2023/24,Arsenal,L. Trossard,1946,1,1,2023-09-24,2023-09-24,Muscle Injury,Muscle,0
2023-2024,2023/24,Arsenal,E. Smith Rowe,1161,9,9,2023-11-04,2024-02-11,Knee Injury,Knee,98
2023-2024,2023/24,Arsenal,M. Odegaard,37127,2,2,2023-11-04,2023-11-08,Injury,Generic injury,4
2023-2024,2023/24,Arsenal,D. Raya,19465,2,0,2023-11-25,2024-03-09,Loan agreement,Other,105
2023-2024,2023/24,Arsenal,F. Vieira,41725,14,13,2023-11-25,2024-02-11,Groin Injury,Groin,77
2023-2024,2023/24,Arsenal,T. Tomiyasu,2597,11,8,2023-12-09,2024-04-20,Calf Injury,Calf,133
2023-2024,2023/24,Arsenal,K. Havertz,978,1,0,2023-12-28,2023-12-28,Yellow Cards,Other,0
2023-2024,2023/24,Arsenal,O. Zinchenko,641,2,2,2023-12-31,2024-02-21,Calf Injury,Calf,52
2023-2024,2023/24,Arsenal,B. Saka,1460,1,1,2024-05-19,2024-05-19,Muscle Injury,Muscle,0
2023-2024,2023/24,Aston Villa,A. Moreno,47547,12,12,2023-08-12,2024-05-19,Injury,Generic injury,202
2023-2024,2023/24,Aston Villa,B. Traore,671,13,11,2023-08-12,2024-01-30,Muscle Injury,Muscle,65
2023-2024,2023/24,Aston Villa,E. Buendia,19071,38,38,2023-08-12,2024-05-19,Knee Injury,Knee,280
2023-2024,2023/24,Aston Villa,J. Duran,13489,8,8,2023-08-12,2024-03-02,Injury,Generic injury,31
2023-2024,2023/24,Aston Villa,J. Ramsey,19192,21,21,2023-08-12,2024-05-19,Foot Injury,Generic injury,43
2023-2024,2023/24,Aston Villa,K. Hause,19177,12,12,2023-08-12,2023-11-12,Knee Injury,Knee,91
2023-2024,2023/24,Aston Villa,L. Dendoncker,2922,3,3,2023-08-12,2023-08-27,Muscle Injury,Muscle,14
2023-2024,2023/24,Aston Villa,T. Iroegbunam,284500,8,8,2023-08-12,2023-10-08,Surgery,Other,42
2023-2024,2023/24,Aston Villa,T. Mings,19179,37,37,2023-08-20,2024-05-19,Knee Injury,Knee,273
2023-2024,2023/24,Aston Villa,Coutinho,147,2,2,2023-08-27,2023-09-03,Hamstring Injury,Hamstring,7
2023-2024,2023/24,Aston Villa,Diego Carlos,21090,6,6,2023-09-16,2024-03-02,Injury,Generic injury,14
2023-2024,2023/24,Aston Villa,L. Bailey,983,1,1,2023-09-30,2023-09-30,Thigh Injury,Thigh,0
2023-2024,2023/24,Aston Villa,N. Zaniolo,786,5,5,2023-11-26,2024-05-19,Injury,Generic injury,28
2023-2024,2023/24,Aston Villa,B. Kamara,1904,18,14,2023-12-03,2024-05-19,Knee Injury,Knee,168
2023-2024,2023/24,Aston Villa,Douglas Luiz,47522,3,0,2023-12-17,2024-04-21,Yellow Cards,Other,126
2023-2024,2023/24,Aston Villa,L. Digne,2724,5,4,2023-12-17,2024-02-03,Thigh Injury,Thigh,13
2023-2024,2023/24,Aston Villa,Y. Tielemans,2926,6,6,2023-12-17,2024-05-19,Knock,Knock,3
2023-2024,2023/24,Aston Villa,P. Torres,46815,4,4,2023-12-22,2024-02-03,Ankle Injury,Ankle,0
2023-2024,2023/24,Aston Villa,R. Olsen,766,4,4,2023-12-22,2024-01-14,Knock,Knock,7
2023-2024,2023/24,Aston Villa,M. Cash,19298,5,4,2023-12-26,2024-05-19,Hamstring Injury,Hamstring,144
2023-2024,2023/24,Aston Villa,J. Gauci,7029,1,0,2024-02-03,2024-02-03,International duty,Other,0
2023-2024,2023/24,Aston Villa,E. Konsa,19354,3,3,2024-02-11,2024-02-24,Knee Injury,Knee,12
2023-2024,2023/24,Aston Villa,J. McGinn,19191,1,0,2024-03-17,2024-03-17,Red Card,Other,0
2023-2024,2023/24,Aston Villa,O. Watkins,19366,1,1,2024-04-03,2024-04-03,Thigh Injury,Thigh,0
2023-2024,2023/24,Aston Villa,E. Martinez,19599,1,1,2024-05-05,2024-05-05,Thigh Injury,Thigh,0
2023-2024,2023/24,Aston Villa,M. Rogers,19170,2,2,2024-05-13,2024-05-19,Thigh Injury,Thigh,5
2023-2024,2023/24,Bournemouth,A. Scott,304853,13,13,2023-08-12,2023-12-09,Knee Injury,Knee,119
2023-2024,2023/24,Bournemouth,A. Smith,18869,4,4,2023-08-12,2024-01-21,Muscle Injury,Muscle,0
2023-2024,2023/24,Bournemouth,L. Kelly,19263,12,12,2023-08-12,2024-03-13,Thigh Injury,Thigh,92
2023-2024,2023/24,Bournemouth,M. Tavernier,19245,8,8,2023-08-12,2024-05-04,Thigh Injury,Thigh,265
2023-2024,2023/24,Bournemouth,R. Fredericks,18815,38,38,2023-08-12,2024-05-19,Calf Injury,Calf,281
2023-2024,2023/24,Bournemouth,L. Cook,18872,4,2,2023-08-19,2023-12-26,Red Card,Other,7
2023-2024,2023/24,Bournemouth,E. Marcondes,19356,17,17,2023-08-26,2023-12-31,Ankle Injury,Ankle,127
2023-2024,2023/24,Bournemouth,T. Adams,1150,28,28,2023-08-26,2024-05-04,Thigh Injury,Thigh,161
2023-2024,2023/24,Bournemouth,C. Mepham,18866,10,10,2023-09-30,2024-05-19,Illness,Other,16
2023-2024,2023/24,Bournemouth,Neto,912,2,2,2023-10-28,2023-11-04,Ankle Injury,Ankle,7
2023-2024,2023/24,Bournemouth,D. Randolph,19229,13,13,2023-11-04,2024-02-10,Illness,Other,49
2023-2024,2023/24,Bournemouth,M. Aarons,19070,13,13,2023-11-25,2024-03-13,Thigh Injury,Thigh,109
2023-2024,2023/24,Bournemouth,H. J. Traore,31057,4,4,2023-12-09,2023-12-31,Illness,Other,21
2023-2024,2023/24,Bournemouth,M. Kerkez,206254,7,4,2023-12-23,2024-05-11,Ankle Injury,Ankle,13
2023-2024,2023/24,Bournemouth,A. Semenyo,19281,2,1,2024-01-21,2024-04-13,National selection,Other,0
2023-2024,2023/24,Bournemouth,D. Ouattara,284797,2,0,2024-01-21,2024-02-01,National selection,Other,11
2023-2024,2023/24,Bournemouth,M. Senesi,6610,5,4,2024-01-21,2024-04-02,Thigh Injury,Thigh,52
2023-2024,2023/24,Bournemouth,J. Hill,20093,7,7,2024-02-01,2024-03-09,Ankle Injury,Ankle,36
2023-2024,2023/24,Bournemouth,E. Unal,47499,1,1,2024-02-04,2024-02-04,Inactive,Other,0
2023-2024,2023/24,Bournemouth,P. Billing,2734,1,0,2024-02-10,2024-02-10,Red Card,Other,0
2023-2024,2023/24,Bournemouth,R. Faivre,84082,3,3,2024-02-17,2024-04-28,Injury,Generic injury,3
2023-2024,2023/24,Bournemouth,L. Sinisterra,37161,9,9,2024-03-30,2024-05-19,Injury,Generic injury,50
2023-2024,2023/24,Brentford,F. Onyeka,15799,6,1,2023-08-13,2024-02-10,International duty,Other,44
2023-2024,2023/24,Brentford,I. Toney,19974,19,0,2023-08-13,2023-12-30,Suspended,Other,139
2023-2024,2023/24,Brentford,B. Mee,18917,18,16,2023-08-19,2024-05-19,Broken ankle,Ankle,143
2023-2024,2023/24,Brentford,J. Dasilva,19362,33,33,2023-08-26,2024-05-19,Thigh Injury,Thigh,154
2023-2024,2023/24,Brentford,S. Baptiste,20110,10,10,2023-08-26,2023-12-30,Shoulder Injury,Generic injury,56
2023-2024,2023/24,Brentford,M. Damsgaard,15908,11,11,2023-09-02,2023-12-02,Knock,Knock,42
2023-2024,2023/24,Brentford,N. Maupay,19364,2,0,2023-09-23,2024-04-27,Loan agreement,Other,217
2023-2024,2023/24,Brentford,R. Henry,19346,33,33,2023-09-23,2024-05-19,Knee Injury,Knee,238
2023-2024,2023/24,Brentford,K. Schade,178077,26,26,2023-10-01,2024-04-06,Hip Injury,Generic injury,185
2023-2024,2023/24,Brentford,A. Hickey,44871,28,27,2023-10-21,2024-05-19,Thigh Injury,Thigh,211
2023-2024,2023/24,Brentford,K. Lewis-Potter,106725,4,4,2023-10-21,2023-11-12,Calf Injury,Calf,0
2023-2024,2023/24,Brentford,N. Collins,19495,5,5,2023-11-25,2024-05-19,Ankle Injury,Ankle,13
2023-2024,2023/24,Brentford,M. Jensen,47438,4,4,2023-12-02,2023-12-17,Knock,Knock,0
2023-2024,2023/24,Brentford,C. Norgaard,30407,7,6,2023-12-06,2024-04-13,Injury,Generic injury,100
2023-2024,2023/24,Brentford,K. Ajer,1119,5,5,2023-12-06,2023-12-30,Ankle Injury,Ankle,23
2023-2024,2023/24,Brentford,B. Mbeumo,20589,13,13,2023-12-09,2024-03-09,Ankle Injury,Ankle,91
2023-2024,2023/24,Brentford,S. Ghoddos,2699,3,0,2024-01-20,2024-02-05,International duty,Other,16
2023-2024,2023/24,Brentford,Y. Wissa,20649,4,0,2024-01-20,2024-02-10,International duty,Other,20
2023-2024,2023/24,Brentford,S. Reguilon,739,2,0,2024-01-31,2024-03-30,Loan agreement,Other,59
2023-2024,2023/24,Brentford,E. Pinnock,19789,8,8,2024-02-20,2024-04-06,Ankle Injury,Ankle,24
2023-2024,2023/24,Brighton,A. Lallana,295,3,3,2023-08-12,2024-05-05,Injury,Generic injury,0
2023-2024,2023/24,Brighton,A. Webster,19265,12,12,2023-08-12,2024-04-13,Knock,Knock,113
2023-2024,2023/24,Brighton,J. Moder,40911,12,12,2023-08-12,2023-10-26,Knee Injury,Knee,75
2023-2024,2023/24,Brighton,M. Caicedo,116117,1,1,2023-08-12,2023-08-12,Thigh Injury,Thigh,0
2023-2024,2023/24,Brighton,J. Enciso,70747,30,30,2023-08-26,2024-04-13,Knee Injury,Knee,230
2023-2024,2023/24,Brighton,D. Welbeck,1469,12,12,2023-09-02,2023-12-14,Muscle Injury,Muscle,49
2023-2024,2023/24,Brighton,J. Milner,296,22,22,2023-09-24,2024-05-19,Knee Injury,Knee,123
2023-2024,2023/24,Brighton,P. Gross,18970,2,2,2023-09-24,2023-09-30,Muscle Injury,Muscle,0
2023-2024,2023/24,Brighton,P. Estupinan,46731,20,20,2023-10-08,2024-05-19,Injury,Generic injury,189
2023-2024,2023/24,Brighton,T. Lamptey,138815,18,18,2023-10-08,2024-05-05,Muscle Injury,Muscle,191
2023-2024,2023/24,Brighton,S. March,18973,35,35,2023-10-26,2024-05-19,Knee Injury,Knee,205
2023-2024,2023/24,Brighton,L. Dunk,18963,5,2,2023-11-12,2024-05-19,Red Card,Other,189
2023-2024,2023/24,Brighton,Igor,7600,2,2,2023-11-25,2024-01-02,Ankle Injury,Ankle,0
2023-2024,2023/24,Brighton,K. Mitoma,106835,21,18,2023-11-25,2024-05-19,Back Injury,Generic injury,78
2023-2024,2023/24,Brighton,M. Dahoud,14,3,0,2023-11-25,2023-12-06,Red Card,Other,11
2023-2024,2023/24,Brighton,A. Fati,135775,11,11,2023-11-30,2024-01-30,Calf Injury,Calf,61
