Season,Season_Label,Team,Player,Player_ID,Reason,Injury_Category,First_Missed_Fixture,Last_Missed_Fixture,Matches_Missed,Reported_Days_Out
2023-2024,2023/24,Arsenal,Gabriel Jesus,643,Knee Injury,Knee,2023-08-12,2024-09-01,7,193
2023-2024,2023/24,Arsenal,M. Elneny,1452,Knock,Knock,2023-08-12,2024-07-19,8,171
2023-2024,2023/24,Arsenal,J. Timber,38746,Knee Injury,Knee,2023-08-21,2025-01-03,43,250
2023-2024,2023/24,Arsenal,T. Partey,49,Muscle Injury,Muscle,2023-09-03,2024-08-10,23,171
2023-2024,2023/24,Arsenal,G. Martinelli,127769,Muscle Injury,Muscle,2023-09-20,2023-09-20,1,0
2023-2024,2023/24,Arsenal,L. Trossard,1946,Muscle Injury,Muscle,2023-09-24,2023-09-24,1,0
2023-2024,2023/24,Arsenal,E. Smith Rowe,1161,Knee Injury,Knee,2023-11-04,2024-05-19,9,98
2023-2024,2023/24,Arsenal,M. Odegaard,37127,Injury,Generic injury,2023-11-04,2023-11-12,2,4
2023-2024,2023/24,Arsenal,D. Raya,19465,Loan agreement,Other,2023-11-25,2024-06-22,2,105
2023-2024,2023/24,Arsenal,F. Vieira,41725,Red Card,Other,2023-11-25,2024-04-28,14,77
2023-2024,2023/24,Arsenal,T. Tomiyasu,2597,Calf Injury,Calf,2023-12-09,2024-08-31,11,133
2023-2024,2023/24,Arsenal,K. Havertz,978,Yellow Cards,Other,2023-12-28,2023-12-28,1,0
2023-2024,2023/24,Arsenal,O. Zinchenko,641,Calf Injury,Calf,2023-12-31,2024-04-13,2,52
2023-2024,2023/24,Arsenal,B. Saka,1460,Muscle Injury,Muscle,2024-05-19,2024-05-19,1,0
2023-2024,2023/24,Aston Villa,A. Moreno,47547,Thigh Injury,Thigh,2023-08-12,2023-08-12,1,0
2023-2024,2023/24,Aston Villa,A. Moreno,47547,Thigh Injury,Thigh,2023-08-20,2023-09-03,3,0
2023-2024,2023/24,Aston Villa,A. Moreno,47547,Injury,Generic injury,2023-09-30,2023-09-30,1,0
2023-2024,2023/24,Aston Villa,A. Moreno,47547,Injury,Generic injury,2023-10-08,2024-05-19,7,202
