season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2023-2024,Manchester City 2023 2024,2023-08-06,Community Shield,Arsenal,2023-08-06_community_shield_arsenal_goalkeeper_stats.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Arsenal,D,2023-08-06_community_shield_arsenal,Manchester City,Stefan Ortega,de GER,30-273,90,3,1,2,66.7
2023-2024,Manchester City 2023 2024,2023-08-11,Premier League,Burnley,2023-08-11_premier_league_burnley_goalkeeper_stats.csv,3a6836b4,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Premier League,Matchweek 1,Away,Burnley,W,2023-08-11_premier_league_burnley,Manchester City,Ederson,br BRA,29-359,90,1,0,1,100.0
2023-2024,Manchester City 2023 2024,2023-08-16,Super Cup,Essevilla,2023-08-16_super_cup_essevilla_goalkeeper_stats.csv,572ae2f0,https://fbref.com/en/matches/572ae2f0/Manchester-City-Sevilla-August-16-2023-UEFA-Super-Cup,2023-08-16,Super Cup,UEFA Super Cup,Home,esSevilla,D,2023-08-16_super_cup_essevilla,Manchester City,Ederson,br BRA,29-364,90,4,1,3,75.0
2023-2024,Manchester City 2023 2024,2023-08-19,Premier League,Newcastle United,2023-08-19_premier_league_newcastle_united_goalkeeper_stats.csv,0b8f50a5,https://fbref.com/en/matches/0b8f50a5/Manchester-City-Newcastle-United-August-19-2023-Premier-League,2023-08-19,Premier League,Matchweek 2,Home,Newcastle United,W,2023-08-19_premier_league_newcastle_united,Manchester City,Ederson,br BRA,30-002,90,1,0,1,100.0
2023-2024,Manchester City 2023 2024,2023-08-27,Premier League,Sheffield United,2023-08-27_premier_league_sheffield_united_goalkeeper_stats.csv,0844ff10,https://fbref.com/en/matches/0844ff10/Sheffield-United-Manchester-City-August-27-2023-Premier-League,2023-08-27,Premier League,Matchweek 3,Away,Sheffield United,W,2023-08-27_premier_league_sheffield_united,Manchester City,Ederson,br BRA,30-010,90,1,1,0,0.0
2023-2024,Manchester City 2023 2024,2023-09-02,Premier League,Fulham,2023-09-02_premier_league_fulham_goalkeeper_stats.csv,88066bdf,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,2023-09-02,Premier League,Matchweek 4,Home,Fulham,W,2023-09-02_premier_league_fulham,Manchester City,Ederson,br BRA,30-016,90,4,1,3,75.0
2023-2024,Manchester City 2023 2024,2023-09-16,Premier League,West Ham United,2023-09-16_premier_league_west_ham_united_goalkeeper_stats.csv,64c0a6e2,https://fbref.com/en/matches/64c0a6e2/West-Ham-United-Manchester-City-September-16-2023-Premier-League,2023-09-16,Premier League,Matchweek 5,Away,West Ham United,W,2023-09-16_premier_league_west_ham_united,Manchester City,Ederson,br BRA,30-030,90,3,1,2,66.7
2023-2024,Manchester City 2023 2024,2023-09-19,Champions Lg,Rsred Star,2023-09-19_champions_lg_rsred_star_goalkeeper_stats.csv,3d87750d,https://fbref.com/en/matches/3d87750d/Manchester-City-Red-Star-September-19-2023-Champions-League,2023-09-19,Champions Lg,Group stage,Home,rsRed Star,W,2023-09-19_champions_lg_rsred_star,Manchester City,Ederson,br BRA,30-033,90,2,1,1,50.0
2023-2024,Manchester City 2023 2024,2023-09-23,Premier League,Nottingham Forest,2023-09-23_premier_league_nottingham_forest_goalkeeper_stats.csv,5dc7e234,https://fbref.com/en/matches/5dc7e234/Manchester-City-Nottingham-Forest-September-23-2023-Premier-League,2023-09-23,Premier League,Matchweek 6,Home,Nottingham Forest,W,2023-09-23_premier_league_nottingham_forest,Manchester City,Ederson,br BRA,30-037,90,3,0,3,100.0
2023-2024,Manchester City 2023 2024,2023-09-27,Efl Cup,Newcastle United,2023-09-27_efl_cup_newcastle_united_goalkeeper_stats.csv,ea61505c,https://fbref.com/en/matches/ea61505c/Newcastle-United-Manchester-City-September-27-2023-EFL-Cup,2023-09-27,EFL Cup,Third round,Away,Newcastle United,L,2023-09-27_efl_cup_newcastle_united,Manchester City,Stefan Ortega,de GER,30-325,90,4,1,3,75.0
2023-2024,Manchester City 2023 2024,2023-09-30,Premier League,Wolves,2023-09-30_premier_league_wolves_goalkeeper_stats.csv,60ce29cd,https://fbref.com/en/matches/60ce29cd/Wolverhampton-Wanderers-Manchester-City-September-30-2023-Premier-League,2023-09-30,Premier League,Matchweek 7,Away,Wolves,L,2023-09-30_premier_league_wolves,Manchester City,Ederson,br BRA,30-044,90,2,2,0,0.0
