team,appearances,minutesPlayed,saves,goalsConceded,rating
FC Barcelona,1,90,6,2,8.3
Inter,1,90,5,0,8.3
Juventus,3,210,17,4,7.93
Feyenoord,2,126,8,1,7.85
Girona FC,1,90,5,2,7.8
Sporting CP,2,180,9,3,7.75
Shakhtar Donetsk,8,720,39,16,7.68
Liverpool FC,6,570,24,3,7.63
Liverpool FC,4,360,14,3,7.5
Bologna,7,630,22,8,7.49
FK Crvena zvezda,3,270,12,3,7.43
Real Madrid,12,1110,52,18,7.43
Aston Villa,12,1080,49,12,7.42
Real Madrid,2,180,8,4,7.4
Inter,14,1290,51,16,7.39
Bayer 04 Leverkusen,4,360,15,6,7.3
Girona FC,7,630,31,11,7.3
Milan,10,861,38,12,7.26
Arsenal,13,1170,32,9,7.22
Stade Brestois,9,810,30,14,7.22
Bologna,1,90,4,1,7.2
Celtic,10,900,39,17,7.17
SK Sturm Graz,6,540,24,11,7.17
FC Barcelona,8,750,28,17,7.15
Club Brugge KV,12,1080,37,19,7.13
BSC Young Boys,4,360,17,9,7.13
Sporting CP,8,720,28,12,7.13
ŠK Slovan Bratislava,8,720,38,27,7.13
Lille,10,900,32,13,7.11
Borussia Dortmund,1,90,1,0,7.1
Paris Saint-Germain,2,180,7,1,7.1
Atlético Madrid,10,930,32,14,7.1
Paris Saint-Germain,15,1380,36,14,7.1
AC Sparta Praha,8,720,41,21,7.08
AS Monaco,8,720,31,14,7.06
GNK Dinamo Zagreb,3,270,8,4,7.03
FC Bayern München,1,90,3,1,7.0
Milan,1,39,3,1,7.0
RB Leipzig,2,180,5,2,7.0
PSV Eindhoven,11,1020,38,21,6.99
Feyenoord,11,954,42,25,6.99
Borussia Dortmund,13,1170,41,19,6.98
Manchester City,2,180,1,0,6.95
Benfica,12,1080,43,19,6.95
Juventus,8,719,20,7,6.94
SK Sturm Graz,2,180,7,3,6.9
Red Bull Salzburg,4,336,18,13,6.85
Manchester City,8,720,27,20,6.85
Atalanta,9,810,14,9,6.83
FC Bayern München,4,302,9,4,6.8
GNK Dinamo Zagreb,5,450,19,15,6.72
PSV Eindhoven,1,90,3,3,6.7
RB Leipzig,6,540,20,13,6.7
FC Bayern München,10,823,10,11,6.7
Bayer 04 Leverkusen,6,540,7,6,6.65
Atalanta,1,90,2,2,6.6
FC Barcelona,5,450,3,5,6.6
FC Bayern München,1,45,1,2,6.4
AS Monaco,2,180,1,3,6.4
BSC Young Boys,4,360,14,15,6.4
VfB Stuttgart,7,630,13,13,6.39
VfB Stuttgart,1,90,2,4,6.3
FK Crvena zvezda,3,270,6,9,6.27
Red Bull Salzburg,5,384,11,14,6.2
Arsenal,1,90,2,1,6.1
FK Crvena zvezda,2,180,7,10,5.95
Stade Brestois,1,90,2,7,5.8
Manchester City,7,531,0,10,7.75
Paris Saint-Germain,17,1541,0,14,7.55
Atlético Madrid,8,693,0,7,7.49
Borussia Dortmund,12,1080,0,14,7.41
Real Madrid,2,180,0,2,7.4
Paris Saint-Germain,16,1449,0,14,7.38
Lille,2,116,0,1,7.35
AS Monaco,6,508,0,6,7.33
Paris Saint-Germain,16,1440,0,14,7.32
Manchester City,6,364,0,7,7.32
Liverpool FC,9,840,0,3,7.31
Juventus,2,96,0,1,7.3
FC Bayern München,9,701,0,8,7.28
Benfica,12,1080,0,19,7.25
Atalanta,4,266,0,1,7.23
Liverpool FC,6,443,0,5,7.22
Arsenal,9,804,0,6,7.21
Inter,9,688,0,1,7.21
Liverpool FC,7,649,0,2,7.2
FC Bayern München,11,990,0,13,7.2
Milan,7,541,0,9,7.2
PSV Eindhoven,11,858,0,14,7.19
FC Barcelona,11,958,0,13,7.19
Celtic,10,838,0,17,7.19
PSV Eindhoven,11,912,0,19,7.18
Bayer 04 Leverkusen,5,360,0,3,7.18
Stade Brestois,2,180,0,2,7.15
