Date,start_time,Competition,Round,Day,Venue,Result,goals_for,goals_against,Opponent,possession,attendance,captain,formation,opp_formation,referee,Match_Report_URL,Match_Report,notes
2023-09-20,21:00,Champions Lg,Group stage,Wed,Away,L,3,4,deBayern Munich,40,"75,000",Bruno Fernandes,4-2-3-1,4-2-3-1,Glenn Nyberg,https://fbref.com/en/matches/8c29e4f7/Bayern-Munich-Manchester-United-September-20-2023-Champions-League,Match Report,
2023-10-03,20:00(21:00),Champions Lg,Group stage,Tue,Home,L,2,3,trGalatasaray,55,"73,204",Bruno Fernandes,4-3-3,4-2-3-1,Ivan Kružliak,https://fbref.com/en/matches/1ad7d8f7/Manchester-United-Galatasaray-October-3-2023-Champions-League,Match Report,
2023-10-24,20:00(21:00),Champions Lg,Group stage,Tue,Home,W,1,0,dkFC Copenhagen,50,"73,249",Bruno Fernandes,4-2-3-1,4-3-3,Marco Guida,https://fbref.com/en/matches/23151aa4/Manchester-United-FC-Copenhagen-October-24-2023-Champions-League,Match Report,
2023-11-08,21:00,Champions Lg,Group stage,Wed,Away,L,3,4,dkFC Copenhagen,48,"36,099",Bruno Fernandes,4-2-3-1,4-3-3,Donatas Rumšas,https://fbref.com/en/matches/4a4b95b7/FC-Copenhagen-Manchester-United-November-8-2023-Champions-League,Match Report,
2023-11-29,20:45(18:45),Champions Lg,Group stage,Wed,Away,D,3,3,trGalatasaray,42,"51,733",Bruno Fernandes,4-2-3-1,4-2-3-1,José Sánchez,https://fbref.com/en/matches/fd04df87/Galatasaray-Manchester-United-November-29-2023-Champions-League,Match Report,
2023-12-12,20:00(21:00),Champions Lg,Group stage,Tue,Home,L,0,1,deBayern Munich,41,"73,073",Bruno Fernandes,4-2-3-1,4-2-3-1,Espen Eskås,https://fbref.com/en/matches/86343bd4/Manchester-United-Bayern-Munich-December-12-2023-Champions-League,Match Report,
