season,player_id,player_name,team_name,injury_type,reason,fixture_date,end_date,days_out
2022-2023,18873,R. Fraser,Newcastle,Missing Fixture,Injury,2023-03-17,,85
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2023-04-02,,273
2022-2023,2507,M. Almiron,Newcastle,Missing Fixture,Thigh Injury,2023-04-02,,5
2022-2023,18873,R. Fraser,Newcastle,Missing Fixture,Injury,2023-04-02,,85
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2023-04-05,,273
2022-2023,2507,M. Almiron,Newcastle,Missing Fixture,Thigh Injury,2023-04-05,,5
2022-2023,18873,R. Fraser,Newcastle,Missing Fixture,Injury,2023-04-05,,85
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2023-04-08,,273
2022-2023,2507,M. Almiron,Newcastle,Missing Fixture,Thigh Injury,2023-04-08,,5
2022-2023,18873,R. Fraser,Newcastle,Missing Fixture,Injury,2023-04-08,,85
2022-2023,22173,A. Saint-Maximin,Newcastle,Missing Fixture,Thigh Injury,2023-04-15,,196
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2023-04-15,,273
2022-2023,18873,R. Fraser,Newcastle,Missing Fixture,Injury,2023-04-15,,85
2022-2023,22173,A. Saint-Maximin,Newcastle,Missing Fixture,Thigh Injury,2023-04-23,,196
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2023-04-23,,273
2022-2023,18873,R. Fraser,Newcastle,Missing Fixture,Lacking Match Fitness,2023-04-23,,85
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2023-04-27,,273
2022-2023,18873,R. Fraser,Newcastle,Missing Fixture,Lacking Match Fitness,2023-04-27,,85
2022-2023,22173,A. Saint-Maximin,Newcastle,Missing Fixture,Thigh Injury,2023-04-30,,196
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2023-04-30,,273
2022-2023,18873,R. Fraser,Newcastle,Missing Fixture,Lacking Match Fitness,2023-04-30,,85
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2023-05-07,,273
2022-2023,18894,J. Lascelles,Newcastle,Missing Fixture,Calf Injury,2023-05-07,,21
2022-2023,18873,R. Fraser,Newcastle,Missing Fixture,Lacking Match Fitness,2023-05-07,,85
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2023-05-13,,273
2022-2023,18894,J. Lascelles,Newcastle,Missing Fixture,Calf Injury,2023-05-13,,21
2022-2023,18903,M. Ritchie,Newcastle,Missing Fixture,Knee Injury,2023-05-13,,239
2022-2023,18873,R. Fraser,Newcastle,Missing Fixture,Lacking Match Fitness,2023-05-13,,85
2022-2023,18901,S. Longstaff,Newcastle,Missing Fixture,Foot Injury,2023-05-13,,5
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2023-05-18,,273
2022-2023,18894,J. Lascelles,Newcastle,Missing Fixture,Calf Injury,2023-05-18,,21
2022-2023,18903,M. Ritchie,Newcastle,Missing Fixture,Knee Injury,2023-05-18,,239
2022-2023,18873,R. Fraser,Newcastle,Missing Fixture,Lacking Match Fitness,2023-05-18,,85
2022-2023,18901,S. Longstaff,Newcastle,Missing Fixture,Foot Injury,2023-05-18,,5
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2023-05-22,,273
2022-2023,18894,J. Lascelles,Newcastle,Missing Fixture,Calf Injury,2023-05-22,,21
2022-2023,1463,J. Willock,Newcastle,Missing Fixture,Muscle Injury,2023-05-22,,5
2022-2023,18903,M. Ritchie,Newcastle,Missing Fixture,Knee Injury,2023-05-22,,239
2022-2023,18873,R. Fraser,Newcastle,Missing Fixture,Lacking Match Fitness,2023-05-22,,85
2022-2023,2855,E. Krafth,Newcastle,Missing Fixture,Knee Injury,2023-05-28,,273
2022-2023,18894,J. Lascelles,Newcastle,Missing Fixture,Calf Injury,2023-05-28,,21
2022-2023,18896,J. Manquillo,Newcastle,Missing Fixture,Ankle Injury,2023-05-28,,295
2022-2023,1463,J. Willock,Newcastle,Missing Fixture,Muscle Injury,2023-05-28,,5
2022-2023,723,Joelinton,Newcastle,Missing Fixture,Injury,2023-05-28,,203
2022-2023,18903,M. Ritchie,Newcastle,Missing Fixture,Knee Injury,2023-05-28,,239
2022-2023,18911,N. Pope,Newcastle,Missing Fixture,Hand Injury,2023-05-28,,0
2022-2023,18873,R. Fraser,Newcastle,Missing Fixture,Lacking Match Fitness,2023-05-28,,85
