name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,firstName,lastName,averageX,averageY,pointsCount,team,sofascoreId,match
Christian Walton,christian-walton,C. Walton,G,28,201,M,198038,"{'nameTranslation': {'ar': 'كريستيان والتون', 'bn': 'ক্রিশ্চিয়ান ওয়ালটন', 'hi': 'क्रिश्चियन वाल्टन'}, 'shortNameTranslation': {'ar': 'ك. والتون', 'bn': 'সি. ওয়ালটন', 'hi': 'सी. वाल्टन'}}",Christian,Walton,10.184782608696,51.09347826087,46,Ipswich Town,,1748185200_ipswich_town_vs_west_ham_united
Conor Chaplin,conor-chaplin,C. Chaplin,M,36,483,M,784625,"{'nameTranslation': {'ar': 'كونور تشابلن'}, 'shortNameTranslation': {'ar': 'ك. تشابلن'}}",Conor,Chaplin,57.542553191489,33.646808510638,47,Ipswich Town,,1748185200_ipswich_town_vs_west_ham_united
Jacob Greaves,jacob-greaves,J. Greaves,D,24,543,M,990821,"{'nameTranslation': {'ar': 'جاكوب غريفز'}, 'shortNameTranslation': {'ar': 'ج. غريفز'}}",,,41.85,70.8,70,Ipswich Town,,1748185200_ipswich_town_vs_west_ham_united
Omari Hutchinson,omari-hutchinson,O. Hutchinson,M,21,3921,M,1090963,"{'nameTranslation': {'ar': 'أوماري هاتشينسون', 'bn': 'ওমারি হাচিনসন', 'hi': 'ओमारी हचिंसन'}, 'shortNameTranslation': {'ar': 'أ. هاتشينسون', 'bn': 'ও. হাচিনসন', 'hi': 'ओ. हचिंसन'}}",,,65.935211267606,14.392957746479,71,Ipswich Town,,1748185200_ipswich_town_vs_west_ham_united
Dara O'Shea,dara-oshea,D. O'Shea,D,26,697,M,856719,"{'nameTranslation': {'ar': 'دارا أوشيا', 'bn': ""দারা ও'শিয়া"", 'hi': ""दारा ओ'शीया""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'bn': ""ডি. ও'শিয়া"", 'hi': ""डी. ओ'शीया""}}",Dara,O'Shea,37.581081081081,44.862162162162,74,Ipswich Town,,1748185200_ipswich_town_vs_west_ham_united
Jens-Lys Cajuste,jens-lys-cajuste,J. Cajuste,M,12,1130,M,857671,"{'nameTranslation': {'ar': 'ينس-ليس كاجوست', 'bn': 'জেনস ক্যাজুস্টে', 'hi': 'जेन्स कैजस्टे'}, 'shortNameTranslation': {'ar': 'ي. كاجوست', 'bn': 'জে. ক্যাজুস্টে', 'hi': 'जे. कैजस्टे'}}",Jens-Lys,Cajuste,52.390909090909,62.054545454545,66,Ipswich Town,,1748185200_ipswich_town_vs_west_ham_united
Aaron Cresswell,aaron-cresswell,A. Cresswell,D,3,750,M,43443,"{'nameTranslation': {'ar': 'آرون كريسويل', 'bn': 'অ্যারন ক্রেসওয়েল', 'hi': 'आरोन क्रेसवेल'}, 'shortNameTranslation': {'ar': 'آ. كريسويل', 'bn': 'এ. ক্রেসওয়েল', 'hi': 'ए. क्रेसवेल'}}",,,36.25,93.3,2,West Ham United,,1748185200_ipswich_town_vs_west_ham_united
Lucas Paquetá,lucas-paqueta,L. Paquetá,M,20,69169,M,839981,"{'nameTranslation': {'ar': 'لوكاس باكيتا', 'bn': 'লুকাস পাকেতা', 'hi': 'लुकास पेकटा'}, 'shortNameTranslation': {'ar': 'ل. باكيتا', 'bn': 'এল. পাকেতা', 'hi': 'एल. पेकटा'}}",Lucas,Paqueta,42.570588235294,25.476470588235,17,West Ham United,Paqueta,1748185200_ipswich_town_vs_west_ham_united
Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,96101,M,905163,"{'nameTranslation': {'ar': 'محمد قدوس', 'bn': 'মোহাম্মদ কুদুস', 'hi': 'मोहम्मद कुडूस'}, 'shortNameTranslation': {'ar': 'م. قدوس', 'bn': 'এম. কুদুস', 'hi': 'एम. कुडूस'}}",Mohammed,Kudus,52.968181818182,38.040909090909,22,West Ham United,Kudus,1748185200_ipswich_town_vs_west_ham_united
Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,1840,M,138024,"{'nameTranslation': {'ar': 'فلاديمير كوفال', 'bn': 'ভ্লাদিমির কউফল', 'hi': 'व्लादिमीर कुफाल'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'bn': 'ভি. কউফল', 'hi': 'वी. कुफाल'}}",,,35.484,11.572,25,West Ham United,,1748185200_ipswich_town_vs_west_ham_united
Guido Rodríguez,guido-rodriguez,G. Rodríguez,M,2,4066,M,609752,"{'nameTranslation': {'ar': 'جويدو رودريغيز', 'bn': 'গুইডো রদ্রিগেজ', 'hi': 'गुइडो रोड्रिग्ज़'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'bn': 'জি. রদ্রিগেজ', 'hi': 'जी. रोड्रिग्ज़'}}",Guido,Rodriguez,46.228571428571,36.671428571429,14,West Ham United,guiido_rodriguez,1748185200_ipswich_town_vs_west_ham_united
Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,3301,M,829022,"{'nameTranslation': {'ar': 'كونستانتينوس مافروبانوس', 'bn': 'কনস্টানটাইনস মাভ্রোপানোস', 'hi': 'कोंस्टैंटिनोस मावरोपानोस'}, 'shortNameTranslation': {'ar': 'ك. مافروبانوس', 'bn': 'কে. মাভ্রোপানোস', 'hi': 'के. मावरोपानोस'}}",Konstantinos,Mavropanos,28.911,52.375,100,West Ham United,,1748185200_ipswich_town_vs_west_ham_united
Aaron Wan-Bissaka,aaron-wan-bissaka,A. Wan-Bissaka,D,29,18993,M,863653,"{'nameTranslation': {'ar': 'آرون وان بيساكا', 'bn': 'হারুন ওয়ান-বিসাকা', 'hi': 'एरोन वान-बिसाका'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'bn': 'এ. ওয়ান-বিসাকা', 'hi': 'ए. वान-बिसाका'}}",,,50.656756756757,23.381081081081,111,West Ham United,awbissaka,1748185200_ipswich_town_vs_west_ham_united
Niclas Füllkrug,niclas-fullkrug,N. Füllkrug,F,9,9889,M,132645,"{'nameTranslation': {'ar': 'نيكلاس فولكرغ', 'bn': 'নিকলাস ফুলক্রুগ', 'hi': 'निकोलस फुलक्रुग'}, 'shortNameTranslation': {'ar': 'ن. فولكرغ', 'bn': 'এন. ফুলক্রুগ', 'hi': 'एन. फुलक्रुग'}}",,,53.263829787234,49.089361702128,47,West Ham United,niclas.fuellkrug24,1748185200_ipswich_town_vs_west_ham_united
Jean-Clair Todibo,jean-clair-todibo,J. Todibo,D,25,2681,M,945217,"{'nameTranslation': {'ar': 'جان-كلير توديبوا', 'bn': 'জিন-ক্লেয়ার তোডিবো', 'hi': 'जीन-क्लेयर टोडिबो'}, 'shortNameTranslation': {'ar': 'ج. توديبوا', 'bn': 'জে.-সি. তোডিবো', 'hi': 'जे.सी. टोडिबो'}}",Jean-Clair,Todibo,31.89375,22.636458333333,96,West Ham United,,1748185200_ipswich_town_vs_west_ham_united
Max Kilman,max-kilman,M. Kilman,D,3,1281,M,894474,"{'nameTranslation': {'ar': 'ماكس كيلمان', 'bn': 'ম্যাক্স কিলম্যান', 'hi': 'मैक्स किलमन'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'bn': 'এম. কিলম্যান', 'hi': 'एम. किलमन'}}",Max,Kilman,34.804597701149,77.770114942529,87,West Ham United,,1748185200_ipswich_town_vs_west_ham_united
James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,20,4260,M,161717,"{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'bn': 'জেমস ওয়ার্ড-প্রোস', 'hi': 'जेम्स वार्ड-प्रोव्स'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'bn': 'জে. ওয়ার্ড-প্রোস', 'hi': 'जे. वार्ड-प्रोव्स'}}",James,Ward-Prowse,56.906153846154,25.736923076923,65,West Ham United,prowsey16,1748185200_ipswich_town_vs_west_ham_united
Edson Álvarez,edson-alvarez,E. Álvarez,M,11,11100,M,847151,"{'nameTranslation': {'ar': 'إدسون ألفاريز', 'bn': 'এডসন আলভারেজ', 'hi': 'एडसन अल्वारेज़'}, 'shortNameTranslation': {'ar': 'إ. ألفاريز', 'bn': 'ই. আলভারেজ', 'hi': 'ई. अल्वारेज़'}}",Edson,Alvarez,46.52,43.76,90,West Ham United,EdsonAlvarez19,1748185200_ipswich_town_vs_west_ham_united
Oliver Scarles,scarles-oliver,O. Scarles,D,30,634,M,1150952,"{'nameTranslation': {'ar': 'سكارلس، أوليفر', 'bn': 'স্কারলেস, অলিভার', 'hi': 'स्कार्ल्स, ओलिवर'}, 'shortNameTranslation': {'ar': 'أ. سكارلس', 'bn': 'ও. স্কারলেস', 'hi': 'ओ. स्कार्ल्स'}}",Oliver Scarles,,45.578571428571,87.607142857143,56,West Ham United,,1748185200_ipswich_town_vs_west_ham_united
Tomáš Souček,tomas-soucek,T. Souček,M,28,3526,M,799041,"{'nameTranslation': {'ar': 'توماش سوتشيك', 'bn': 'তোমাস সোউচেক', 'hi': 'टॉमस सौसेक'}, 'shortNameTranslation': {'ar': 'ت. سوتشيك', 'bn': 'টি. সোউচেক', 'hi': 'टी. सौसेक'}}",Tomas,Soucek,49.270588235294,74.180392156863,51,West Ham United,,1748185200_ipswich_town_vs_west_ham_united
Łukasz Fabiański,ukasz-fabianski,Ł. Fabiański,G,22,3728,M,15479,"{'nameTranslation': {'ar': 'لوكاش فابيانسكي', 'bn': 'লুকাস ফ্যাবিয়ানস্কি', 'hi': 'लुकाज़ फ़ेबियान्स्की'}, 'shortNameTranslation': {'ar': 'ل. فابيانسكي', 'bn': 'এল.ফ্যাবিয়ানস্কি', 'hi': 'एल. फ़ेबियान्स्की'}}",,,9.7293103448276,49.543103448276,58,West Ham United,lukasz.fabianski,1748185200_ipswich_town_vs_west_ham_united
Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,9748,M,552884,"{'nameTranslation': {'ar': 'جارود بوين', 'bn': 'জারড বোয়েন', 'hi': 'जारोड बोवेन'}, 'shortNameTranslation': {'ar': 'ج. بوين', 'bn': 'জে. বোয়েন', 'hi': 'जे. बोवेन'}}",Jarrod,Bowen,64.176712328767,31.92602739726,73,West Ham United,jarrodbowen,1748185200_ipswich_town_vs_west_ham_united
