name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,firstName,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Will Smallbone,will-smallbone,W. Smallbone,M,39,484,M,970435,"{'nameTranslation': {'ar': 'ويل سمولبون', 'bn': 'উইল স্মলবোন', 'hi': 'विल स्मॉलबोन'}, 'shortNameTranslation': {'ar': 'و. سمولبون', 'bn': 'ডব্লিউ. স্মলবোন', 'hi': 'डब्लू. स्मॉलबोन'}}",,,,40.022222222222,71.466666666667,9,Southampton,1748185200_southampton_vs_arsenal
Cameron Archer,cameron-archer,C. Archer,F,19,1001,M,993451,"{'nameTranslation': {'ar': 'كاميرون آرتشر', 'bn': 'ক্যামেরন আর্চার', 'hi': 'कैमरून आर्चर'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'bn': 'সি. আর্চার', 'hi': 'सी. आर्चर'}}",,,,45.426666666667,62.133333333333,15,Southampton,1748185200_southampton_vs_arsenal
Paul Onuachu,paul-onuachu,P. Onuachu,F,30,8501,M,295123,"{'nameTranslation': {'ar': 'بول أونواتشو', 'bn': 'পল ওনুয়াচু', 'hi': 'पॉल ओनुआचू'}, 'shortNameTranslation': {'ar': 'ب. أونواتشو', 'bn': 'পি. ওনুয়াচু', 'hi': 'पी. ओनुआचू'}}",Paul,Onuachu,,55.995454545455,55.427272727273,22,Southampton,1748185200_southampton_vs_arsenal
Joachim Kayi Sanda,sanda-joachim-kayi,J. K. Sanda,D,27,370,M,1426220,"{'nameTranslation': {'ar': 'ساندا، يواكيم كاي'}, 'shortNameTranslation': {'ar': 'ي. كاي ساندا'}}",,,,43.042857142857,29.0,7,Southampton,1748185200_southampton_vs_arsenal
Lesley Ugochukwu,lesley-ugochukwu,L. Ugochukwu,M,8,5050,M,1048916,"{'nameTranslation': {'ar': 'ليزلي أوغوتشوكوو', 'bn': 'লেসলি উগোচুকউ', 'hi': 'लेस्ली उगोचुकु'}, 'shortNameTranslation': {'ar': 'ل. أوغوتشوكوو', 'bn': 'এল. উগোচুকউ', 'hi': 'एल. उगोचुकु'}}",,,l.ugochukwu8,41.406818181818,55.890909090909,44,Southampton,1748185200_southampton_vs_arsenal
Ross Stewart,ross-stewart,R. Stewart,F,11,450,M,886117,"{'nameTranslation': {'ar': 'روس ستيوارت', 'bn': 'রস স্টুয়ার্ট', 'hi': 'रॉस स्टीवर्ट'}, 'shortNameTranslation': {'ar': 'ر. ستيوارت', 'bn': 'আর. স্টুয়ার্ট', 'hi': 'आर. स्टीवर्ट'}}",Ross,Stewart,,62.29512195122,42.858536585366,41,Southampton,1748185200_southampton_vs_arsenal
Nathan Wood,nathan-wood,N. Wood,D,15,213,M,944200,"{'nameTranslation': {'ar': 'ناثان وود'}, 'shortNameTranslation': {'ar': 'ن. وود'}}",,,,31.965517241379,42.493103448276,58,Southampton,1748185200_southampton_vs_arsenal
Charlie Taylor,charlie-taylor,C. Taylor,D,29,247,M,166381,"{'nameTranslation': {'ar': 'تشارلي تايلور', 'bn': 'চার্লি টেলর', 'hi': 'चार्ली टेलर'}, 'shortNameTranslation': {'ar': 'ت. تايلور', 'bn': 'সি. টেলর', 'hi': 'सी. टेलर'}}",Charlie,Taylor,,32.877941176471,66.780882352941,68,Southampton,1748185200_southampton_vs_arsenal
Jay Robinson,jay-robinson,J. Robinson,F,46,328,M,1440673,"{'nameTranslation': {'ar': 'جاي روبنسون'}, 'shortNameTranslation': {'ar': 'ج. روبنسون'}}",Jay Robinson,,,53.787179487179,23.74358974359,39,Southampton,1748185200_southampton_vs_arsenal
Yukinari Sugawara,yukinari-sugawara,Y. Sugawara,D,3,2901,M,905347,"{'nameTranslation': {'ar': 'يوكيناري سوغاوارا', 'bn': 'ইউকিনারী সুগাওয়ারা', 'hi': 'युकिनारी सुगावारा'}, 'shortNameTranslation': {'ar': 'ي. سوغاوارا', 'bn': 'ওয়াই. সুগাওয়ারা', 'hi': 'वाई. सुगावारा'}}",Yukinari,Sugawara,,39.2,20.773214285714,56,Southampton,1748185200_southampton_vs_arsenal
Aaron Ramsdale,aaron-ramsdale,A. Ramsdale,G,32,8906,M,839410,"{'nameTranslation': {'ar': 'آرون رامسديل', 'bn': 'অ্যারন রামসডেল', 'hi': 'आरोन रामस्डेल'}, 'shortNameTranslation': {'ar': 'آ. رامسديل', 'bn': 'এ. রামসডেল', 'hi': 'ए. रामस्डेल'}}",Aaron,Ramsdale,ARamsdale,13.201960784314,47.656862745098,51,Southampton,1748185200_southampton_vs_arsenal
Kamaldeen Sulemana,kamaldeen-sulemana,K. Sulemana,F,7,8616,M,1019442,"{'nameTranslation': {'ar': 'كمال الدين سليمانا', 'bn': 'কামালউদ্দিন সুলেমানা', 'hi': 'कमालदीन सुलेमान'}, 'shortNameTranslation': {'ar': 'ك. سليمانا', 'bn': 'কে. সুলেমানা', 'hi': 'के. सुलेमान'}}",,,kamaldeenho10,43.797916666667,73.510416666667,48,Southampton,1748185200_southampton_vs_arsenal
Mateus Fernandes,mateus-fernandes,M. Fernandes,M,18,5271,M,1142562,"{'nameTranslation': {'ar': 'ماتيوس فرنانديز', 'bn': 'মাতেউস ফার্নান্ডেজ', 'hi': 'माटेयस फर्नांडीस'}, 'shortNameTranslation': {'ar': 'م. فرنانديز', 'bn': 'এম. ফার্নান্ডেজ', 'hi': 'एम. फर्नांडीस'}}",,,,52.169565217391,46.604347826087,69,Southampton,1748185200_southampton_vs_arsenal
Welington,welington,Welington,D,34,989,M,1009920,"{'nameTranslation': {'ar': 'ويلينغتون'}, 'shortNameTranslation': {'ar': 'ويلينغتون'}}",Welington,Welington,,38.587234042553,80.902127659574,47,Southampton,1748185200_southampton_vs_arsenal
Flynn Downes,flynn-downes,F. Downes,M,4,389,M,879810,"{'nameTranslation': {'ar': 'فلين داونز', 'bn': 'ফ্লিন ডাউনস', 'hi': 'फ्लिन डाउंस'}, 'shortNameTranslation': {'ar': 'ف. داونز', 'bn': 'এফ. ডাউন্স', 'hi': 'एफ. डाउंस'}}",Flynn,Downes,,43.220547945205,36.51095890411,73,Southampton,1748185200_southampton_vs_arsenal
