name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team,match
Altay Bayındır,Altay,Bayindir,altay-bayindir,A. Bayındır,G,1,15837,M,altaybayindir,815890,"{'nameTranslation': {'ar': 'ألتاي بايندر', 'bn': 'আলতায় বেয়ান্দির', 'hi': 'अल्ताय बय्यन्दिर'}, 'shortNameTranslation': {'ar': 'أ. بايندر', 'bn': 'এ. বেয়ান্দির', 'hi': 'ए. बय्यन्दिर'}}",9.925,46.939285714286,28,Manchester United,1746969300_manchester_united_vs_west_ham_united
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,137188,M,AleGarnacho,1135873,"{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'bn': 'আলেজান্দ্রো গার্নাচো', 'hi': 'एलेजांद्रो गार्नाचो'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'bn': 'এ. গার্নাচো', 'hi': 'ए. गार्नाचो'}}",85.875,77.083333333333,24,Manchester United,1746969300_manchester_united_vs_west_ham_united
Leny Yoro,Leny Yoro,,leny-yoro,L. Yoro,D,15,21424,M,YL15,1153315,"{'nameTranslation': {'ar': 'غانيسان أ / كيرشهايمر س', 'bn': 'লেনি ইয়োরো', 'hi': 'लेनी योरो'}, 'shortNameTranslation': {'ar': 'ل. يورو', 'bn': 'এল. ইয়োরো', 'hi': 'एल. योरो'}}",35.518367346939,53.438775510204,49,Manchester United,1746969300_manchester_united_vs_west_ham_united
Amad Diallo,,,diallo-amad,A. Diallo,F,16,111589,M,AmadDiallo19,971037,"{'nameTranslation': {'ar': 'ديالو، أماد', 'bn': 'ডায়ালো, আমাদ', 'hi': 'डायलो, अमाद'}, 'shortNameTranslation': {'ar': 'أ. ديالو', 'bn': 'এ. ডায়ালো', 'hi': 'ए. अमाद'}}",64.26338028169,14.971830985915,71,Manchester United,1746969300_manchester_united_vs_west_ham_united
Mason Mount,Mason,Mount,mason-mount,M. Mount,F,7,42629,M,MMount,836694,"{'nameTranslation': {'ar': 'ماسون ماونت', 'bn': 'মেসন মাউন্ট', 'hi': 'मेसन माउंट'}, 'shortNameTranslation': {'ar': 'م. مونت', 'bn': 'এম. মাউন্ট', 'hi': 'एम. माउंट'}}",61.136842105263,64.328947368421,38,Manchester United,1746969300_manchester_united_vs_west_ham_united
Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,8746,M,victorlindelof,143334,"{'nameTranslation': {'ar': 'فيكتور ليندلوف', 'bn': 'ভিক্টর লিন্ডেলফ', 'hi': 'विक्टर लिंडलोफ'}, 'shortNameTranslation': {'ar': 'ف. ليندلوف', 'bn': 'ভি. লিন্ডেলফ', 'hi': 'वी. लिंडलोफ'}}",45.85625,77.075,32,Manchester United,1746969300_manchester_united_vs_west_ham_united
Luke Shaw,Luke,Shaw,luke-shaw,L. Shaw,D,23,19826,M,lukeshaw23,190839,"{'nameTranslation': {'ar': 'لوك شو', 'bn': 'লুক শ', 'hi': 'ल्यूक शॉ'}, 'shortNameTranslation': {'ar': 'ل. شاو', 'bn': 'এল. শ', 'hi': 'एल. शॉ'}}",38.470731707317,79.143902439024,41,Manchester United,1746969300_manchester_united_vs_west_ham_united
Harry Maguire,Harry,Maguire,harry-maguire,H. Maguire,D,5,30817,M,harrymaguire93,149380,"{'nameTranslation': {'ar': 'هاري ماغواير', 'bn': 'হ্যারি ম্যাগুইরে', 'hi': 'हैरी मैगुइर'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'bn': 'এইচ. ম্যাগুইরে', 'hi': 'एच. मैगुइर'}}",47.004444444444,50.802222222222,45,Manchester United,1746969300_manchester_united_vs_west_ham_united
Rasmus Højlund,Rasmus,Hojlund,rasmus-hojlund,R. Højlund,F,19,70050,M,RHøjlund,1086417,"{'nameTranslation': {'ar': 'راسموس هويجلوند', 'bn': 'রাসমাস হলান্ড', 'hi': 'रस्मस होजलंड'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'bn': 'রাসমাস হলান্ড', 'hi': 'रासमस होजलंड'}}",73.314634146341,49.746341463415,41,Manchester United,1746969300_manchester_united_vs_west_ham_united
Patrick Dorgu,,,dorgu-patrick,P. Dorgu,M,13,32592,M,Odogwu,1397168,"{'nameTranslation': {'ar': 'دورغو، باتريك', 'bn': 'ডরগু, প্যাট্রিক', 'hi': 'डोर्गू, पैट्रिक'}, 'shortNameTranslation': {'ar': 'ب. دورغو', 'bn': 'পি. ডরগু', 'hi': 'पी. डोर्गू'}}",69.456756756757,13.924324324324,37,Manchester United,1746969300_manchester_united_vs_west_ham_united
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,55849,M,KobbieM,1142175,"{'nameTranslation': {'ar': 'كوبي ماينو', 'bn': 'কোবি মাইনু', 'hi': 'कोबी मैनू'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'bn': 'কে. মাইনু', 'hi': 'के. मैनू'}}",56.218181818182,47.766666666667,66,Manchester United,1746969300_manchester_united_vs_west_ham_united
Noussair Mazraoui,Noussair,Mazraoui,noussair-mazraoui,N. Mazraoui,D,3,59729,M,nousmaz97,847030,"{'nameTranslation': {'ar': 'نصير مزراوي', 'bn': 'নওসাইর মাজরাউই', 'hi': 'नौसैर मज़रावी'}, 'shortNameTranslation': {'ar': 'ن. مزراوي', 'bn': 'এন. মাজরাউই', 'hi': 'एन. मज़रावी'}}",44.272043010753,23.048387096774,93,Manchester United,1746969300_manchester_united_vs_west_ham_united
Manuel Ugarte,Manuel,Ugarte,manuel-ugarte,M. Ugarte,M,25,20114,M,ugartemanu,846425,"{'nameTranslation': {'ar': 'مانويل أوغارتي', 'bn': 'ম্যানুয়েল উগার্তে', 'hi': 'मैनुअल उगार्टे'}, 'shortNameTranslation': {'ar': 'م. أوغارتي', 'bn': 'এম. উগার্তে', 'hi': 'एम. उगार्टे'}}",52.032608695652,35.165217391304,46,Manchester United,1746969300_manchester_united_vs_west_ham_united
Christian Eriksen,Christian,Eriksen,christian-eriksen,C. Eriksen,M,24,20381,M,chriseriksen8,105734,"{'nameTranslation': {'ar': 'كريستيان إريكسن', 'bn': 'ক্রিশ্চিয়ান এরিকসেন', 'hi': 'क्रिस्टियन एरिक्सन'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'bn': 'সি. এরিকসেন', 'hi': 'सी. एरिक्सन'}}",58.89,47.055,20,Manchester United,1746969300_manchester_united_vs_west_ham_united
Bruno Fernandes,Bruno,Fernandes,bruno-fernandes,B. Fernandes,M,8,293545,M,BrunoFernandes,288205,"{'nameTranslation': {'ar': 'برونو فيرنانديز', 'bn': 'ব্রুনো ফার্নান্দেস', 'hi': 'ब्रूनो फर्नांडीस'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'bn': 'বি. ফার্নান্দেস', 'hi': 'बी. फर्नांडीस'}}",59.305555555556,52.355555555556,108,Manchester United,1746969300_manchester_united_vs_west_ham_united
Harry Amass,Harry Amass,,amass-harry,H. Amass,M,2,8264,M,,1461595,"{'nameTranslation': {'ar': 'أماس، هاري', 'bn': 'অ্যামাস, হ্যারি', 'hi': 'अमास, हैरी'}, 'shortNameTranslation': {'ar': 'ه. أماس', 'bn': 'এইচ. আমাস', 'hi': 'एच. अमास'}}",51.260294117647,85.030882352941,68,Manchester United,1746969300_manchester_united_vs_west_ham_united
Edson Álvarez,Edson,Alvarez,edson-alvarez,E. Álvarez,M,11,11100,M,EdsonAlvarez19,847151,"{'nameTranslation': {'ar': 'إدسون ألفاريز', 'bn': 'এডসন আলভারেজ', 'hi': 'एडसन अल्वारेज़'}, 'shortNameTranslation': {'ar': 'إ. ألفاريز', 'bn': 'ই. আলভারেজ', 'hi': 'ई. अल्वारेज़'}}",37.324137931034,37.948275862069,29,West Ham United,1746969300_manchester_united_vs_west_ham_united
Vladimír Coufal,,,vladimir-coufal,V. Coufal,D,34,1840,M,,138024,"{'nameTranslation': {'ar': 'فلاديمير كوفال', 'bn': 'ভ্লাদিমির কউফল', 'hi': 'व्लादिमीर कुफाल'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'bn': 'ভি. কউফল', 'hi': 'वी. कुफाल'}}",46.398214285714,13.403571428571,56,West Ham United,1746969300_manchester_united_vs_west_ham_united
Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,18993,M,awbissaka,863653,"{'nameTranslation': {'ar': 'آرون وان بيساكا', 'bn': 'হারুন ওয়ান-বিসাকা', 'hi': 'एरोन वान-बिसाका'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'bn': 'এ. ওয়ান-বিসাকা', 'hi': 'ए. वान-बिसाका'}}",47.578260869565,64.872463768116,69,West Ham United,1746969300_manchester_united_vs_west_ham_united
Alphonse Aréola,,,alphonse-areola,A. Aréola,G,23,3109,M,,96531,"{'nameTranslation': {'ar': 'ألفونس أريولا', 'bn': 'আলফোনস আরেওলা', 'hi': 'अल्फोंस एरियोला'}, 'shortNameTranslation': {'ar': 'أ. أريولا', 'bn': 'এ. আরেওলা', 'hi': 'ए. एरियोला'}}",9.6,46.692727272727,55,West Ham United,1746969300_manchester_united_vs_west_ham_united
Aaron Cresswell,,,aaron-cresswell,A. Cresswell,D,3,750,M,,43443,"{'nameTranslation': {'ar': 'آرون كريسويل', 'bn': 'অ্যারন ক্রেসওয়েল', 'hi': 'आरोन क्रेसवेल'}, 'shortNameTranslation': {'ar': 'آ. كريسويل', 'bn': 'এ. ক্রেসওয়েল', 'hi': 'ए. क्रेसवेल'}}",40.751470588235,74.144117647059,68,West Ham United,1746969300_manchester_united_vs_west_ham_united
Guido Rodríguez,Guido,Rodriguez,guido-rodriguez,G. Rodríguez,M,2,4066,M,guiido_rodriguez,609752,"{'nameTranslation': {'ar': 'جويدو رودريغيز', 'bn': 'গুইডো রদ্রিগেজ', 'hi': 'गुइडो रोड्रिग्ज़'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'bn': 'জি. রদ্রিগেজ', 'hi': 'जी. रोड्रिग्ज़'}}",41.542307692308,59.401923076923,52,West Ham United,1746969300_manchester_united_vs_west_ham_united
Jean-Clair Todibo,Jean-Clair,Todibo,jean-clair-todibo,J. Todibo,D,25,2681,M,,945217,"{'nameTranslation': {'ar': 'جان-كلير توديبوا', 'bn': 'জিন-ক্লেয়ার তোডিবো', 'hi': 'जीन-क्लेयर टोडिबो'}, 'shortNameTranslation': {'ar': 'ج. توديبوا', 'bn': 'জে.-সি. তোডিবো', 'hi': 'जे.सी. टोडिबो'}}",30.548333333333,22.69,60,West Ham United,1746969300_manchester_united_vs_west_ham_united
James Ward-Prowse,James,Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,20,4260,M,prowsey16,161717,"{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'bn': 'জেমস ওয়ার্ড-প্রোস', 'hi': 'जेम्स वार्ड-प्रोव्स'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'bn': 'জে. ওয়ার্ড-প্রোস', 'hi': 'जे. वार्ड-प्रोव्स'}}",46.140659340659,45.121978021978,91,West Ham United,1746969300_manchester_united_vs_west_ham_united
Konstantinos Mavropanos,Konstantinos,Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,3301,M,,829022,"{'nameTranslation': {'ar': 'كونستانتينوس مافروبانوس', 'bn': 'কনস্টানটাইনস মাভ্রোপানোস', 'hi': 'कोंस्टैंटिनोस मावरोपानोस'}, 'shortNameTranslation': {'ar': 'ك. مافروبانوس', 'bn': 'কে. মাভ্রোপানোস', 'hi': 'के. मावरोपानोस'}}",27.816666666667,21.161111111111,18,West Ham United,1746969300_manchester_united_vs_west_ham_united
Jarrod Bowen,Jarrod,Bowen,jarrod-bowen,J. Bowen,M,20,9748,M,jarrodbowen,552884,"{'nameTranslation': {'ar': 'جارود بوين', 'bn': 'জারড বোয়েন', 'hi': 'जारोड बोवेन'}, 'shortNameTranslation': {'ar': 'ج. بوين', 'bn': 'জে. বোয়েন', 'hi': 'जे. बोवेन'}}",63.651851851852,21.755555555556,27,West Ham United,1746969300_manchester_united_vs_west_ham_united
Niclas Füllkrug,,,niclas-fullkrug,N. Füllkrug,F,9,9889,M,niclas.fuellkrug24,132645,"{'nameTranslation': {'ar': 'نيكلاس فولكرغ', 'bn': 'নিকলাস ফুলক্রুগ', 'hi': 'निकोलस फुलक्रुग'}, 'shortNameTranslation': {'ar': 'ن. فولكرغ', 'bn': 'এন. ফুলক্রুগ', 'hi': 'एन. फुलक्रुग'}}",52.930434782609,40.065217391304,23,West Ham United,1746969300_manchester_united_vs_west_ham_united
Carlos Soler,Carlos,Soler,carlos-soler,C. Soler,M,18,4345,M,Carlos10Soler,832427,"{'nameTranslation': {'ar': 'كارلوس سولير', 'bn': 'কার্লোস সোলার', 'hi': 'कार्लोस सोलर'}, 'shortNameTranslation': {'ar': 'ك. سولير', 'bn': 'সি. সোলার', 'hi': 'सी. सोलर'}}",54.388888888889,52.272222222222,18,West Ham United,1746969300_manchester_united_vs_west_ham_united
Emerson,Emerson,Emerson,emerson,Emerson,D,33,2433,M,,155997,"{'nameTranslation': {'ar': 'إيمرسون', 'bn': 'এমারসন পালমিরি', 'hi': 'एमर्सन पामिएरी'}, 'shortNameTranslation': {'ar': 'إيمرسون', 'bn': 'এমারসন', 'hi': 'एमर्सन पामिएरी'}}",47.2,94.75,2,West Ham United,1746969300_manchester_united_vs_west_ham_united
Mohammed Kudus,Mohammed,Kudus,mohammed-kudus,M. Kudus,M,20,96101,M,Kudus,905163,"{'nameTranslation': {'ar': 'محمد قدوس', 'bn': 'মোহাম্মদ কুদুস', 'hi': 'मोहम्मद कुडूस'}, 'shortNameTranslation': {'ar': 'م. قدوس', 'bn': 'এম. কুদুস', 'hi': 'एम. कुडूस'}}",55.544230769231,71.573076923077,52,West Ham United,1746969300_manchester_united_vs_west_ham_united
Tomáš Souček,Tomas,Soucek,tomas-soucek,T. Souček,M,28,3526,M,,799041,"{'nameTranslation': {'ar': 'توماش سوتشيك', 'bn': 'তোমাস সোউচেক', 'hi': 'टॉमस सौसेक'}, 'shortNameTranslation': {'ar': 'ت. سوتشيك', 'bn': 'টি. সোউচেক', 'hi': 'टी. सौसेक'}}",41.644827586207,38.753448275862,58,West Ham United,1746969300_manchester_united_vs_west_ham_united
Max Kilman,Max,Kilman,max-kilman,M. Kilman,D,3,1281,M,,894474,"{'nameTranslation': {'ar': 'ماكس كيلمان', 'bn': 'ম্যাক্স কিলম্যান', 'hi': 'मैक्स किलमन'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'bn': 'এম. কিলম্যান', 'hi': 'एम. किलमन'}}",26.868918918919,58.485135135135,74,West Ham United,1746969300_manchester_united_vs_west_ham_united
