name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,averageX,averageY,pointsCount,team,match
James Bree,James,Bree,james-bree,J. Bree,M,14,169,M,555406,"{'nameTranslation': {'ar': 'جيمس بري', 'bn': 'জেমস ব্রি', 'hi': 'जेम्स ब्री'}, 'shortNameTranslation': {'ar': 'ج. بري', 'bn': 'জে. ব্রি', 'hi': 'जे. ब्री'}}",,51.68,26.02,5,Southampton,1745676000_southampton_vs_fulham
Cameron Archer,,,cameron-archer,C. Archer,F,19,1001,M,993451,"{'nameTranslation': {'ar': 'كاميرون آرتشر', 'bn': 'ক্যামেরন আর্চার', 'hi': 'कैमरून आर्चर'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'bn': 'সি. আর্চার', 'hi': 'सी. आर्चर'}}",,59.583333333333,61.95,12,Southampton,1745676000_southampton_vs_fulham
Ross Stewart,Ross,Stewart,ross-stewart,R. Stewart,F,11,450,M,886117,"{'nameTranslation': {'ar': 'روس ستيوارت', 'bn': 'রস স্টুয়ার্ট', 'hi': 'रॉस स्टीवर्ट'}, 'shortNameTranslation': {'ar': 'ر. ستيوارت', 'bn': 'আর. স্টুয়ার্ট', 'hi': 'आर. स्टीवर्ट'}}",,60.464285714286,42.728571428571,28,Southampton,1745676000_southampton_vs_fulham
Tyler Dibling,Tyler,Dibling,tyler-dibling,T. Dibling,M,20,2993,M,1174472,"{'nameTranslation': {'ar': 'تايلر ديبلنج', 'bn': 'টাইলার ডিবলিং', 'hi': 'टायलर डिब्लिंग'}, 'shortNameTranslation': {'ar': 'ت. ديبلنج', 'bn': 'টি. ডিবলিং', 'hi': 'टी. डिब्लिंग'}}",,52.152380952381,76.928571428571,21,Southampton,1745676000_southampton_vs_fulham
Jan Bednarek,Jan,Bednarek,jan-bednarek,J. Bednarek,D,5,7569,M,286085,"{'nameTranslation': {'ar': 'يان بيدناريك', 'bn': 'জান বেদনারেক', 'hi': 'जान बेडनारेक'}, 'shortNameTranslation': {'ar': 'ي. بيدناريك', 'bn': 'জে. বেদনারেক', 'hi': 'जे. बेडनारेक'}}",janbednarek_,26.297872340426,52.63829787234,47,Southampton,1745676000_southampton_vs_fulham
Kamaldeen Sulemana,,,kamaldeen-sulemana,K. Sulemana,F,7,8616,M,1019442,"{'nameTranslation': {'ar': 'كمال الدين سليمانا', 'bn': 'কামালউদ্দিন সুলেমানা', 'hi': 'कमालदीन सुलेमान'}, 'shortNameTranslation': {'ar': 'ك. سليمانا', 'bn': 'কে. সুলেমানা', 'hi': 'के. सुलेमान'}}",kamaldeenho10,52.642857142857,75.76,35,Southampton,1745676000_southampton_vs_fulham
Jack Stephens,Jack,Stephens,jack-stephens,J. Stephens,D,5,213,M,134361,"{'nameTranslation': {'ar': 'جاك ستيفنز', 'bn': 'জ্যাক স্টিফেনস', 'hi': 'जैक स्टीफंस'}, 'shortNameTranslation': {'ar': 'ج. ستيفنز', 'bn': 'জে. স্টিফেনস', 'hi': 'जे. स्टीफंस'}}",,32.926086956522,70.232608695652,46,Southampton,1745676000_southampton_vs_fulham
Flynn Downes,Flynn,Downes,flynn-downes,F. Downes,M,4,389,M,879810,"{'nameTranslation': {'ar': 'فلين داونز', 'bn': 'ফ্লিন ডাউনস', 'hi': 'फ्लिन डाउंस'}, 'shortNameTranslation': {'ar': 'ف. داونز', 'bn': 'এফ. ডাউন্স', 'hi': 'एफ. डाउंस'}}",,41.918965517241,41.322413793103,58,Southampton,1745676000_southampton_vs_fulham
Lesley Ugochukwu,,,lesley-ugochukwu,L. Ugochukwu,M,8,5050,M,1048916,"{'nameTranslation': {'ar': 'ليزلي أوغوتشوكوو', 'bn': 'লেসলি উগোচুকউ', 'hi': 'लेस्ली उगोचुकु'}, 'shortNameTranslation': {'ar': 'ل. أوغوتشوكوو', 'bn': 'এল. উগোচুকউ', 'hi': 'एल. उगोचुकु'}}",l.ugochukwu8,45.764705882353,54.105882352941,51,Southampton,1745676000_southampton_vs_fulham
Ryan Manning,Ryan,Manning,ryan-manning,R. Manning,M,3,495,M,328701,"{'nameTranslation': {'ar': 'ريان مانينغ', 'bn': 'রায়ান ম্যানিং', 'hi': 'रयान मैनिंग'}, 'shortNameTranslation': {'ar': 'ر. مانينغ', 'bn': 'আর. ম্যানিং', 'hi': 'आर. मैनिंग'}}",,46.133333333333,81.346296296296,54,Southampton,1745676000_southampton_vs_fulham
