name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Jake Evans,Jake Evans,jake-evans,J. Evans,F,15,191,M,1899501,"{'nameTranslation': {'ar': 'إيفانز، جيك'}, 'shortNameTranslation': {'ar': 'ج. إيفانز'}}",,,60.6,10.34,5,Leicester City,1747576800_leicester_city_vs_ipswich_town
Patson Daka,,patson-daka,P. Daka,F,20,17539,M,865057,"{'nameTranslation': {'ar': 'باتسون داكا', 'bn': 'প্যাটসন ডাকা', 'hi': 'पैटसन डाका'}, 'shortNameTranslation': {'ar': 'ب. داكا', 'bn': 'পি. ডাকা', 'hi': 'पी. डाका'}}",,patsondaka,44.95,34.9,2,Leicester City,1747576800_leicester_city_vs_ipswich_town
Jeremy Monga,Jeremy Monga,jeremy-monga,J. Monga,M,28,2131,M,1861707,"{'nameTranslation': {'ar': 'جيريمي مونغا'}, 'shortNameTranslation': {'ar': 'ج. مونغا'}}",,,64.005263157895,85.668421052632,19,Leicester City,1747576800_leicester_city_vs_ipswich_town
Jamie Vardy,Jamie,jamie-vardy,J. Vardy,F,10,23189,M,173827,"{'nameTranslation': {'ar': 'جيمي فاردي', 'bn': 'জেমি ভার্ডি', 'hi': 'जेमी वर्डी'}, 'shortNameTranslation': {'ar': 'ج. فاردي', 'bn': 'জে. ভার্ডি', 'hi': 'जे. वर्डी'}}",Vardy,Vardy7,60.069565217391,59.408695652174,23,Leicester City,1747576800_leicester_city_vs_ipswich_town
Oliver Skipp,Oliver,oliver-skipp,O. Skipp,M,22,1334,M,859901,"{'nameTranslation': {'ar': 'سكيب، أوليفر', 'bn': 'স্কিপ, অলিভার', 'hi': 'स्किप, ओलिवर'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'bn': 'ও. স্কিপ', 'hi': 'ओ. स्किप'}}",Skipp,,25.0,32.7,2,Leicester City,1747576800_leicester_city_vs_ipswich_town
Ricardo Pereira,Ricardo,ricardo-pereira,R. Pereira,D,21,1055,M,221200,"{'nameTranslation': {'ar': 'ريكاردو بيريرا', 'bn': 'রিকার্ডো পেরেইরা', 'hi': 'रिकार्डो परेरा'}, 'shortNameTranslation': {'ar': 'ر. بيريرا', 'bn': 'আর. পেরেইরা', 'hi': 'आर. परेरा'}}",Pereira,,40.045714285714,28.085714285714,35,Leicester City,1747576800_leicester_city_vs_ipswich_town
Conor Coady,,conor-coady,C. Coady,D,15,637,M,98449,"{'nameTranslation': {'ar': 'كونور كودي', 'bn': 'কনর কোডিস', 'hi': 'कोनोर कोडी'}, 'shortNameTranslation': {'ar': 'ك. كودي', 'bn': 'সি. কোডি', 'hi': 'सी. कोडी'}}",,,28.251315789474,47.389473684211,76,Leicester City,1747576800_leicester_city_vs_ipswich_town
Kasey McAteer,Kasey McAteer,kasey-mcateer,K. McAteer,M,20,546,M,1065134,"{'nameTranslation': {'ar': 'كاسي مكاتير', 'bn': 'ক্যাসি ম্যাকএটার', 'hi': 'केसी मैकएटेर'}, 'shortNameTranslation': {'ar': 'ك. مكاتير', 'bn': 'কে. ম্যাকএটার', 'hi': 'के. मैकएटेर'}}",,,53.380952380952,20.766666666667,42,Leicester City,1747576800_leicester_city_vs_ipswich_town
Jakub Stolarczyk,,jakub-stolarczyk,J. Stolarczyk,G,1,1051,M,997830,"{'nameTranslation': {'ar': 'ياكوب ستولارتشيك', 'bn': 'জ্যাকুব স্টোলারকজিক', 'hi': 'जकूब स्टोलार्स्की'}, 'shortNameTranslation': {'ar': 'ي. ستولارتشيك', 'bn': 'জে. স্টোলারজিক', 'hi': 'जे. स्टोलार्स्की'}}",,,9.0918367346939,50.857142857143,49,Leicester City,1747576800_leicester_city_vs_ipswich_town
Boubakary Soumaré,Boubakary,boubakary-soumare,B. Soumaré,M,34,1079,M,887581,"{'nameTranslation': {'ar': 'بوباكاري سوماري', 'bn': 'বুবাকারি সৌমারে', 'hi': 'बौबाकरी सौमारे'}, 'shortNameTranslation': {'ar': 'ب. سوماري', 'bn': 'বি. সৌমারে', 'hi': 'बी. सौमारे'}}",Soumare,,40.785915492958,54.518309859155,71,Leicester City,1747576800_leicester_city_vs_ipswich_town
