name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,averageX,averageY,pointsCount,team,match
Dwight McNeil,Dwight,McNeil,dwight-mcneil,D. McNeil,M,7,2139,M,935543,"{'nameTranslation': {'ar': 'دوايت مكنيل', 'bn': 'ডোয়াইট ম্যাকনিল', 'hi': 'ड्वाइट मैकनील'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'bn': 'ডি. ম্যাকনিল', 'hi': 'डी. मैकनील'}}",,69.626530612245,19.85306122449,49,Everton,1747566000_everton_vs_southampton
Michael Keane,Michael,Keane,michael-keane,M. Keane,D,5,1589,M,110846,"{'nameTranslation': {'ar': 'مايكل كين', 'bn': 'মাইকেল কিন', 'hi': 'माइकल कीन'}, 'shortNameTranslation': {'ar': 'م. كين', 'bn': 'এম. কিন', 'hi': 'एम. कीन'}}",,39.16875,58.28125,16,Everton,1747566000_everton_vs_southampton
Carlos Alcaraz,,,carlos-alcaraz,C. Alcaraz,M,24,6174,M,1017392,"{'nameTranslation': {'ar': 'كارلوس ألكاراز', 'bn': 'কার্লোস আলকারাজ', 'hi': 'कार्लोस अल्काराज'}, 'shortNameTranslation': {'ar': 'ك. ألكاراز', 'bn': 'সি. আলকারাজ', 'hi': 'सी. अल्काराज'}}",_alcaraz22,50.513333333333,62.033333333333,15,Everton,1747566000_everton_vs_southampton
Jack Harrison,Jack,Harrison,jack-harrison,J. Harrison,F,17,1283,M,829570,"{'nameTranslation': {'ar': 'جاك هاريسون', 'bn': 'জ্যাক হ্যারিসন', 'hi': 'जैक हैरिसन'}, 'shortNameTranslation': {'ar': 'ج. هاريسون', 'bn': 'জে. হ্যারিসন', 'hi': 'जे. हैरिसन'}}",,59.553846153846,24.553846153846,13,Everton,1747566000_everton_vs_southampton
Séamus Coleman,,,seamus-coleman,S. Coleman,D,23,1049,M,76632,"{'nameTranslation': {'ar': 'شيموس كولمان', 'bn': 'সিমাস কোলম্যান', 'hi': 'सीमस कोलमैन'}, 'shortNameTranslation': {'ar': 'ش. كولمان', 'bn': 'এস. কোলম্যান', 'hi': 'एस. कोलमैन'}}",,61.952941176471,9.6352941176471,17,Everton,1747566000_everton_vs_southampton
Dominic Calvert-Lewin,Dominic,Calvert-Lewin,dominic-calvert-lewin,D. Calvert-Lewin,F,9,6578,M,372344,"{'nameTranslation': {'ar': 'دومينيك كالفيرت-لوين', 'bn': 'ডমিনিক কালভার্ট-লেউইন', 'hi': 'डोमिनिक कैल्वर्ट-लेविन'}, 'shortNameTranslation': {'ar': 'د. كالفيرت-لوين', 'bn': 'ডি. কালভার্ট-লেউইন', 'hi': 'डी. कैल्वर्ट-लेविन'}}",CalvertLewin14,45.854545454545,64.072727272727,11,Everton,1747566000_everton_vs_southampton
Beto,,,beto,Beto,F,9,5366,M,987489,"{'nameTranslation': {'ar': 'بيتو', 'bn': 'বেটো', 'hi': 'बेटो'}, 'shortNameTranslation': {'ar': 'بيتو', 'bn': 'বেটো', 'hi': 'बेटो'}}",,60.588888888889,54.608888888889,45,Everton,1747566000_everton_vs_southampton
Abdoulaye Doucouré,,,abdoulaye-doucoure,A. Doucouré,M,8,1263,M,96535,"{'nameTranslation': {'ar': 'عبد الله دوكوري', 'bn': 'আবদুলায়ে ডকোরে', 'hi': 'अब्दुलाये डौकोरे'}, 'shortNameTranslation': {'ar': 'ع. دوكوري', 'bn': 'এ. ডকোরে', 'hi': 'ए. डौकोरे'}}",,62.661111111111,52.846296296296,54,Everton,1747566000_everton_vs_southampton
Iliman Ndiaye,,,iliman-ndiaye,I. Ndiaye,M,10,61563,M,914309,"{'nameTranslation': {'ar': 'إليمان نداي', 'bn': 'ইলিমান এনদিয়ায়ে', 'hi': 'इलीमन नदिये'}, 'shortNameTranslation': {'ar': 'إ. نداي', 'bn': 'আই. এনদিয়ায়ে', 'hi': 'आई. नदिये'}}",ilimanndiaye10,60.272,78.658,50,Everton,1747566000_everton_vs_southampton
Jordan Pickford,Jordan,Pickford,jordan-pickford,J. Pickford,G,1,8292,M,138530,"{'nameTranslation': {'ar': 'جوردان بيكفورد', 'bn': 'জর্ডান পিকফোর্ড', 'hi': 'जॉर्डन पिकफोर्ड'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'bn': 'জে.পিকফোর্ড', 'hi': 'जे. पिकफोर्ड'}}",jpickford1,14.5,51.145283018868,53,Everton,1747566000_everton_vs_southampton
Jake O'Brien,Jake,O'Brien,jake-obrien,J. O'Brien,D,15,1648,M,998253,"{'nameTranslation': {'ar': 'جايك أوبراين', 'bn': ""জ্যাক ও'ব্রায়েন"", 'hi': ""जेक ओ'ब्रायन""}, 'shortNameTranslation': {'ar': 'ج. أوبراين', 'bn': ""জে. ও'ব্রায়েন"", 'hi': ""जे. ओ'ब्रायन""}}",,38.319696969697,34.392424242424,66,Everton,1747566000_everton_vs_southampton
Ashley Young,,,ashley-young,A. Young,D,15,1801,M,10589,"{'nameTranslation': {'ar': 'آشلي يونغ', 'bn': 'অ্যাশলে ইয়াং', 'hi': 'एश्ले यंग'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'bn': 'এ. ইয়াং', 'hi': 'एक यंग'}}",,49.892753623188,15.715942028986,69,Everton,1747566000_everton_vs_southampton
James Garner,James,Garner,james-garner,J. Garner,M,37,3710,M,927361,"{'nameTranslation': {'ar': 'جيمس غارنر', 'bn': 'জেমস গার্নার', 'hi': 'जेम्स गार्नर'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'bn': 'জে. গার্নার', 'hi': 'जे. गार्नर'}}",,52.374157303371,53.375280898876,89,Everton,1747566000_everton_vs_southampton
Jarrad Branthwaite,,,jarrad-branthwaite,J. Branthwaite,D,32,2874,M,979563,"{'nameTranslation': {'ar': 'جاراد برانثويت', 'bn': 'জারাদ ব্র্যানথওয়েট', 'hi': 'जेर्राड ब्रैंथवेट'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'bn': 'জে. ব্র্যানথওয়েট', 'hi': 'जे. ब्रैंथवेट'}}",,37.946153846154,75.588461538462,78,Everton,1747566000_everton_vs_southampton
Idrissa Gana Gueye,Idrissa Gana,Gueye,idrissa-gana-gueye,I. Gueye,M,27,22035,M,106337,"{'nameTranslation': {'ar': 'إدريسا غي', 'bn': 'ইদ্রিসা গুইয়ে', 'hi': 'इद्रिसा गुये'}, 'shortNameTranslation': {'ar': 'إ. غي', 'bn': 'আই. গুইয়ে', 'hi': 'आई. गुये'}}",iganagueye,46.711458333333,59.923958333333,96,Everton,1747566000_everton_vs_southampton
Vitaliy Mykolenko,Vitaliy,Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,4355,M,876643,"{'nameTranslation': {'ar': 'فيتالي ميكولينكو', 'bn': 'ভিটালি মাইকোলেনকো', 'hi': 'विटाली मायकोलेंको'}, 'shortNameTranslation': {'ar': 'ف. ميكولينكو', 'bn': 'ভি. মাইকোলেনকো', 'hi': 'वी. मायकोलेंको'}}",mikola_16,43.54875,86.37625,80,Everton,1747566000_everton_vs_southampton
Mateus Fernandes,,,mateus-fernandes,M. Fernandes,M,18,5271,M,1142562,"{'nameTranslation': {'ar': 'ماتيوس فرنانديز', 'bn': 'মাতেউস ফার্নান্ডেজ', 'hi': 'माटेयस फर्नांडीस'}, 'shortNameTranslation': {'ar': 'م. فرنانديز', 'bn': 'এম. ফার্নান্ডেজ', 'hi': 'एम. फर्नांडीस'}}",,50.380303030303,55.743939393939,66,Southampton,1747566000_everton_vs_southampton
Flynn Downes,Flynn,Downes,flynn-downes,F. Downes,M,4,389,M,879810,"{'nameTranslation': {'ar': 'فلين داونز', 'bn': 'ফ্লিন ডাউনস', 'hi': 'फ्लिन डाउंस'}, 'shortNameTranslation': {'ar': 'ف. داونز', 'bn': 'এফ. ডাউন্স', 'hi': 'एफ. डाउंस'}}",,42.9625,48.07,80,Southampton,1747566000_everton_vs_southampton
Joachim Kayi Sanda,,,sanda-joachim-kayi,J. K. Sanda,D,27,370,M,1426220,"{'nameTranslation': {'ar': 'ساندا، يواكيم كاي'}, 'shortNameTranslation': {'ar': 'ي. كاي ساندا'}}",,35.507692307692,29.938461538462,13,Southampton,1747566000_everton_vs_southampton
Ross Stewart,Ross,Stewart,ross-stewart,R. Stewart,F,11,450,M,886117,"{'nameTranslation': {'ar': 'روس ستيوارت', 'bn': 'রস স্টুয়ার্ট', 'hi': 'रॉस स्टीवर्ट'}, 'shortNameTranslation': {'ar': 'ر. ستيوارت', 'bn': 'আর. স্টুয়ার্ট', 'hi': 'आर. स्टीवर्ट'}}",,73.5,33.469565217391,23,Southampton,1747566000_everton_vs_southampton
Will Smallbone,,,will-smallbone,W. Smallbone,M,39,484,M,970435,"{'nameTranslation': {'ar': 'ويل سمولبون', 'bn': 'উইল স্মলবোন', 'hi': 'विल स्मॉलबोन'}, 'shortNameTranslation': {'ar': 'و. سمولبون', 'bn': 'ডব্লিউ. স্মলবোন', 'hi': 'डब्लू. स्मॉलबोन'}}",,56.222222222222,35.114814814815,27,Southampton,1747566000_everton_vs_southampton
