name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Daniel Jebbison,Daniel Jebbison,daniel-jebbison,D. Jebbison,F,9,552,M,1096136,"{'nameTranslation': {'ar': 'دانيال جيبيسون', 'bn': 'ড্যানিয়েল জেবিসন', 'hi': 'डैनियल जेबिसन'}, 'shortNameTranslation': {'ar': 'د. جيبيسون', 'bn': 'ডি. জেবিসন', 'hi': 'डी. जेबिसन'}}",,,55.45,51.325,4,Bournemouth,1746894600_bournemouth_vs_aston_villa
Marcos Senesi,Marcos,marcos-senesi,M. Senesi,D,5,7014,M,830659,"{'nameTranslation': {'ar': 'ماركوس سينيسي', 'bn': 'মার্কোস সেনেসি', 'hi': 'मार्कोस सेनेसी'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'bn': 'এম. সেনেসি', 'hi': 'एम. सेनेसी'}}",Senesi,,41.689473684211,68.242105263158,19,Bournemouth,1746894600_bournemouth_vs_aston_villa
Julián Araujo,,julian-araujo,J. Araujo,D,22,5050,M,978150,"{'nameTranslation': {'ar': 'جوليان أراوخو', 'bn': 'জুলিয়ান আরাউহো', 'hi': 'जूलियन अराउजो'}, 'shortNameTranslation': {'ar': 'ج. أراوخو', 'bn': 'জে. আরাউহো', 'hi': 'जे. अराउजो'}}",,julian_araujo,52.8,11.6,4,Bournemouth,1746894600_bournemouth_vs_aston_villa
David Brooks,David,david-brooks,D. Brooks,M,7,1333,M,855731,"{'nameTranslation': {'ar': 'دافيد بروكس', 'bn': 'ডেভিড ব্রুকস', 'hi': 'डेविड ब्रूक्स'}, 'shortNameTranslation': {'ar': 'د. بروكس', 'bn': 'ডি. ব্রুকস', 'hi': 'डी. ब्रूक्स'}}",Brooks,,58.203448275862,28.855172413793,29,Bournemouth,1746894600_bournemouth_vs_aston_villa
Justin Kluivert,Justin,justin-kluivert,J. Kluivert,M,19,7017,M,851596,"{'nameTranslation': {'ar': 'جاستن كلويفرت', 'bn': 'জাস্টিন ক্লুইভার্ট', 'hi': 'जस्टिन क्लुइवर्ट'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'bn': 'জে. ক্লুইভার্ট', 'hi': 'जे. क्लुइवर्ट'}}",Kluivert,justinkluivert,75.2,68.851612903226,31,Bournemouth,1746894600_bournemouth_vs_aston_villa
Adam Smith,,adam-smith,A. Smith,D,15,472,M,44566,"{'nameTranslation': {'ar': 'آدم سميث', 'bn': 'অ্যাডাম স্মিথ', 'hi': 'एडम स्मिथ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'bn': 'এ. স্মিথ', 'hi': 'ए. स्मिथ'}}",,,48.0,18.276744186047,43,Bournemouth,1746894600_bournemouth_vs_aston_villa
Alex Scott,Alex Scott,alex-scott,A. Scott,M,8,3576,M,1104986,"{'nameTranslation': {'ar': 'أليكس سكوت', 'bn': 'অ্যালেক্স স্কট', 'hi': 'एलेक्स स्कॉट'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'bn': 'এ. স্কট', 'hi': 'ए. स्कॉट'}}",,,56.542857142857,42.694285714286,35,Bournemouth,1746894600_bournemouth_vs_aston_villa
Kepa Arrizabalaga,Kepa,kepa-arrizabalaga,K. Arrizabalaga,G,13,27190,M,232422,"{'nameTranslation': {'ar': 'كيبا أريزابالاغا', 'bn': 'কেপা আরিজাবলাগা', 'hi': 'केपा अरिज़ाबलागा'}, 'shortNameTranslation': {'ar': 'ك. أريزابالاغا', 'bn': 'কে. আরিজাবালাগা', 'hi': 'के. अरिज़ाबलागा'}}",Arrizabalaga,KepaA,11.172916666667,46.89375,48,Bournemouth,1746894600_bournemouth_vs_aston_villa
Evanilson,,evanilson,Evanilson,F,9,7830,M,998490,"{'nameTranslation': {'ar': 'إيفانيلسون', 'bn': 'ইভানিলসন', 'hi': 'इवानिल्सन'}, 'shortNameTranslation': {'ar': 'إ. إيفانيلسون', 'bn': 'ইভানিলসন', 'hi': 'इवानिल्सन'}}",,evanilsonlima99,71.062162162162,39.2,37,Bournemouth,1746894600_bournemouth_vs_aston_villa
Miloš Kerkez,Milos,milos-kerkez,M. Kerkez,D,6,27687,M,1097425,"{'nameTranslation': {'ar': 'ميلوش كيركيز', 'bn': 'মিলোস কেরকেজ', 'hi': 'मिलोस केर्केज़'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'bn': 'এম. কেরকেজ', 'hi': 'एम. केर्केज़'}}",Kerkez,miloskerkez,59.879411764706,83.727941176471,68,Bournemouth,1746894600_bournemouth_vs_aston_villa
