name,firstName,lastName,slug,shortName,position,userCount,gender,sofascoreId,id,fieldTranslations,jerseyNumber,averageX,averageY,pointsCount,team,match
Tariq Lamptey,Tariq,Lamptey,tariq-lamptey,T. Lamptey,D,4148,M,TariqLamptey,914691,"{'nameTranslation': {'ar': 'لامبتي، تاريك', 'bn': 'ল্যাম্পটে, তারিক', 'hi': 'लैम्पटे, तारिक'}, 'shortNameTranslation': {'ar': 'ت. لامبتي', 'bn': 'টি. ল্যাম্পটে', 'hi': 'टी. लैम्पटे'}}",,49.441176470588,21.529411764706,17,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Joël Veltman,,,joel-veltman,J. Veltman,D,1164,M,,219572,"{'nameTranslation': {'ar': 'جويل فيلتمان', 'bn': 'জোয়েল ভেল্টম্যান', 'hi': 'जोएल वेल्टमैन'}, 'shortNameTranslation': {'ar': 'ج. فيلتمان', 'bn': 'জে. ভেল্টম্যান', 'hi': 'जे. वेल्टमैन'}}",34,41.6,25.828571428571,7,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Diego Gómez,Diego Gomez,,diego-gomez,D. Gómez,M,12101,M,,1065588,"{'nameTranslation': {'ar': 'دييغو غوميز', 'bn': 'দিয়েগো গোমেজ', 'hi': 'डिएगो गोमेज़'}, 'shortNameTranslation': {'ar': 'د. غوميز', 'bn': 'ডি. গোমেজ', 'hi': 'डी. गोमेज़'}}",25,69.516666666667,69.566666666667,6,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Yasin Ayari,,,yasin-ayari,Y. Ayari,M,2865,M,,1036269,"{'nameTranslation': {'ar': 'ياسين عياري', 'bn': 'ইয়াসিন আয়ারি', 'hi': 'यासीन अयारी'}, 'shortNameTranslation': {'ar': 'ي. عياري', 'bn': 'ওয়াই. আয়ারি', 'hi': 'वाई. अयारी'}}",26,51.440909090909,50.740909090909,22,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Matt O'Riley,Matt,O'Riley,matt-oriley,M. O'Riley,M,4966,M,,891829,"{'nameTranslation': {'ar': 'مات أورايلي', 'bn': ""ম্যাট ও'রিলে"", 'hi': ""मैट ओ'रिली""}, 'shortNameTranslation': {'ar': 'م. أورايلي', 'bn': ""এম. ও'রিলে"", 'hi': ""एम. ओ'रिली""}}",33,59.207894736842,49.231578947368,38,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Danny Welbeck,,,danny-welbeck,D. Welbeck,F,6619,M,,33902,"{'nameTranslation': {'ar': 'داني ويلبيك', 'bn': 'ড্যানি ওয়েলবেক', 'hi': 'डैनी वेल्बेक'}, 'shortNameTranslation': {'ar': 'د. ويلبيك', 'bn': 'ডি. ওয়েলবেক', 'hi': 'डी. वेल्बेक'}}",18,59.974285714286,58.74,35,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Yankuba Minteh,Yankuba,Minteh,yankuba-minteh,Y. Minteh,M,7891,M,minteh01,1400106,"{'nameTranslation': {'ar': 'مينتيه، يانكوبا', 'bn': 'মিন্টেহ, ইয়ানকুবা', 'hi': 'मिंतेह, यानकूबा'}, 'shortNameTranslation': {'ar': 'ي. مينتيه', 'bn': 'ওয়াই. মিন্টেহ', 'hi': 'वाई. मिंतेह'}}",11,59.4625,37.592857142857,56,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Simon Adingra,,,simon-adingra,S. Adingra,M,63627,M,simon.adingra,1110842,"{'nameTranslation': {'ar': 'سيمون أدينغرا', 'bn': 'সাইমন আদিংরা', 'hi': 'साइमन एडिंगरा'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'bn': 'এস. আদিংরা', 'hi': 'एस. एडिंगरा'}}",24,56.10487804878,75.178048780488,41,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Jack Hinshelwood,Jack Hinshelwood,,jack-hinshelwood,J. Hinshelwood,M,1804,M,,1142315,"{'nameTranslation': {'ar': 'جاك هينشلوود', 'bn': 'জ্যাক হিনশেলউড', 'hi': 'जैक हिन्शेलवुड'}, 'shortNameTranslation': {'ar': 'ج. هينشلوود', 'bn': 'জে. হিনশেলউড', 'hi': 'जे. हिन्शेलवुड'}}",13,50.281632653061,63.538775510204,49,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Pervis Estupiñán,Pervis,Estupinan,pervis-estupinan,P. Estupiñán,M,16387,M,pervisestupinan,805465,"{'nameTranslation': {'ar': 'بيرفيس إستوبينيان', 'bn': 'পারভিস এস্তুপিনান', 'hi': 'परविस एस्टुपिनान'}, 'shortNameTranslation': {'ar': 'ب. إستوبينيان', 'bn': 'পি. এস্তুপিনান', 'hi': 'पी. एस्टुपिनान'}}",2,49.624657534247,80.535616438356,73,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Mats Wieffer,Mats,Wieffer,mats-wieffer,M. Wieffer,D,2358,M,,959628,"{'nameTranslation': {'ar': 'ماتس ويفر', 'bn': 'ম্যাটস উইফার', 'hi': 'मैट्स विफ़र'}, 'shortNameTranslation': {'ar': 'م. ويفر', 'bn': 'এম. উইফার', 'hi': 'एम. विफ़र'}}",27,43.114,20.2,50,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Brajan Gruda,Brajan Gruda,,gruda-brajan,B. Gruda,M,3242,M,,1198075,"{'nameTranslation': {'ar': 'غرودا، برايان', 'bn': 'গ্রুডা, ব্রজান', 'hi': 'ग्रुडा, ब्रजन'}, 'shortNameTranslation': {'ar': 'ب. غرودا', 'bn': 'বি. গ্রুডা', 'hi': 'बी. ग्रुडा'}}",10,71.833333333333,60.233333333333,3,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Bart Verbruggen,,,bart-verbruggen,B. Verbruggen,G,4860,M,,994363,"{'nameTranslation': {'ar': 'بارت فيربروغين', 'bn': 'বার্ট ভারব্রুগেন', 'hi': 'बार्ट वर्ब्रुगेन'}, 'shortNameTranslation': {'ar': 'ب. فيربروغين', 'bn': 'বি. ভারব্রুগেন', 'hi': 'बी. वर्ब्रुगेन'}}",1,10.635384615385,49.849230769231,65,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Carlos Baleba,Carlos,Baleba,carlos-baleba,C. Baleba,M,29289,M,carlos_baleba,1199043,"{'nameTranslation': {'ar': 'باليبا، كارلوس', 'bn': 'বালেবা, কার্লোস', 'hi': 'बलेबा, कार्लोस'}, 'shortNameTranslation': {'ar': 'ك. باليبا', 'bn': 'সি. বালেবা', 'hi': 'सी. बलेबा'}}",17,46.261016949153,51.883050847458,59,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Lewis Dunk,Lewis,Dunk,lewis-dunk,L. Dunk,D,1948,M,,115365,"{'nameTranslation': {'ar': 'لويس دانك', 'bn': 'লুইস ডাঙ্ক', 'hi': 'लुईस डंक'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'bn': 'এল. ডাঙ্ক', 'hi': 'एल. डंक'}}",5,34.775342465753,71.124657534247,73,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Jan Paul van Hecke,,,jan-paul-van-hecke,J. P. van Hecke,D,3835,M,,962012,"{'nameTranslation': {'ar': 'جان بول فان هيك', 'bn': 'জান পল ভ্যান হেকে', 'hi': 'जान पॉल वैन हेक'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'bn': 'জে. পি. ভ্যান হেকে', 'hi': 'जे.पी. वैन हेक'}}",6,37.842028985507,39.214492753623,69,Brighton & Hove Albion,1746363600_brighton_hove_albion_vs_newcastle_united
Callum Wilson,Callum,Wilson,callum-wilson,C. Wilson,F,3269,M,,113956,"{'nameTranslation': {'ar': 'كالوم ويلسون', 'bn': 'ক্যালাম উইলসন', 'hi': 'कैलम विल्सन'}, 'shortNameTranslation': {'ar': 'ك. ويلسون', 'bn': 'সি. উইলসন', 'hi': 'सी. विल्सन'}}",9,58.733333333333,47.944444444444,9,Newcastle United,1746363600_brighton_hove_albion_vs_newcastle_united
Anthony Gordon,Anthony,Gordon,anthony-gordon,A. Gordon,F,25866,M,AGordon,914902,"{'nameTranslation': {'ar': 'غوردون، أنتوني', 'bn': 'গর্ডন, অ্যান্টনি', 'hi': 'गॉर्डन, एंथनी'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'bn': 'এ. গর্ডন', 'hi': 'ए. गॉर्डन'}}",10,69.058823529412,77.211764705882,17,Newcastle United,1746363600_brighton_hove_albion_vs_newcastle_united
Emil Krafth,Emil,Krafth,emil-krafth,E. Krafth,D,1050,M,,150396,"{'nameTranslation': {'ar': 'إميل كرافث', 'bn': 'এমিল ক্রাফট', 'hi': 'एमिल क्राफ्ट'}, 'shortNameTranslation': {'ar': 'إ. كرافث', 'bn': 'ই. ক্রাফট', 'hi': 'ई. क्राफ्ट'}}",17,23.25,12.0,2,Newcastle United,1746363600_brighton_hove_albion_vs_newcastle_united
Jacob Murphy,Jacob,Murphy,jacob-murphy,J. Murphy,F,3692,M,,372336,"{'nameTranslation': {'ar': 'جاكوب مورفي', 'bn': 'জ্যাকব মারফি', 'hi': 'जैकब मर्फी'}, 'shortNameTranslation': {'ar': 'ج. مورفي', 'bn': 'জে. মারফি', 'hi': 'जे. मर्फी'}}",23,56.608571428571,17.285714285714,35,Newcastle United,1746363600_brighton_hove_albion_vs_newcastle_united
Nick Pope,Nick,Pope,nick-pope,N. Pope,G,4881,M,npope29,162653,"{'nameTranslation': {'ar': 'نيك بوب', 'bn': 'নিক পোপ', 'hi': 'निक पोप'}, 'shortNameTranslation': {'ar': 'ن. بوب', 'bn': 'এন. পোপ', 'hi': 'एन. पोप'}}",1,14.652631578947,51.121052631579,38,Newcastle United,1746363600_brighton_hove_albion_vs_newcastle_united
Alexander Isak,Alexander,Isak,alexander-isak,A. Isak,F,106438,M,AlexIsak,823941,"{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'bn': 'আলেকজান্ডার ইসাক', 'hi': 'अलेक्जेंडर इसाक'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'bn': 'এ. ইসাক', 'hi': 'ए. इसाक'}}",9,65.434285714286,51.891428571429,35,Newcastle United,1746363600_brighton_hove_albion_vs_newcastle_united
Harvey Barnes,Harvey,Barnes,harvey-barnes,H. Barnes,F,6360,M,,855647,"{'nameTranslation': {'ar': 'هارفي بارنز', 'bn': 'হার্ভে বার্নস', 'hi': 'हार्वे बार्न्स'}, 'shortNameTranslation': {'ar': 'ه. بارنز', 'bn': 'এইচ. বার্নস', 'hi': 'एच. बार्न्स'}}",11,69.382608695652,58.004347826087,46,Newcastle United,1746363600_brighton_hove_albion_vs_newcastle_united
Joe Willock,Joe,Willock,joe-willock,J. Willock,M,2842,M,,888550,"{'nameTranslation': {'ar': 'جو ويلوك', 'bn': 'জো উইলক', 'hi': 'जो विलॉक'}, 'shortNameTranslation': {'ar': 'ج. ويلوك', 'bn': 'জে. উইলক', 'hi': 'जे. विलॉक'}}",28,59.95,67.668,50,Newcastle United,1746363600_brighton_hove_albion_vs_newcastle_united
Sven Botman,Sven,Botman,sven-botman,S. Botman,D,3553,M,,910046,"{'nameTranslation': {'ar': 'سفين بوتمان', 'bn': 'সোভেন বটম্যান', 'hi': 'स्वेन बोटमैन'}, 'shortNameTranslation': {'ar': 'س. بوتمان', 'bn': 'এস. বটম্যান', 'hi': 'एस. बोटमैन'}}",4,19.966666666667,41.133333333333,3,Newcastle United,1746363600_brighton_hove_albion_vs_newcastle_united
