name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Oliver Scarles,Oliver Scarles,scarles-oliver,O. Scarles,D,30,634,M,1150952,"{'nameTranslation': {'ar': 'سكارلس، أوليفر', 'bn': 'স্কারলেস, অলিভার', 'hi': 'स्कार्ल्स, ओलिवर'}, 'shortNameTranslation': {'ar': 'أ. سكارلس', 'bn': 'ও. স্কারলেস', 'hi': 'ओ. स्कार्ल्स'}}",,,24.15,81.925,4,West Ham United,1745071200_west_ham_united_vs_southampton
Evan Ferguson,,evan-ferguson,E. Ferguson,F,11,8323,M,999231,"{'nameTranslation': {'ar': 'إيفان فيرغسون', 'bn': 'ইভান ফার্গুসন', 'hi': 'इवान फर्ग्यूसन'}, 'shortNameTranslation': {'ar': 'إ. فيرغسون', 'bn': 'ই. ফার্গুসন', 'hi': 'ई. फर्ग्यूसन'}}",,EvanFerguson9,60.433333333333,49.2,3,West Ham United,1745071200_west_ham_united_vs_southampton
Tomáš Souček,Tomas,tomas-soucek,T. Souček,M,28,3526,M,799041,"{'nameTranslation': {'ar': 'توماش سوتشيك', 'bn': 'তোমাস সোউচেক', 'hi': 'टॉमस सौसेक'}, 'shortNameTranslation': {'ar': 'ت. سوتشيك', 'bn': 'টি. সোউচেক', 'hi': 'टी. सौसेक'}}",Soucek,,36.283333333333,44.966666666667,6,West Ham United,1745071200_west_ham_united_vs_southampton
Konstantinos Mavropanos,Konstantinos,konstantinos-mavropanos,K. Mavropanos,D,15,3301,M,829022,"{'nameTranslation': {'ar': 'كونستانتينوس مافروبانوس', 'bn': 'কনস্টানটাইনস মাভ্রোপানোস', 'hi': 'कोंस्टैंटिनोस मावरोपानोस'}, 'shortNameTranslation': {'ar': 'ك. مافروبانوس', 'bn': 'কে. মাভ্রোপানোস', 'hi': 'के. मावरोपानोस'}}",Mavropanos,,10.3,46.45,2,West Ham United,1745071200_west_ham_united_vs_southampton
Lucas Paquetá,Lucas,lucas-paqueta,L. Paquetá,M,20,69169,M,839981,"{'nameTranslation': {'ar': 'لوكاس باكيتا', 'bn': 'লুকাস পাকেতা', 'hi': 'लुकास पेकटा'}, 'shortNameTranslation': {'ar': 'ل. باكيتا', 'bn': 'এল. পাকেতা', 'hi': 'एल. पेकटा'}}",Paqueta,Paqueta,46.556730769231,56.928846153846,104,West Ham United,1745071200_west_ham_united_vs_southampton
Jarrod Bowen,Jarrod,jarrod-bowen,J. Bowen,M,20,9748,M,552884,"{'nameTranslation': {'ar': 'جارود بوين', 'bn': 'জারড বোয়েন', 'hi': 'जारोड बोवेन'}, 'shortNameTranslation': {'ar': 'ج. بوين', 'bn': 'জে. বোয়েন', 'hi': 'जे. बोवेन'}}",Bowen,jarrodbowen,63.295238095238,26.092857142857,42,West Ham United,1745071200_west_ham_united_vs_southampton
Alphonse Aréola,,alphonse-areola,A. Aréola,G,23,3109,M,96531,"{'nameTranslation': {'ar': 'ألفونس أريولا', 'bn': 'আলফোনস আরেওলা', 'hi': 'अल्फोंस एरियोला'}, 'shortNameTranslation': {'ar': 'أ. أريولا', 'bn': 'এ. আরেওলা', 'hi': 'ए. एरियोला'}}",,,12.958536585366,47.924390243902,41,West Ham United,1745071200_west_ham_united_vs_southampton
Niclas Füllkrug,,niclas-fullkrug,N. Füllkrug,F,9,9889,M,132645,"{'nameTranslation': {'ar': 'نيكلاس فولكرغ', 'bn': 'নিকলাস ফুলক্রুগ', 'hi': 'निकोलस फुलक्रुग'}, 'shortNameTranslation': {'ar': 'ن. فولكرغ', 'bn': 'এন. ফুলক্রুগ', 'hi': 'एन. फुलक्रुग'}}",,niclas.fuellkrug24,62.193103448276,59.951724137931,29,West Ham United,1745071200_west_ham_united_vs_southampton
Jean-Clair Todibo,Jean-Clair,jean-clair-todibo,J. Todibo,D,25,2681,M,945217,"{'nameTranslation': {'ar': 'جان-كلير توديبوا', 'bn': 'জিন-ক্লেয়ার তোডিবো', 'hi': 'जीन-क्लेयर टोडिबो'}, 'shortNameTranslation': {'ar': 'ج. توديبوا', 'bn': 'জে.-সি. তোডিবো', 'hi': 'जे.सी. टोडिबो'}}",Todibo,,30.015853658537,30.378048780488,82,West Ham United,1745071200_west_ham_united_vs_southampton
Mohammed Kudus,Mohammed,mohammed-kudus,M. Kudus,M,20,96101,M,905163,"{'nameTranslation': {'ar': 'محمد قدوس', 'bn': 'মোহাম্মদ কুদুস', 'hi': 'मोहम्मद कुडूस'}, 'shortNameTranslation': {'ar': 'م. قدوس', 'bn': 'এম. কুদুস', 'hi': 'एम. कुडूस'}}",Kudus,Kudus,67.806,70.792,50,West Ham United,1745071200_west_ham_united_vs_southampton
James Ward-Prowse,James,james-ward-prowse,J. Ward-Prowse,M,20,4260,M,161717,"{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'bn': 'জেমস ওয়ার্ড-প্রোস', 'hi': 'जेम्स वार्ड-प्रोव्स'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'bn': 'জে. ওয়ার্ড-প্রোস', 'hi': 'जे. वार्ड-प्रोव्स'}}",Ward-Prowse,prowsey16,46.232142857143,50.069047619048,84,West Ham United,1745071200_west_ham_united_vs_southampton
Carlos Soler,Carlos,carlos-soler,C. Soler,M,18,4345,M,832427,"{'nameTranslation': {'ar': 'كارلوس سولير', 'bn': 'কার্লোস সোলার', 'hi': 'कार्लोस सोलर'}, 'shortNameTranslation': {'ar': 'ك. سولير', 'bn': 'সি. সোলার', 'hi': 'सी. सोलर'}}",Soler,Carlos10Soler,52.532352941176,36.027941176471,68,West Ham United,1745071200_west_ham_united_vs_southampton
Emerson,Emerson,emerson,Emerson,D,33,2433,M,155997,"{'nameTranslation': {'ar': 'إيمرسون', 'bn': 'এমারসন পালমিরি', 'hi': 'एमर्सन पामिएरी'}, 'shortNameTranslation': {'ar': 'إيمرسون', 'bn': 'এমারসন', 'hi': 'एमर्सन पामिएरी'}}",Emerson,,51.792857142857,88.008928571429,56,West Ham United,1745071200_west_ham_united_vs_southampton
Max Kilman,Max,max-kilman,M. Kilman,D,3,1281,M,894474,"{'nameTranslation': {'ar': 'ماكس كيلمان', 'bn': 'ম্যাক্স কিলম্যান', 'hi': 'मैक्स किलमन'}, 'shortNameTranslation': {'ar': 'م. كيلمان', 'bn': 'এম. কিলম্যান', 'hi': 'एम. किलमन'}}",Kilman,,27.696470588235,65.495294117647,85,West Ham United,1745071200_west_ham_united_vs_southampton
Vladimír Coufal,,vladimir-coufal,V. Coufal,D,34,1840,M,138024,"{'nameTranslation': {'ar': 'فلاديمير كوفال', 'bn': 'ভ্লাদিমির কউফল', 'hi': 'व्लादिमीर कुफाल'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'bn': 'ভি. কউফল', 'hi': 'वी. कुफाल'}}",,,39.60119047619,14.65,84,West Ham United,1745071200_west_ham_united_vs_southampton
Luís Guilherme,,luis-guilherme,L. Guilherme,M,31,3148,,1016893,"{'nameTranslation': {'ar': 'لويس غيليرمي'}, 'shortNameTranslation': {'ar': 'ل. غيليرمي'}}",,,42.708333333333,75.641666666667,12,West Ham United,1745071200_west_ham_united_vs_southampton
Ross Stewart,Ross,ross-stewart,R. Stewart,F,11,450,M,886117,"{'nameTranslation': {'ar': 'روس ستيوارت', 'bn': 'রস স্টুয়ার্ট', 'hi': 'रॉस स्टीवर्ट'}, 'shortNameTranslation': {'ar': 'ر. ستيوارت', 'bn': 'আর. স্টুয়ার্ট', 'hi': 'आर. स्टीवर्ट'}}",Stewart,,35.2,80.466666666667,3,Southampton,1745071200_west_ham_united_vs_southampton
Cameron Archer,,cameron-archer,C. Archer,F,19,1001,M,993451,"{'nameTranslation': {'ar': 'كاميرون آرتشر', 'bn': 'ক্যামেরন আর্চার', 'hi': 'कैमरून आर्चर'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'bn': 'সি. আর্চার', 'hi': 'सी. आर्चर'}}",,,64.98,56.31,10,Southampton,1745071200_west_ham_united_vs_southampton
