name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,averageX,averageY,pointsCount,team,match
Carlos Vinícius,Carlos,Vinicius,carlos-vinicius,C. Vinícius,F,95,8919,M,891920,"{'nameTranslation': {'ar': 'كارلوس فينيسيوس', 'bn': 'কার্লোস ভিনিসিয়াস', 'hi': 'कार्लोस विनीसियस'}, 'shortNameTranslation': {'ar': 'ك. فينيسيوس', 'bn': 'সি. ভিনিসিয়াস', 'hi': 'सी. विनीसियस'}}",,74.525,73.4,4,Fulham,1745154000_fulham_vs_chelsea
Adama Traoré,,,adama-traore,A. Traoré,F,17,13109,M,286165,"{'nameTranslation': {'ar': 'أداما تراوري', 'bn': 'আদামা ট্রাওরে', 'hi': 'एडाम ट्राओरे'}, 'shortNameTranslation': {'ar': 'أ. تراوري', 'bn': 'এ. ট্রাওরে', 'hi': 'ए. ट्राओरे'}}",adamatrd,63.2,71.116666666667,6,Fulham,1745154000_fulham_vs_chelsea
Tom Cairney,,,tom-cairney,T. Cairney,M,10,825,M,82566,"{'nameTranslation': {'ar': 'توم كايرني', 'bn': 'টম কেয়ারনে', 'hi': 'टॉम केर्नी'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'bn': 'টি. কেয়ারনে', 'hi': 'टी. केर्नी'}}",,42.92,70.05,10,Fulham,1745154000_fulham_vs_chelsea
Ryan Sessegnon,Ryan,Sessegnon,ryan-sessegnon,R. Sessegnon,D,30,1921,M,836698,"{'nameTranslation': {'ar': 'ريان سيسينيون', 'bn': 'রায়ান সেসেগনন', 'hi': 'रयान सेसेग्नन'}, 'shortNameTranslation': {'ar': 'ر. سيسينيون', 'bn': 'আর. সেসেগনন', 'hi': 'आर. सेसेग्नन'}}",,50.916666666667,30.05,42,Fulham,1745154000_fulham_vs_chelsea
Harry Wilson,Harry,Wilson,harry-wilson,H. Wilson,M,8,5583,M,355528,"{'nameTranslation': {'ar': 'هاري ويلسون', 'bn': 'হ্যারি উইলসন', 'hi': 'हैरी विल्सन'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'bn': 'এইচ. উইলসন', 'hi': 'एच. विल्सन'}}",,46.98,24.24,10,Fulham,1745154000_fulham_vs_chelsea
Raúl Jiménez,,,raul-jimenez,R. Jiménez,F,7,19495,M,192442,"{'nameTranslation': {'ar': 'راؤول خيمينيز', 'bn': 'রাউল জিমেনেজ', 'hi': 'राउल जिमेनेज़'}, 'shortNameTranslation': {'ar': 'ر. خيمينيز', 'bn': 'আর. জিমেনেজ', 'hi': 'आर. जिमेनेज़'}}",RJimenez9,52.191304347826,48.630434782609,46,Fulham,1745154000_fulham_vs_chelsea
Alex Iwobi,Alex,Iwobi,alex-iwobi,A. Iwobi,M,17,8555,M,352770,"{'nameTranslation': {'ar': 'أليكس إيووبي', 'bn': 'অ্যালেক্স ইওবি', 'hi': 'एलेक्स इवोबी'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'bn': 'এ. ইওবি', 'hi': 'ए. इवोबी'}}",alexanderiwobi,52.543396226415,77.57358490566,53,Fulham,1745154000_fulham_vs_chelsea
Timothy Castagne,Timothy,Castagne,timothy-castagne,T. Castagne,D,21,2381,M,329417,"{'nameTranslation': {'ar': 'تيموثي كاستاني', 'bn': 'টিমোথি কাস্টেন', 'hi': 'टिमोथी कास्टेग्ने'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'bn': 'টি. কাস্টেন', 'hi': 'टी. कास्टेग्ने'}}",,44.7875,14.1625,8,Fulham,1745154000_fulham_vs_chelsea
Kenny Tete,Kenny,Tete,kenny-tete,K. Tete,D,2,1179,M,190877,"{'nameTranslation': {'ar': 'كيني تيتي', 'bn': 'কেনি টেটে', 'hi': 'केनी टेटे'}, 'shortNameTranslation': {'ar': 'ك. تيتي', 'bn': 'কে. টেটে', 'hi': 'के. टेटे'}}",,35.287755102041,19.877551020408,49,Fulham,1745154000_fulham_vs_chelsea
Saša Lukić,,,sasa-lukic,S. Lukić,M,20,2159,M,371222,"{'nameTranslation': {'ar': 'ساشا لوكيتش', 'bn': 'সাসা লুকিচ', 'hi': 'साशा लुकीच'}, 'shortNameTranslation': {'ar': 'س. لوكيتش', 'bn': 'এস. লুকিচ', 'hi': 'एस. लुकीच'}}",,48.552777777778,67.027777777778,36,Fulham,1745154000_fulham_vs_chelsea
Andreas Pereira,Andreas,Pereira,andreas-pereira,A. Pereira,M,8,15400,M,285949,"{'nameTranslation': {'ar': 'أندرياس بيريرا', 'bn': 'আন্দ্রেয়াস পেরেইরা', 'hi': 'एंड्रियास परेरा'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'bn': 'আন্দ্রেয়াস পেরেইরা', 'hi': 'एंड्रियास परेरा'}}",andreaspereira,67.857777777778,50.006666666667,45,Fulham,1745154000_fulham_vs_chelsea
Sander Berge,Sander,Berge,sander-berge,S. Berge,M,16,2195,M,793167,"{'nameTranslation': {'ar': 'ساندر بيرج', 'bn': 'স্যান্ডার বার্জে', 'hi': 'सैंडर बर्ज'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'bn': 'এস. বার্জে', 'hi': 'एस. बर्ज'}}",,39.62,45.568,50,Fulham,1745154000_fulham_vs_chelsea
Joachim Andersen,Joachim,Andersen,joachim-andersen,J. Andersen,D,5,2506,M,362682,"{'nameTranslation': {'ar': 'يواكيم أندرسن', 'bn': 'জোয়াকিম অ্যান্ডারসেন', 'hi': 'जोआचिम एंडरसन'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'bn': 'জে. অ্যান্ডারসেন', 'hi': 'जे. एंडरसन'}}",,29.422222222222,29.383333333333,54,Fulham,1745154000_fulham_vs_chelsea
Bernd Leno,Bernd,Leno,bernd-leno,B. Leno,G,1,2708,M,103335,"{'nameTranslation': {'ar': 'بيرند لينو', 'bn': 'বার্ন্ড লেনো', 'hi': 'बर्न्ड लेनो'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'bn': 'বি. লেনো', 'hi': 'बी. लेनो'}}",,7.4820512820513,51.076923076923,78,Fulham,1745154000_fulham_vs_chelsea
Antonee Robinson,Antonee,Robinson,antonee-robinson,A. Robinson,D,33,2979,M,803174,"{'nameTranslation': {'ar': 'أنتوني روبنسون', 'bn': 'অ্যান্টনি রবিনসন', 'hi': 'एंटोनी रॉबिन्सन'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'bn': 'এ. রবিনসন', 'hi': 'ए. रॉबिन्सन'}}",,44.079310344828,82.610344827586,87,Fulham,1745154000_fulham_vs_chelsea
Calvin Bassey,Calvin,Bassey,calvin-bassey,C. Bassey,D,3,8670,M,861972,"{'nameTranslation': {'ar': 'كالفين باسي', 'bn': 'ক্যালভিন বাসসি', 'hi': 'केल्विन बैसी'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'bn': 'সি. বাসসি', 'hi': 'सी. बैसी'}}",,27.915,71.52875,80,Fulham,1745154000_fulham_vs_chelsea
Cole Palmer,,,cole-palmer,C. Palmer,M,10,372457,M,982780,"{'nameTranslation': {'ar': 'كول بالمر', 'bn': 'কোল পামার', 'hi': 'कोल पाल्मर'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'bn': 'সি. পামার', 'hi': 'सी. पाल्मर'}}",ColdPalmer,57.377777777778,43.214285714286,63,Chelsea,1745154000_fulham_vs_chelsea
Marc Cucurella,Marc,Cucurella,marc-cucurella,M. Cucurella,D,3,39705,M,794939,"{'nameTranslation': {'ar': 'مارك كوكوريلا', 'bn': 'মার্ক কুকুরেলা', 'hi': 'मार्क कोकोरेला'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'bn': 'এম. কুকুরেলা', 'hi': 'एम. कोकोरेला'}}",cucurella3,47.26875,80.858333333333,96,Chelsea,1745154000_fulham_vs_chelsea
Trevoh Chalobah,Trevoh,Chalobah,trevoh-chalobah,T. Chalobah,D,23,15153,M,826134,"{'nameTranslation': {'ar': 'تريفوه تشالوبا', 'bn': 'ত্রেভহ চালোবাহ', 'hi': 'ट्रेवोह चालोबा'}, 'shortNameTranslation': {'ar': 'ت. تشالوبا', 'bn': 'টি. চালোবাহ', 'hi': 'टी. चालोबा'}}",yungchalobah,38.505434782609,30.063043478261,92,Chelsea,1745154000_fulham_vs_chelsea
Noni Madueke,,,noni-madueke,N. Madueke,M,20,42101,M,966547,"{'nameTranslation': {'ar': 'نوني مادويكي', 'bn': 'ননি মাদুকে', 'hi': 'नोनी मदुके'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'bn': 'এন. মাদুকে', 'hi': 'एन. मदुके'}}",nonzinoo10,61.778260869565,16.982608695652,23,Chelsea,1745154000_fulham_vs_chelsea
Nicolas Jackson,Nicolas Jackson,,nicolas-jackson,N. Jackson,F,11,97857,M,1085381,"{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'bn': 'নিকোলাস জ্যাকসন', 'hi': 'निकोलस जैक्सन'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'bn': 'এন. জ্যাকসন', 'hi': 'एन. जैक्सन'}}",NJackson11,71.631034482759,60.272413793103,29,Chelsea,1745154000_fulham_vs_chelsea
Pedro Neto,Pedro,Neto,pedro-neto,P. Neto,M,7,42559,M,879349,"{'nameTranslation': {'ar': 'بيدرو نيتو', 'bn': 'পেড্রো নেটো', 'hi': 'पेड्रो नेटो'}, 'shortNameTranslation': {'ar': 'ب. نيتو', 'bn': 'পি. নেটো', 'hi': 'पी. नेटो'}}",pedroneto_30,73.436206896552,47.71724137931,58,Chelsea,1745154000_fulham_vs_chelsea
Tosin Adarabioyo,Tosin,Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,10910,M,352668,"{'nameTranslation': {'ar': 'توسين أدارابايو', 'bn': 'তোসিন আদারাবিয়োয়ো', 'hi': 'टोसिन अदाराबियोयो'}, 'shortNameTranslation': {'ar': 'ت. أدارابايو', 'bn': 'টি. আদারাবিয়োয়ো', 'hi': 'टी. अदाराबियोयो'}}",tosinadarabioyo,24.316666666667,32.7,6,Chelsea,1745154000_fulham_vs_chelsea
Jadon Sancho,Jadon,Sancho,jadon-sancho,J. Sancho,M,19,66764,M,851100,"{'nameTranslation': {'ar': 'جادون سانشو', 'bn': 'সানচো, জাডন', 'hi': 'सैन्चो, जाडॉन'}, 'shortNameTranslation': {'ar': 'ج. سانشو', 'bn': 'জে. সানচো', 'hi': 'जे. जाडॉन'}}",JSancho,72.397727272727,82.681818181818,44,Chelsea,1745154000_fulham_vs_chelsea
Levi Colwill,,,levi-colwill,L. Colwill,D,6,20103,M,996911,"{'nameTranslation': {'ar': 'ليفي كولويل', 'bn': 'লেভি কলউইল', 'hi': 'लेवी कोलविल'}, 'shortNameTranslation': {'ar': 'ل. كولويل', 'bn': 'এল. কলউইল', 'hi': 'एल. कोलविल'}}",LColwill,36.397142857143,61.581904761905,105,Chelsea,1745154000_fulham_vs_chelsea
Robert Sánchez,,,robert-sanchez,R. Sánchez,G,1,19251,M,920546,"{'nameTranslation': {'ar': 'روبرت سانشيز', 'bn': 'রবার্ট সানচেজ', 'hi': 'रॉबर्ट सांचेज़'}, 'shortNameTranslation': {'ar': 'ر. سانشيز', 'bn': 'আর. সানচেজ', 'hi': 'आर. सांचेज़'}}",RS1,12.727450980392,49.162745098039,51,Chelsea,1745154000_fulham_vs_chelsea
Reece James,Reece,James,reece-james,R. James,D,24,52423,M,885908,"{'nameTranslation': {'ar': 'ريس جيمس', 'bn': 'রিস জেমস', 'hi': 'रीस जेम्स'}, 'shortNameTranslation': {'ar': 'ر. جيمس', 'bn': 'আর. জেমস', 'hi': 'आर. जेम्स'}}",ReeceJ,50.281132075472,27.132075471698,53,Chelsea,1745154000_fulham_vs_chelsea
Tyrique George,Tyrique George,,tyrique-george,T. George,F,19,12356,M,1403061,"{'nameTranslation': {'ar': 'تايريك جورج', 'bn': 'টাইরিক জর্জ', 'hi': 'टायरिक जॉर्ज'}, 'shortNameTranslation': {'ar': 'ت. جورج', 'bn': 'টি. জর্জ', 'hi': 'टी. जॉर्ज'}}",,58.05,64.9,4,Chelsea,1745154000_fulham_vs_chelsea
Malo Gusto,,,gusto-malo,M. Gusto,D,27,20675,M,996958,"{'nameTranslation': {'ar': 'مالو غوستو', 'bn': 'গুস্টো, মালো', 'hi': 'गुस्टो, मालो'}, 'shortNameTranslation': {'ar': 'م. غوستو', 'bn': 'এম. গুস্টো', 'hi': 'एम. गुस्टो'}}",malogst,51.522641509434,31.732075471698,53,Chelsea,1745154000_fulham_vs_chelsea
Enzo Fernández,,,enzo-fernandez,E. Fernández,M,8,127045,M,974505,"{'nameTranslation': {'ar': 'إنزو فرنانديز', 'bn': 'এনজো ফার্নান্ডেজ', 'hi': 'एन्ज़ो फर्नांडीज़'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'bn': 'ই. ফার্নান্ডেজ', 'hi': 'ई. फर्नांडीज़'}}",Enzo8,58.313114754098,43.65737704918,61,Chelsea,1745154000_fulham_vs_chelsea
Moisés Caicedo,Moises,Caicedo,moises-caicedo,M. Caicedo,M,25,82941,M,987650,"{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'bn': 'মোজেস কাইসেডো', 'hi': 'मोइसेस कैसेडो'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'bn': 'এম. কাইসেডো', 'hi': 'एम. कैसेडो'}}",MoisesCaicedo55,46.348913043478,52.05652173913,92,Chelsea,1745154000_fulham_vs_chelsea
