name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,firstName,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Ross Barkley,ross-barkley,R. Barkley,M,6,2620,M,98435,"{'nameTranslation': {'ar': 'روس باركلي', 'bn': 'রস বার্কলে', 'hi': 'रॉस बार्कले'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'bn': 'আর. বার্কলে', 'hi': 'आर. बार्कले'}}",,,,57.87,36.39,10,Aston Villa,1745080200_aston_villa_vs_newcastle_united
Marcus Rashford,marcus-rashford,M. Rashford,F,14,381894,M,814590,"{'nameTranslation': {'ar': 'ماركوس راشفورد', 'bn': 'মার্কাস রাশফোর্ড', 'hi': 'मार्कस रैशफोर्ड'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'bn': 'এম. রাশফোর্ড', 'hi': 'एम. रैशफोर्ड'}}",Marcus,Rashford,Rashford,63.233333333333,47.9,9,Aston Villa,1745080200_aston_villa_vs_newcastle_united
Jacob Ramsey,jacob-ramsey,J. Ramsey,M,41,3498,M,975937,"{'nameTranslation': {'ar': 'جاكوب رامزي', 'bn': 'জ্যাকব রামসে', 'hi': 'जैकब रैमसे'}, 'shortNameTranslation': {'ar': 'ج. رامزي', 'bn': 'জে. রামসে', 'hi': 'जे. रैमसे'}}",Jacob,Ramsey,,57.905,72.355,20,Aston Villa,1745080200_aston_villa_vs_newcastle_united
Donyell Malen,donyell-malen,D. Malen,F,14,16980,M,803039,"{'nameTranslation': {'ar': 'دونيل مالين', 'bn': 'ডনিয়েল ম্যালেন', 'hi': 'डोनियेल मालेन'}, 'shortNameTranslation': {'ar': 'د. مالين', 'bn': 'ডি. ম্যালেন', 'hi': 'डी. मालेन'}}",Donyell,Malen,donyellmalen,77.04,67.96,5,Aston Villa,1745080200_aston_villa_vs_newcastle_united
Amadou Onana,amadou-onana,A. Onana,M,24,8056,M,923973,"{'nameTranslation': {'ar': 'أمادو أونانا', 'bn': 'আমাদৌ ওনানা', 'hi': 'अमादौ ओनाना'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'bn': 'এ. ওনানা', 'hi': 'ए. ओनाना'}}",,,its_onana,57.93,68.585,20,Aston Villa,1745080200_aston_villa_vs_newcastle_united
Ezri Konsa,ezri-konsa,E. Konsa,D,4,3572,M,827679,"{'nameTranslation': {'ar': 'إزري كونسا', 'bn': 'ইজরি কনসা', 'hi': 'एज़री कोंसा'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'bn': 'ই. কনসা', 'hi': 'ई. कोंसा'}}",,,,31.032608695652,35.521739130435,46,Aston Villa,1745080200_aston_villa_vs_newcastle_united
Matty Cash,matty-cash,M. Cash,D,2,9807,M,833956,"{'nameTranslation': {'ar': 'ماتي كاش', 'bn': 'ম্যাটি ক্যাশ', 'hi': 'मैटी कैश'}, 'shortNameTranslation': {'ar': 'م. كاش', 'bn': 'এম. ক্যাশ', 'hi': 'एम. कैश'}}",Matty,Cash,mattycash622,38.515384615385,17.366666666667,39,Aston Villa,1745080200_aston_villa_vs_newcastle_united
Tyrone Mings,tyrone-mings,T. Mings,D,5,2084,M,303638,"{'nameTranslation': {'ar': 'تايرون مينغز', 'bn': 'টাইরন মিংস', 'hi': 'टाइरोन मिंग्स'}, 'shortNameTranslation': {'ar': 'ت. مينغز', 'bn': 'টি. মিংস', 'hi': 'टी. मिंग्स'}}",Tyrone,Mings,,30.217307692308,63.834615384615,52,Aston Villa,1745080200_aston_villa_vs_newcastle_united
Ollie Watkins,ollie-watkins,O. Watkins,F,11,20854,M,555386,"{'nameTranslation': {'ar': 'أولي واتكينز', 'bn': 'অলি ওয়াটকিন্স', 'hi': 'ओली वॉटकिंस'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'bn': 'ও. ওয়াটকিন্স', 'hi': 'ओ. वॉटकिंस'}}",Ollie,Watkins,OllieWatkins,66.290909090909,58.611363636364,44,Aston Villa,1745080200_aston_villa_vs_newcastle_united
Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,10161,M,331737,"{'nameTranslation': {'ar': 'يوري تيليمانس', 'bn': 'ইউরি টাইলেম্যানস', 'hi': 'यूरी टिएलमान्स'}, 'shortNameTranslation': {'ar': 'ي. تيليمانس', 'bn': 'ওয়াই. টাইলেম্যানস', 'hi': 'वाई. टिएलमान्स'}}",Youri,Tielemans,youritielemans,54.217857142857,62.650892857143,112,Aston Villa,1745080200_aston_villa_vs_newcastle_united
Morgan Rogers,morgan-rogers,M. Rogers,M,27,15039,M,948261,"{'nameTranslation': {'ar': 'مورغان روجرز', 'bn': 'মরগান রজার্স', 'hi': 'मॉर्गन रोजर्स'}, 'shortNameTranslation': {'ar': 'م. روجرز', 'bn': 'এম. রজার্স', 'hi': 'एम. रोजर्स'}}",,,mrogers,54.025,61.1625,48,Aston Villa,1745080200_aston_villa_vs_newcastle_united
Marco Asensio,marco-asensio,M. Asensio,M,21,33432,M,361004,"{'nameTranslation': {'ar': 'ماركو أسينسيو', 'bn': 'মার্কো অ্যাসেনসিও', 'hi': 'मार्को असेंसियो'}, 'shortNameTranslation': {'ar': 'م. أسينسيو', 'bn': 'এম. অ্যাসেনসিও', 'hi': 'एम. असेंसियो'}}",Marco,Asensio,marcoasensio10,56.03125,58.104166666667,48,Aston Villa,1745080200_aston_villa_vs_newcastle_united
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,62117,M,158263,"{'nameTranslation': {'ar': 'إيميليانو مارتينيز', 'bn': 'এমিলিয়ানো মার্টিনেজ', 'hi': 'एमिलियानो मार्टिनेज'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'bn': 'ই. মার্টিনেজ', 'hi': 'ई. मार्टिनेज'}}",,,EmiMartínez,9.7041666666667,48.841666666667,48,Aston Villa,1745080200_aston_villa_vs_newcastle_united
John McGinn,john-mcginn,J. McGinn,M,7,4367,M,250223,"{'nameTranslation': {'ar': 'جون ماكجين', 'bn': 'জন ম্যাকগিন', 'hi': 'जॉन मैकगिन'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'bn': 'জে. ম্যাকগিন', 'hi': 'जे. मैकगिन'}}",John,McGinn,,58.09387755102,52.424489795918,49,Aston Villa,1745080200_aston_villa_vs_newcastle_united
