name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,averageX,averageY,pointsCount,team,match
Rico Henry,Rico,Henry,rico-henry,R. Henry,D,3,791,M,599128,"{'nameTranslation': {'ar': 'ريكو هنري', 'bn': 'রিকো হেনরি', 'hi': 'रिको हेनरी'}, 'shortNameTranslation': {'ar': 'ر. هنري', 'bn': 'আর. হেনরি', 'hi': 'आर. हेनरी'}}",,27.666666666667,62.558333333333,12,Brentford,1746363600_brentford_vs_manchester_united
Gustavo Nunes,Gustavo Nunes,,gustavo-nunes,Gustavo Nunes,F,18,2228,M,1514747,"{'nameTranslation': {'ar': 'غوستافو نونيس', 'bn': 'গুস্তাভো নুনেস', 'hi': 'गुस्तावो नून्स'}, 'shortNameTranslation': {'ar': 'غ. نونيس', 'bn': 'গুস্তাভো নুনেস', 'hi': 'गुस्तावो नून्स'}}",,45.96,75.52,5,Brentford,1746363600_brentford_vs_manchester_united
Kristoffer Ajer,Kristoffer,Ajer,kristoffer-ajer,K. Ajer,D,20,1212,M,576384,"{'nameTranslation': {'ar': 'كريستوفر آجير', 'bn': 'ক্রিস্টোফার আজের', 'hi': 'क्रिस्टोफ़र अजेर'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'bn': 'কে. আজের', 'hi': 'के. अजेर'}}",,47.222222222222,15.711111111111,9,Brentford,1746363600_brentford_vs_manchester_united
Mathias Jensen,Mathias,Jensen,mathias-jensen,M. Jensen,M,8,1251,M,799251,"{'nameTranslation': {'ar': 'جينسين، ماتياس', 'bn': 'জেনসেন, ম্যাথিয়াস', 'hi': 'जेन्सेन, मैथियास'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'bn': 'এম. জেনসেন', 'hi': 'एम. जेन्सेन'}}",,54.576923076923,60.030769230769,13,Brentford,1746363600_brentford_vs_manchester_united
Igor Thiago,,,igor-thiago,I. Thiago,F,9,42867,M,1016907,"{'nameTranslation': {'ar': 'إيغور تياغو', 'bn': 'ইগর থিয়াগো', 'hi': 'इगोर थियागो'}, 'shortNameTranslation': {'ar': 'إ. تياغو', 'bn': 'আই. থিয়াগো', 'hi': 'आई. थियागो'}}",,55.061538461538,29.930769230769,13,Brentford,1746363600_brentford_vs_manchester_united
Yoane Wissa,Yoane,Wissa,yoane-wissa,Y. Wissa,F,9,63507,M,805123,"{'nameTranslation': {'ar': 'يوني ويسا', 'bn': 'জন উইসা', 'hi': 'योआने विस्सा'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'bn': 'ওয়াই. উইসা', 'hi': 'वाई. विस्सा'}}",yowissa,60.536842105263,52.352631578947,38,Brentford,1746363600_brentford_vs_manchester_united
Christian Nørgaard,,,christian-nrgaard,C. Nørgaard,M,16,10850,M,135256,"{'nameTranslation': {'ar': 'كريستيان نورغارد', 'bn': 'ক্রিশ্চিয়ান নরগার্ড', 'hi': 'क्रिश्चियन नॉरगार्ड'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'bn': 'সি. নরগার্ড', 'hi': 'सी. नॉरगार्ड'}}",,52.135064935065,43.458441558442,77,Brentford,1746363600_brentford_vs_manchester_united
Kevin Schade,,,kevin-schade,K. Schade,M,7,3593,M,1006387,"{'nameTranslation': {'ar': 'كيفين شايد', 'bn': 'কেভিন শেড', 'hi': 'केविन शैड'}, 'shortNameTranslation': {'ar': 'ك. شايد', 'bn': 'কে. স্কেড', 'hi': 'के. शैड'}}",,63.862162162162,77.264864864865,37,Brentford,1746363600_brentford_vs_manchester_united
Keane Lewis-Potter,,,keane-lewis-potter,K. Lewis-Potter,D,23,1186,M,972421,"{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'bn': 'কিন লুইস-পটার', 'hi': 'कीन लुईस-पॉटर'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'bn': 'কে. লুইস-পটার', 'hi': 'के. लुईस-पॉटर'}}",,44.988235294118,88.401960784314,51,Brentford,1746363600_brentford_vs_manchester_united
Nathan Collins,Nathan,Collins,nathan-collins,N. Collins,D,22,1660,M,958916,"{'nameTranslation': {'ar': 'ناثان كولينز', 'bn': 'নাথান কলিন্স', 'hi': 'नाथन कोलिन्स'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'bn': 'এন. কলিন্স', 'hi': 'एन. कोलिन्स'}}",,34.161538461538,31.621538461538,65,Brentford,1746363600_brentford_vs_manchester_united
