name,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,firstName,lastName,averageX,averageY,pointsCount,team,match
Carlos Alcaraz,carlos-alcaraz,C. Alcaraz,M,24,6174,M,_alcaraz22,1017392,"{'nameTranslation': {'ar': 'كارلوس ألكاراز', 'bn': 'কার্লোস আলকারাজ', 'hi': 'कार्लोस अल्काराज'}, 'shortNameTranslation': {'ar': 'ك. ألكاراز', 'bn': 'সি. আলকারাজ', 'hi': 'सी. अल्काराज'}}",,,45.05,68.975,8,Everton,1745071200_everton_vs_manchester_city
Michael Keane,michael-keane,M. Keane,D,5,1589,M,,110846,"{'nameTranslation': {'ar': 'مايكل كين', 'bn': 'মাইকেল কিন', 'hi': 'माइकल कीन'}, 'shortNameTranslation': {'ar': 'م. كين', 'bn': 'এম. কিন', 'hi': 'एम. कीन'}}",Michael,Keane,17.688,43.72,25,Everton,1745071200_everton_vs_manchester_city
Tim Iroegbunam,tim-iroegbunam,T. Iroegbunam,M,42,875,M,,1085950,"{'nameTranslation': {'ar': 'تيم إيروغبونام', 'bn': 'টিম ইরোগবুনাম', 'hi': 'टिम इरोएगबुनम'}, 'shortNameTranslation': {'ar': 'ت. إيروغبونام', 'bn': 'টি. ইরোগবুনাম', 'hi': 'टी. इरोएगबुनम'}}",,,42.830769230769,63.153846153846,13,Everton,1745071200_everton_vs_manchester_city
Beto,beto,Beto,F,9,5366,M,,987489,"{'nameTranslation': {'ar': 'بيتو', 'bn': 'বেটো', 'hi': 'बेटो'}, 'shortNameTranslation': {'ar': 'بيتو', 'bn': 'বেটো', 'hi': 'बेटो'}}",,,59.569230769231,65.007692307692,13,Everton,1745071200_everton_vs_manchester_city
Iliman Ndiaye,iliman-ndiaye,I. Ndiaye,M,10,61563,M,ilimanndiaye10,914309,"{'nameTranslation': {'ar': 'إليمان نداي', 'bn': 'ইলিমান এনদিয়ায়ে', 'hi': 'इलीमन नदिये'}, 'shortNameTranslation': {'ar': 'إ. نداي', 'bn': 'আই. এনদিয়ায়ে', 'hi': 'आई. नदिये'}}",,,50.487179487179,71.25641025641,39,Everton,1745071200_everton_vs_manchester_city
Armando Broja,armando-broja,A. Broja,F,27,8817,M,armando.broja,996985,"{'nameTranslation': {'ar': 'أرماندو برويا', 'bn': 'আরমান্দো ব্রজা', 'hi': 'अरमांडो ब्रोजा'}, 'shortNameTranslation': {'ar': 'أ. برويا', 'bn': 'এ. ব্রজা', 'hi': 'ए. ब्रोजा'}}",Armando,Broja,55.062857142857,39.805714285714,35,Everton,1745071200_everton_vs_manchester_city
Idrissa Gana Gueye,idrissa-gana-gueye,I. Gueye,M,27,22035,M,iganagueye,106337,"{'nameTranslation': {'ar': 'إدريسا غي', 'bn': 'ইদ্রিসা গুইয়ে', 'hi': 'इद्रिसा गुये'}, 'shortNameTranslation': {'ar': 'إ. غي', 'bn': 'আই. গুইয়ে', 'hi': 'आई. गुये'}}",Idrissa Gana,Gueye,44.424489795918,59.457142857143,49,Everton,1745071200_everton_vs_manchester_city
Dwight McNeil,dwight-mcneil,D. McNeil,M,7,2139,M,,935543,"{'nameTranslation': {'ar': 'دوايت مكنيل', 'bn': 'ডোয়াইট ম্যাকনিল', 'hi': 'ड्वाइट मैकनील'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'bn': 'ডি. ম্যাকনিল', 'hi': 'डी. मैकनील'}}",Dwight,McNeil,38.35,20.2,8,Everton,1745071200_everton_vs_manchester_city
Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,2874,M,,979563,"{'nameTranslation': {'ar': 'جاراد برانثويت', 'bn': 'জারাদ ব্র্যানথওয়েট', 'hi': 'जेर्राड ब्रैंथवेट'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'bn': 'জে. ব্র্যানথওয়েট', 'hi': 'जे. ब्रैंथवेट'}}",,,33.602040816327,68.185714285714,49,Everton,1745071200_everton_vs_manchester_city
James Garner,james-garner,J. Garner,M,37,3710,M,,927361,"{'nameTranslation': {'ar': 'جيمس غارنر', 'bn': 'জেমস গার্নার', 'hi': 'जेम्स गार्नर'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'bn': 'জে. গার্নার', 'hi': 'जे. गार्नर'}}",James,Garner,46.33275862069,46.470689655172,58,Everton,1745071200_everton_vs_manchester_city
