name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,firstName,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Chido Obi-Martin,chido-obi,C. O. Martin,F,32,14652,M,1566204,"{'nameTranslation': {'ar': 'تشيدو أوبي-مارتن', 'bn': 'চিডো ওবি-মার্টিন', 'hi': 'चिडो ओबी-मार्टिन'}, 'shortNameTranslation': {'ar': 'ت. أوبى-مارتن', 'bn': 'সি. ও. মার্টিন', 'hi': 'सी. ओ. मार्टिन'}}",,,,61.157142857143,48.3,7,Manchester United,1745154000_manchester_united_vs_wolverhampton
Rasmus Højlund,rasmus-hojlund,R. Højlund,F,19,70050,M,1086417,"{'nameTranslation': {'ar': 'راسموس هويجلوند', 'bn': 'রাসমাস হলান্ড', 'hi': 'रस्मस होजलंड'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'bn': 'রাসমাস হলান্ড', 'hi': 'रासमस होजलंड'}}",Rasmus,Hojlund,RHøjlund,72.818181818182,44.718181818182,22,Manchester United,1745154000_manchester_united_vs_wolverhampton
Leny Yoro,leny-yoro,L. Yoro,D,15,21424,M,1153315,"{'nameTranslation': {'ar': 'غانيسان أ / كيرشهايمر س', 'bn': 'লেনি ইয়োরো', 'hi': 'लेनी योरो'}, 'shortNameTranslation': {'ar': 'ل. يورو', 'bn': 'এল. ইয়োরো', 'hi': 'एल. योरो'}}",Leny Yoro,,YL15,43.23,46.8,20,Manchester United,1745154000_manchester_united_vs_wolverhampton
Mason Mount,mason-mount,M. Mount,F,7,42629,M,836694,"{'nameTranslation': {'ar': 'ماسون ماونت', 'bn': 'মেসন মাউন্ট', 'hi': 'मेसन माउंट'}, 'shortNameTranslation': {'ar': 'م. مونت', 'bn': 'এম. মাউন্ট', 'hi': 'एम. माउंट'}}",Mason,Mount,MMount,66.292592592593,26.848148148148,27,Manchester United,1745154000_manchester_united_vs_wolverhampton
Kobbie Mainoo,kobbie-mainoo,K. Mainoo,M,37,55849,M,1142175,"{'nameTranslation': {'ar': 'كوبي ماينو', 'bn': 'কোবি মাইনু', 'hi': 'कोबी मैनू'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'bn': 'কে. মাইনু', 'hi': 'के. मैनू'}}",Kobbie,Mainoo,KobbieM,57.145714285714,66.211428571429,35,Manchester United,1745154000_manchester_united_vs_wolverhampton
Diogo Dalot,diogo-dalot,D. Dalot,D,2,24614,M,843200,"{'nameTranslation': {'ar': 'ديوغو دالوت', 'bn': 'ডিওগো ডালট', 'hi': 'डिओगो डालोत'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'bn': 'ডি. ডালট', 'hi': 'डी. डालोत'}}",Diogo,Dalot,DDalot,62.196875,9.890625,32,Manchester United,1745154000_manchester_united_vs_wolverhampton
André Onana,andre-onana,A. Onana,G,24,55527,M,787498,"{'nameTranslation': {'ar': 'أندريه أونانا', 'bn': 'আন্দ্রে ওনানা', 'hi': 'आंद्रे ओनाना'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'bn': 'এ. ওনানা', 'hi': 'ए. ओनाना'}}",Andre,Onana,AndréOnana24,9.3571428571429,43.851428571429,35,Manchester United,1745154000_manchester_united_vs_wolverhampton
Patrick Dorgu,dorgu-patrick,P. Dorgu,M,13,32592,M,1397168,"{'nameTranslation': {'ar': 'دورغو، باتريك', 'bn': 'ডরগু, প্যাট্রিক', 'hi': 'डोर्गू, पैट्रिक'}, 'shortNameTranslation': {'ar': 'ب. دورغو', 'bn': 'পি. ডরগু', 'hi': 'पी. डोर्गू'}}",,,Odogwu,50.266666666667,9.1076923076923,39,Manchester United,1745154000_manchester_united_vs_wolverhampton
Noussair Mazraoui,noussair-mazraoui,N. Mazraoui,D,3,59729,M,847030,"{'nameTranslation': {'ar': 'نصير مزراوي', 'bn': 'নওসাইর মাজরাউই', 'hi': 'नौसैर मज़रावी'}, 'shortNameTranslation': {'ar': 'ن. مزراوي', 'bn': 'এন. মাজরাউই', 'hi': 'एन. मज़रावी'}}",Noussair,Mazraoui,nousmaz97,38.752475247525,23.383168316832,101,Manchester United,1745154000_manchester_united_vs_wolverhampton
Christian Eriksen,christian-eriksen,C. Eriksen,M,24,20381,M,105734,"{'nameTranslation': {'ar': 'كريستيان إريكسن', 'bn': 'ক্রিশ্চিয়ান এরিকসেন', 'hi': 'क्रिस्टियन एरिक्सन'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'bn': 'সি. এরিকসেন', 'hi': 'सी. एरिक्सन'}}",Christian,Eriksen,chriseriksen8,58.839316239316,64.468376068376,117,Manchester United,1745154000_manchester_united_vs_wolverhampton
